bik	tl
Hinapot siya ninda, “Siisay an nagsabi saimo na darahon mo an saimong banig asin maglakaw ka?”	Siya'y kanilang tinanong, “Sino ang taong nagsabi sa iyo, ‘Buhatin mo ang iyong higaan at lumakad ka?’”
Alagad dai midbid kan lalaki kun siisay an nagbolong saiya, huli ta kadakul kan mga tawo duman saka huminale na si Jesus.	Ngunit hindi nakilala ng taong pinagaling kung sino iyon, sapagkat si Jesus ay umalis na sa maraming tao na naroroon.
Pakatapos, nahiling siya ni Jesus sa Templo saka sinabihan, “Marahay ka na! Dai ka na magkasala, ta tibaad mas maraot an mangyari saimo.”	Pagkatapos ay natagpuan siya ni Jesus sa templo, at sinabi sa kanya, “Tingnan mo, ikaw ay gumaling na; huwag ka nang magkasala, baka may mangyari pa sa iyo na lalong masama.”
Dangan naghale an lalaki asin sinabihan niya an mga Judio na si Jesus an nagbolong saiya.	Umalis ang lalaki at ibinalita sa mga Judio na si Jesus ang nagpagaling sa kanya.
Kaya hiningowang pasakitan si Jesus kan mga Judio huli ta nagbolong siya sa aldaw na Sabbath.	Dahil dito'y inusig ng mga Judio si Jesus sapagkat ginagawa niya ang mga bagay na ito sa araw ng Sabbath.
Sinabihan sinda ni Jesus, “An sakong Ama nagtatrabaho sagkod ngunyan; siring man ako.”	Subalit sinagot sila ni Jesus, “Hanggang ngayo'y patuloy sa paggawa ang aking Ama, at ako'y patuloy rin sa paggawa.”
Orog na pinaghumotan siyang gadanon kan mga Judio huli ta bako sanang linapas niya an katogonan dapit sa Sabbath, kundi huli ta nagsabi pa siya na an Dios iyo an saiyang Ama; kaya ipinapahiling niyang kapantay siya nin Dios.	Dahil dito ay lalong pinagsikapan ng mga Judio na siya'y patayin sapagkat hindi lamang nilabag niya ang araw ng Sabbath, kundi tinatawag din na kanyang sariling Ama ang Diyos, at ginagawa ang sarili niya na kapantay ng Diyos.
Sinabihan sinda ni Jesus, “Sa katotoohan sinasabihan ko kamo, mayong ginigibo an Aki sa sadiri niyang kabotan; an ginigibo niya sana iyo idtong nahihiling niyang ginigibo kan Ama. Kun ano an ginigibo kan Ama, iyo man an ginigibo kan Aki.	Kaya't sumagot si Jesus at sinabi sa kanila, “Katotohanang sinasabi ko sa inyo, hindi makakagawa ng anuman ang Anak sa kanyang sarili kundi ang nakikita niyang ginagawa ng Ama. Sapagkat ang lahat ng mga bagay na kanyang ginagawa ay siya ring ginagawa ng Anak.
Huli ta namomotan kan Ama an Aki, ipinapahiling niya sa Aki an gabos na ginigibo niya. Labi pa kaini an mga gibong ipapahiling niya sa Aki, tanganing magngaralas kamo.	Sapagkat minamahal ng Ama ang Anak, at sa kanya'y ipinapakita ang lahat ng mga bagay na kanyang ginagawa, at lalong dakilang mga gawa kaysa mga ito ang ipapakita niya sa kanya upang kayo'y mamangha.
Siring na binubuhay liwat kan Ama an mga gadan, siring man bubuhayon kan Aki an boot niyang buhayon.	Sapagkat kung paanong ibinabangon ng Ama ang mga patay at sila'y binubuhay, gayundin naman binubuhay ng Anak ang sinumang nais niya.
Dai naghuhukom an Ama sa kiisay man. Itinao niya sa Aki an bilog na kapangyarihan sa paghukom,	Ang Ama'y hindi humahatol sa kanino mang tao, kundi ipinagkaloob niya sa Anak ang buong paghatol;
tanganing galangan kan gabos an Aki, arog kan paggalang ninda sa Ama. An dai minagalang sa Aki dai man minagalang sa Ama na nagsugo saiya.	upang parangalan ng lahat ang Anak, na gaya rin ng kanilang pagpaparangal sa Ama. Ang hindi nagpaparangal sa Anak ay hindi nagpaparangal sa Ama na sa kanya'y nagsugo.
“Sa katotoohan sinasabihan ko kamo, an nagdadangog kan mga tataramon ko, asin nagtutubod sa nagsugo sako, igwa nin buhay na daing kataposan. Dai na siya huhukoman kundi nahale na siya sa kagadanan pasiring sa buhay.	Katotohanang sinasabi ko sa inyo, ang nakikinig ng aking salita at sumasampalataya sa kanya na nagsugo sa akin ay may buhay na walang hanggan, at hindi darating sa kahatulan kundi lumipat na sa buhay mula sa kamatayan.
Sa katotoohan sinasabihan ko kamo, maabot an panahon—yaon na ngani—na madadangog kan mga gadan an tingog kan Aki nin Dios asin an mga magdangog saiya mabubuhay.	Katotohanang sinasabi ko sa inyo, dumarating ang oras at ngayon na nga, na maririnig ng patay ang tinig ng Anak ng Diyos at ang makarinig ay mabubuhay.
Siring man an Ama iyo an ginigikanan nin buhay; siring man an Aki ginibo niyang gigikanan nin buhay.	Sapagkat kung paanong ang Ama ay may buhay sa kanyang sarili, ay pinagkalooban din niya ang Anak na magkaroon ng buhay sa kanyang sarili.
Tinawan pa niya an Aki nin kapangyarihan sa paghukom, huli ta siya an Aki nin Tawo.	At siya'y binigyan niya ng kapangyarihang humatol sapagkat siya'y Anak ng Tao.
Dai kamo magngalas kaini, huli ta maabot an panahon na madadangog kan gabos na gadan an tingog niya	Huwag ninyong ipagtaka ito, sapagkat dumarating ang oras na ang lahat ng nasa libingan ay makakarinig ng kanyang tinig,
asin maruluwas sinda sa saindang mga lulubngan: an mga naggibo nin marahay mabubuhay liwat para sa buhay na daing kataposan, asin an naggibo nin maraot mabubuhay liwat para sa padusa.	at magsisilabas, ang mga gumawa ng mabuti ay tungo sa pagkabuhay na muli sa buhay, at ang mga gumawa ng masama ay tungo sa pagkabuhay na muli sa kahatulan.
“Sa sadiri kong kapangyarihan mayo akong magiginibo. Naghuhukom ako sosog sana sa itinataram sako nin Dios, kaya an paghukom ko matanos; dai ko ginigibo an kabotan ko kundi an kabotan kan nagsugo sako.	“Hindi ako makakagawa ng anuman mula sa aking sarili. Humahatol ako ayon sa aking naririnig, at ang paghatol ko'y matuwid, sapagkat hindi ko hinahanap ang aking sariling kalooban kundi ang kalooban ng nagsugo sa akin.
“Kun ako an magsaksi dapit sako, mayong halaga an sakong pagsaksi.	Kung ako'y nagpapatotoo para sa aking sarili, ang patotoo ko ay hindi totoo.
Alagad igwa nin nagsasaksi dapit sako asin aram kong totoo an sinasabi niya.	Iba ang nagpapatotoo para sa akin at alam ko na ang patotoo niya para sa akin ay totoo.
Ipinahapot nindo si Juan asin nagsaksi siya sa katotoohan.	Kayo'y nagpadala ng sugo kay Juan, at siya'y nagpatotoo sa katotohanan.
Bako ta kaipuhan ko an pagsaksi nin tawo, kundi sinasabi ko sana ini tanganing makaligtas kamo.	Hindi sa tinatanggap ko ang patotoong mula sa tao, subalit sinasabi ko ang mga bagay na ito upang kayo'y maligtas.
Si Juan kabaing sa sarong ilaw na naglalaad saka nagliliwanag. Sa halipot na panahon naoyonan nindo an saiyang liwanag.	Siya ang ilawang nagniningas at lumiliwanag, at ninais ninyong kayo'y magalak sumandali sa kanyang liwanag.
Alagad igwa nin nagsasaksi sako na labi pa sa pagsaksi ni Juan: an mga gibo na ipinapagibo sako kan sakuyang Ama an nagsasaksi na sinugo niya ako.	Subalit mayroon akong patotoo na lalong dakila kaysa kay Juan. Ang mga gawaing ibinigay sa akin ng aking Ama upang ganapin, ang mga gawaing ito na aking ginagawa ay nagpapatotoo tungkol sa akin na ako'y sinugo ng Ama.
An Ama na nagsugo sako nagsasaksi man dapit sako. Dai pa nindo nadangog an tingog niya o nahiling an saiyang lalawogon.	Ang Ama na nagsugo sa akin ay siyang nagpatotoo tungkol sa akin. Kailanma'y hindi ninyo narinig ang kanyang tinig, o hindi ninyo nakita ang kanyang anyo.
An saiyang tataramon dai nagdadanay saindo, huli ta dai kamo minatubod sako na sinugo niya.	At walang salita niya na nananatili sa inyo sapagkat hindi kayo sumasampalataya sa kanyang sinugo.
Pinag-aadalan nindo an mga Kasuratan, huli ta naghohona kamong diyan makukua an buhay na daing kataposan. An mismong mga kasuratan an nagpapatotoo dapit sako!	Sinasaliksik ninyo ang mga kasulatan sapagkat iniisip ninyo na sa mga iyon ay mayroon kayong buhay na walang hanggan; at iyon ang nagpapatotoo tungkol sa akin.
Alagad habo kamong magdolok sako nganing magkaigwa kamo nin buhay.	Subalit ayaw ninyong lumapit sa akin upang kayo'y magkaroon ng buhay.
“Bakong kaomawan nin tawo an hanap ko.	Hindi ako tumatanggap ng kaluwalhatiang mula sa mga tao.
Alagad midbid ko kamo; aram kong mayo kamong pagkamoot sa Dios.	Subalit nalalaman ko na ang pag-ibig ng Diyos ay wala sa inyo.
Nagdigdi ako sa ngaran kan sakuyang Ama, alagad habo nindo akong akoon. Kun may ibang tawo na magdigdi sa sadiri niyang ngaran, aakoon nindo siya.	Naparito ako sa pangalan ng aking Ama at hindi ninyo ako tinanggap. Kung iba ang pumarito sa kanyang sariling pangalan, iyon ang inyong tatanggapin.
Paano kamong magtubod na nagpapaoromaw-omaw kamo asin dai nindo hinahanap an kaomawan na hale sa Dios?	Paano kayo mananampalataya gayong tumatanggap kayo ng kaluwalhatian mula sa isa't isa at hindi ninyo hinahanap ang kaluwalhatiang mula sa tanging Diyos?
Dai kamo maghona na ako an masumbong saindo sa sakong Ama; si Moises na pinaglalaoman nindo an masumbong saindo.	Huwag ninyong isiping paparatangan ko kayo sa Ama. May isang nagpaparatang sa inyo, si Moises, siya na inyong inaasahan.
Kun talagang nagtubod kamo ki Moises, nagtubod man kutana kamo sako, huli ta nagsurat siya dapit sako.	Sapagkat kung kayo'y sumasampalataya kay Moises ay sasampalataya kayo sa akin, sapagkat siya'y sumulat tungkol sa akin.
Pakatapos kaini, nagbalyo si Jesus sa ibong kan Danaw nin Galilea (o Danaw nin Tiberias).	Pagkatapos ng mga bagay na ito, pumunta si Jesus sa kabilang pampang ng dagat ng Galilea, na siya ring Dagat ng Tiberias.
Dakul na tawo an nagsunod saiya, huli ta nahiling ninda an mga ginibo niyang ngangalasan sa pagbolong kan mga naghehelang.	Sumusunod sa kanya ang napakaraming tao sapagkat nakita nila ang mga tanda na ginagawa niya sa mga maysakit.
Nagtukad si Jesus sa sarong bulod dangan nagtukaw duman kaiba kan saiyang mga disipulo.	Umakyat si Jesus sa bundok at doo'y naupo siya na kasama ng kanyang mga alagad.
An Pyesta nin Paskwa harani na kaidto.	Malapit na noon ang Paskuwa na pista ng mga Judio.
Nangalagkalag si Jesus asin nahiling niya an dakul na tawo na nagrarani saiya, kaya hinapot niya si Felipe, “Saen kita makakabakal nin kakanon tanganing magkarakan an mga tawong ini?” (	Itinanaw ni Jesus ang kanyang mga mata, at nang makita niya ang napakaraming taong lumalapit sa kanya ay sinabi niya kay Felipe, “Saan tayo makakabili ng tinapay, upang makakain ang mga taong ito?”
Sinabi niya ini sa pagbalo ki Felipe, huli ta aram ni Jesus an gigibohon niya.)	Ito'y sinabi niya upang siya'y subukin sapagkat nalalaman niya sa kanyang sarili kung ano ang gagawin niya.
Nagsimbag si Felipe, “Maski sa halagang dos syentos na kwartang plata na kakanon, dai magkakanigo nganing makakakan an gabos na tawong ini dawa tigdirikit sana.”	Sumagot sa kanya si Felipe, “Hindi magkakasiya sa kanila ang dalawang daang denariong tinapay, upang makakain ng kaunti ang bawat isa.”
Saro kan saiyang mga disipulo, si Andres na tugang ni Simon Pedro, an nagsabi,	Si Andres, na kapatid ni Simon Pedro, isa sa kanyang mga alagad ay nagsabi sa kanya,
“Igwa nin aking lalaki digdi na may limang tinapay na sebada asin duwang sira. Alagad gurano man iyan sa kadakul na tawong ini?”	“May isang batang lalaki rito na mayroong limang tinapay na sebada at dalawang isda, subalit gaano na ang mga ito sa ganito karaming mga tao?”
“Patukawa nindo an mga tawo,” an sabi ni Jesus. (Dakul an doot sa lugar na idto.) Nagturukaw an gabos; mga limang ribo an kalalakihan.	Sinabi ni Jesus, “Paupuin ninyo ang mga tao.” Madamo sa dakong iyon, kaya't umupo ang mga lalaki na may limang libo ang bilang.
Kinua ni Jesus an limang tinapay, nagpasalamat, dangan ipinanao sa mga tawo na nagtuturukaw duman. Siring man an ginibo niya sa duwang sira. Tinawan an gabos sagkod na boot pa ninda.	Kinuha ni Jesus ang mga tinapay at nang makapagpasalamat ay ipinamahagi niya sa mga nakaupo. Binigyan din sila ng mga isda hanggang gusto nila.
Kan barasog na sinda, sinabihan ni Jesus an saiyang mga disipulo, “Tipona nindo an mga natada nganing mayong masayang.”	Nang sila'y mabusog ay sinabi niya sa kanyang mga alagad, “Tipunin ninyo ang mga pinagputul-putol na lumabis upang walang anumang masayang.”
Kaya tinipon ninda an mga tada; doseng basket pa an napano hale sa limang tinapay na ipinakakan sa mga tawo.	Kaya't kanilang tinipon ang mga ito at nakapuno ng labindalawang kaing ng mga pinagputul-putol na limang tinapay na sebada na lumabis sa mga kumain.
Kan mahiling kan mga tawo an milagrong ini na ginibo ni Jesus, nagsabi sinda, “Talagang iyo ini an Propeta na madigdi sa kinaban!”	Nang makita ng mga tao ang tandang ginawa niya ay kanilang sinabi, “Totoong ito nga ang propeta na darating sa sanlibutan.”
Pakahiling ni Jesus na madolok saiya an mga tawo nganing piriton siya na magin hade, naghale siya tolos dangan solong nagpasiring sa kabubuldan.	Nang mahalata ni Jesus na sila'y lalapit at pipilitin siyang gawing hari, siya'y muling umalis na nag-iisa patungo sa bundok.
Kan banggi na, naglugsot an mga disipulo ni Jesus pasiring sa danaw.	Pagsapit ng gabi, lumusong ang kanyang mga alagad sa dagat.
Naglunad sinda sa sarong sakayan pasiring sa Capernaum. Madiklom na alagad dai pa minaabot si Jesus.	Sumakay sila sa isang bangka at pinasimulan nilang tawirin ang dagat hanggang sa Capernaum. Madilim na noon at hindi pa dumarating sa kanila si Jesus.
Makosog an doros kaya nagdarakula an mga alon.	Lumalaki ang mga alon sa dagat dahil sa malakas na hanging humihihip.
Mga lima o anom na kilometro nang nagparagaod an mga disipulo, kan mahiling ninda si Jesus na naglalakaw sa ibabaw kan tubig pasiring sa sakayan. Nagkatarakot sinda,	Nang sila'y makasagwan na ng may lima hanggang anim na kilometro ay kanilang nakita si Jesus na lumalakad sa ibabaw ng dagat at papalapit sa bangka. Sila'y natakot,
alagad sinabihan niya sinda, “Dai kamo matakot; ako ini!”	subalit sinabi niya sa kanila, “Ako ito; huwag kayong matakot.”
Maogmang pinasakay siya ninda asin duminoong tolos sinda sa padudumanan ninda.	Kaya't malugod siyang tinanggap nila sa bangka at kaagad na dumating ang bangka sa lupang kanilang patutunguhan.
Sunod na aldaw, naaraman kan mga tawong nawalat sa ibong kan danaw na mayo na an sakayan na dating nakadoong duman. Aram ninda na dai suminakay si Jesus kaiba kan mga disipulo paghale kan mga ini.	Kinabukasan ay nakita ng mga taong nakatayo sa kabilang pampang ng dagat na doo'y walang ibang bangka maliban sa isa. Nakita rin nila na hindi sumakay sa bangka si Jesus na kasama ng kanyang mga alagad, kundi ang kanyang mga alagad lamang ang umalis.
May mga sakayan na hale sa Tiberias na nagdoong harani sa lugar na pinagkakanan kan mga tawo pakapagpasalamat kan Kagurangnan.	Gayunman, may mga bangkang dumating mula sa Tiberias malapit sa pook na kanilang kinainan ng tinapay, pagkatapos na makapagpasalamat ang Panginoon.
Kan maaraman kan mga tawo na mayo duman si Jesus, ni an saiyang mga disipulo, naglunad sinda sa mga sakayan dangan nagduman sa Capernaum sa paghanap ki Jesus.	Nang makita ng mga tao na wala roon si Jesus, o ang kanyang mga alagad man, sumakay sila sa mga bangka at dumating sa Capernaum na hinahanap si Jesus.
Kan makua ninda si Jesus sa ibong kan danaw, hinapot siya ninda, “Rabbi, kasuarin ka pa digdi?”	Nang siya'y kanilang makita sa kabilang pampang ng dagat, kanilang sinabi sa kanya, “Rabi, kailan ka dumating dito?”
Nagsimbag si Jesus, “Sa katotoohan sinasabihan ko kamo, hinahanap nindo ako bakong huli ta nahiling nindo an mga milagrong ginibo ko, kundi huli ta nagkabarasog kamo kan tinapay na kinakan nindo.	Sinagot sila ni Jesus, “Katotohanang sinasabi ko sa inyo, ako'y inyong hinahanap hindi dahil sa nakakita kayo ng mga tanda, kundi dahil sa kayo'y kumain ng tinapay, at kayo'y nabusog.
Dai kamo magpagal para sa kakanon na nalalapa, kundi para sa kakanon na nagdadanay sagkod sa buhay na daing kataposan, na itatao saindo kan Aki nin Tawo; huli ta sa saiya ibinugtak kan Dios Ama an saiyang tanda.”	Huwag kayong magsumikap nang dahil sa pagkaing nasisira, kundi dahil sa pagkaing tumatagal para sa buhay na walang hanggan na ibibigay sa inyo ng Anak ng Tao, sapagkat sa kanya inilagay ng Diyos Ama ang kanyang tatak.”
Kaya hinapot siya ninda, “Ano an dapat ming gibohon tanganing maotob mi an kabotan nin Dios?”	Sinabi nila sa kanya, “Ano ang kailangan naming gawin upang aming magawa ang mga gawa ng Diyos?”
Nagsimbag si Jesus, “An ipinapagibo saindo nin Dios iyo ini: magtubod kamo sa sinugo niya.”	Sumagot si Jesus sa kanila, “Ito ang gawa ng Diyos na inyong sampalatayanan ang kanyang sinugo.”
Nagsabi sinda, “Anong tanda an ikakapahiling mo samo tanganing magtubod kami saimo? Ano an gigibohon mo?	Sinabi naman nila sa kanya, “Ano ngayon ang tanda na iyong ginagawa na aming makikita upang sumampalataya kami sa iyo? Ano ang iyong ginagawa?
An samong mga ginikanan nagkakan nin manna sa kalangtadan siring sa nasusurat, ‘Tinawan niya sinda nin tinapay na hale sa langit!’”	Ang aming mga ninuno ay kumain ng manna sa ilang, gaya ng nasusulat, ‘Kanyang binigyan sila ng tinapay na galing sa langit upang kanilang makain.’”
Sinabihan sinda ni Jesus, “Sa katotoohan sinasabihan ko kamo, bakong si Moises an nagtao saindo kan tinapay na hale sa langit; an sakuyang Ama iyo an nagtatao saindo kan tunay na tinapay hale sa langit.	Kaya't sinabi sa kanila ni Jesus, “Katotohanang sinasabi ko sa inyo, hindi si Moises ang nagbigay sa inyo ng tinapay na galing sa langit kundi ang aking Ama ang nagbibigay sa inyo ng tunay na tinapay na galing sa langit.
Huli ta an tinapay nin Dios iyo an naghilig hale sa langit na nagtatao nin buhay sa kinaban.”	Sapagkat ang tinapay ng Diyos ay ang bumababang mula sa langit at nagbibigay ng buhay sa sanlibutan.
Nagsabi sinda ki Jesus, “Kagurangnan, danay mo kaming pagtawan kan tinapay na iyan.”	Sinabi nila sa kanila, “Panginoon, lagi mo kaming bigyan ng tinapay na ito.”
“Ako an tinapay nin buhay,” an sabi ni Jesus. “An magdolok sako dai na magugutom; an magtubod sako dai na mapapaha.	Sinabi ni Jesus sa kanila, “Ako ang tinapay ng buhay. Ang lumalapit sa akin ay hindi magugutom, at ang sumasampalataya sa akin ay hindi kailanman mauuhaw.
Alagad sinabihan ko kamo na dai kamo nagtutubod sako maski nahiling na nindo ako.	Subalit sinabi ko sa inyo na nakita ninyo ako subalit hindi kayo sumasampalataya.
Madolok sako an gabos na itinatao sako nin Ama. An siisay man na magdolok sako dai ko isisikwal,	Ang lahat ng ibinibigay sa akin ng Ama ay lalapit sa akin; at ang lumalapit sa akin kailanman ay hindi ko itataboy.
huli ta naghilig ako hale sa langit nganing gibohon an kabotan kan nagsugo sako, bakong an kabotan ko.	Sapagkat ako'y bumaba mula sa langit hindi upang gawin ko ang aking sariling kalooban, kundi ang kalooban ng nagsugo sa akin.
An kabotan niya iyo ini: na mayong mawara maski saro sa mga itinao niya sako, kundi buhayon ko sinda liwat sa huring aldaw.	At ito ang kalooban ng nagsugo sa akin na sa lahat ng ibinigay niya sa akin ay huwag kong iwala ang anuman, kundi muli kong bubuhayin sa huling araw.
Boot kan Ama na an gabos na nakakahiling asin nagtutubod sa Aki magkamit kan buhay na daing kataposan; bubuhayon ko sinda sa huring aldaw.”	Sapagkat ito ang kalooban ng aking Ama, na ang bawat nakakakita sa Anak at sa kanya'y sumampalataya ay magkaroon ng buhay na walang hanggan, at muli ko siyang bubuhayin sa huling araw.”
Naggumod-gumod an mga tawo huli ta nagsabi siya, “Ako an tinapay na naghilig hale sa langit.”	Kaya't ang mga Judio ay nagbulung-bulungan tungkol sa kanya sapagkat kanyang sinabi, “Ako ang tinapay na bumabang galing sa langit.”
Nagsabi sinda, “Bakong iyo ini si Jesus na aki ni Jose? Midbid ta an saiyang ama asin ina. Ano ta nagsasabi siyang hale siya sa langit?”	Kanilang sinabi, “Hindi ba ito'y si Jesus, ang anak ni Jose, na kilala natin ang kanyang ama at ina? Paano niya nasasabi, ‘Ako'y bumabang galing sa langit?’”
Kaya tinaraman sinda ni Jesus, “Dai kamo magumod-gumod.	Sumagot si Jesus sa kanila, “Huwag kayong magbulung-bulungan.
Mayong makakadolok sako apwera na sana kun irani siya sako kan Ama na nagsugo sako; asin bubuhayon ko siya liwat sa huring aldaw.	Walang taong makakalapit sa akin malibang ilapit siya ng Ama na nagsugo sa akin; at siya'y muli kong bubuhayin sa huling araw.
Nasusurat sa libro kan mga propeta, ‘Tutukdoan nin Dios an gabos na tawo.’ An nakadangog sa ama saka nakanood, minadolok sako.	Nasusulat sa mga propeta, ‘At tuturuan silang lahat ng Diyos.’ Ang bawat nakarinig at natuto sa Ama ay lumalapit sa akin.
Dai iyan nangangahulugan na igwa nang nakahiling sa Ama; an naghale sa Dios iyo sana an nakahiling sa Ama.	Hindi dahil sa mayroong nakakita sa Ama maliban sa kanya na mula sa Diyos. Siya ang nakakita sa Ama.
Sa katotoohan sinasabihan ko kamo, an nagtutubod igwa nin buhay na daing kataposan.	Katotohanang sinasabi ko sa inyo, ang sinumang sumasampalataya ay may buhay na walang hanggan.
Ako an tinapay nin buhay.	Ako ang tinapay ng buhay.
An saindong mga ginikanan nagkakan kan manna sa kalangtadan, asin nagkagaradan sinda.	Kumain ng manna sa ilang ang inyong mga ninuno, at sila'y namatay.
Alagad iyo ini an tinapay na naghilig hale sa langit, asin an magkakan kaini dai magagadan.	Ito ang tinapay na bumababang galing sa langit, upang ang sinumang makakain nito ay hindi mamatay.
Ako an buhay na tinapay na naghilig hale sa langit. Mabubuhay sagkod pa man an magkakan kaini. An tinapay na itatao ko nganing mabuhay an kinaban iyo an sakong hawak.”	Ako ang tinapay na buháy na bumabang galing sa langit. Kung ang sinuman ay kumain ng tinapay na ito, siya'y mabubuhay magpakailanman, at ang tinapay na aking ibibigay sa ikabubuhay ng sanlibutan ay ang aking laman.”
Huli kan mga sinabi niyang ini, nagkariribok an mga tawo. “Paanong ikatao kan tawong ini an saiyang hawak tanganing kakanon ta?” an hapot ninda.	Kaya't ang mga Judio'y nagtalu-talo, na sinasabi, “Paanong maipakakain sa atin ng taong ito ang kanyang laman?”
Kaya nagsabi si Jesus, “Sa katotoohan sinasabihan ko kamo, kun dai kamo magkakan kan hawak kan Aki nin Tawo asin mag-inom kan dugo niya, dai kamo magkakaigwa nin buhay.	Sinabi nga sa kanila ni Jesus, “Katotohanang sinasabi ko sa inyo, malibang inyong kainin ang laman ng Anak ng Tao at inumin ang kanyang dugo, wala kayong buhay sa inyong sarili.
An magkakan kan hawak ko saka mag-inom kan dugo ko igwa nin buhay na daing kataposan, asin bubuhayon ko sa huring aldaw.	Ang kumakain ng aking laman at umiinom ng aking dugo ay may buhay na walang hanggan, at siya'y muli kong bubuhayin sa huling araw.
Huli ta an hawak ko tunay na kakanon; an dugo ko tunay na inomon.	Sapagkat ang aking laman ay tunay na pagkain, at ang aking dugo ay tunay na inumin.
An magkakan kan hawak ko saka mag-inom kan dugo ko magdadanay sako; ako magdadanay saiya.	Ang kumakain ng aking laman at umiinom ng aking dugo ay nananatili sa akin, at ako'y sa kanya.
An buhay na Ama an nagsugo sako; asin nabubuhay ako huli saiya. Kaya an magkakan sako mabubuhay huli sako.	Kung paanong ang buháy na Ama ay nagsugo sa akin at ako'y nabubuhay dahil sa Ama, gayundin ang kumakain sa akin ay mabubuhay dahil sa akin.
Iyo ini an tinapay na naghilig hale sa langit. An magkakan kaini mabubuhay sagkod pa man! Bako ining arog kaidtong kinakan kan saindong mga ginikanan na nagkagaradan.”	Ito ang tinapay na bumabang galing sa langit, hindi gaya ng tinapay na kinain ng inyong mga ninuno at sila'y namatay. Ang kumakain ng tinapay na ito ay mabubuhay magpakailanman.”
Sinabi ini ni Jesus kan siya nagtukdo sa sinagoga duman sa Capernaum.	Sinabi niya ang mga bagay na ito sa sinagoga, samantalang siya'y nagtuturo sa Capernaum.
Kan nadangog ini kan kadaklan kan saiyang mga disipulo, nagsarabi sinda, “Masakit an mga tataramon na ini; siisay an makakaako kaiyan?”	Nang ito ay marinig ng marami sa kanyang mga alagad, sila ay nagsabi, “Mahirap ang pananalitang ito. Sino ang may kayang makinig nito?”
Aram ni Jesus na naggumod-gumod an saiyang mga disipulo dapit kaini kaya sinabihan niya sinda, “huli kaining mga sinabi ko, babayaan na nindo ako?	Subalit si Jesus, palibhasa'y nalalaman niya na ang kanyang mga alagad ay nagbubulungan tungkol dito, ay nagsalita sa kanila, “Ito ba ay nakakatisod sa inyo?
Ano daw kun mahiling nindong nagsasakat an Aki nin Tawo paduman sa dati niyang erokan?	Ano nga kung makita ninyong umaakyat ang Anak ng Tao sa kinaroroonan niya nang una?
An Espiritu iyo an nagtatao nin buhay; dai ini magigibo kan laman. An mga ipinagtaram ko saindo, Espiritu asin buhay.	Ang Espiritu ang nagbibigay-buhay, ang laman ay walang anumang pakinabang. Ang mga salitang sinabi ko sa inyo ay espiritu at buhay.
Alagad an iba saindo dai nagtutubod.” (Poon pa sa kapinonan, aram na ni Jesus kun siisay an dai matubod, asin kun siisay an mapasaluib saiya.)	Subalit may ilan sa inyo na hindi sumasampalataya.” Sapagkat nalalaman na ni Jesus buhat pa nang una kung sinu-sino ang hindi sumasampalataya at kung sino ang magkakanulo sa kanya.
Nagsabi pa siya, “Iyan an dahelan kun tadaw ta sinabihan ko kamo na mayong makakadolok sako kun habo an Ama.”	Sinabi niya, “Dahil dito'y sinabi ko sa inyo, walang taong makakalapit sa akin, malibang ipagkaloob sa kanya ng Ama.”
Poon kaidto, dakul na disipulo niya an nagbaya asin dai na nag-iba saiya.	Dahil dito, marami sa kanyang mga alagad ay tumalikod at hindi na sumama sa kanya.
Kaya sinabihan ni Jesus an dose, “Mabaya man kamo?”	Kaya't sinabi ni Jesus sa labindalawa, “Ibig din ba ninyong umalis?”
Nagsimbag si Simon Pedro, “Kagurangnan, kiisay kami maduman? Yaon saimo an mga tataramon nin buhay na daing kataposan.	Sumagot sa kanya si Simon Pedro, “Panginoon, kanino kami pupunta? Ikaw ang may mga salita ng buhay na walang hanggan.
Minatubod kami asin aram mi na ika an Banal na gikan sa Dios.”	Kami'y sumasampalataya at nalalaman namin na ikaw ang Banal ng Diyos.”
Nagsimbag si Jesus, “Bakong ako an nagpili saindong dose? Alagad diablo an saro saindo!”	Sumagot sa kanila si Jesus, “Hindi ba pinili ko kayo, ang labindalawa, at ang isa sa inyo ay diyablo?”
An pinapanongdan niya kaini iyo si Judas na aki ni Simon Iscariote. Huli ta si Judas, maski saro sa doseng disipulo, iyo an mapasaluib saiya.	Siya nga ay nagsasalita tungkol kay Judas na anak ni Simon Iscariote, sapagkat siya na isa sa labindalawa ang magkakanulo sa kanya.
Pakatapos kaini, linibot ni Jesus an Galilea; habo siyang maglibot sa Judea, huli ta pinaghuhumotan siyang gadanon kan mga Judio duman.	Pagkatapos ng mga bagay na ito ay pumunta si Jesus sa Galilea. Ayaw niyang dumaan sa Judea, sapagkat pinagsisikapan ng mga Judio na siya'y patayin.
Harani na an Pyesta kan mga Harong-harong.	Malapit na noon ang pista ng mga Judio, ang pista ng mga Tabernakulo.
Kaya sinabihan si Jesus kan mga tugang niya, “Bayae na an lugar na ini asin dumuman ka sa Judea, tanganing mahiling man kan mga disipulo mo duman an mga ginigibo mo.	Sinabi sa kanya ng kanyang mga kapatid, “Umalis ka rito at pumunta ka sa Judea, upang makita ng iyong mga alagad ang iyong mga ginagawa.
