bik,tl
"huli ta igwa pa ako duman nin limang tugang na lalaki. Padumanon mo siya nganing patanidan sinda, ta tibaad makadigdi man sinda sa lugar na ini nin kasakitan.’","sapagkat ako'y may limang kapatid na lalaki, upang magpatotoo sa kanila nang hindi rin sila mapunta sa dakong ito ng pagdurusa."
"Alagad sinabihan siya ni Abraham, ‘Yaon sainda si Moises saka an mga propeta; kaya dapat na magdangog sainda an mga tugang mo.’","Subalit sinabi ni Abraham, ‘Nasa kanila si Moises at ang mga propeta, hayaan mo silang makinig sa kanila.’"
"Nagsimbag an mayaman, ‘Dai, Amang Abraham; alagad kun may sarong mabuhay liwat na magduman sainda, mabakle sinda.’","Sinabi niya, ‘Hindi, amang Abraham, subalit kung ang isang mula sa mga patay ay pumunta sa kanila, sila'y magsisisi.’"
"Sinabihan siya ni Abraham, ‘Kun dai sinda magdangog ki Moises asin sa mga propeta, dai man sinda matubod maski pa may mabuhay liwat sa mga gadan.’”","At sinabi niya sa kanya, ‘Kung hindi nila pinapakinggan si Moises at ang mga propeta, hindi rin sila mahihikayat, kahit may isang bumangon mula sa mga patay.’”"
"Nagsabi si Jesus sa saiyang mga disipulo, “Maabot nanggad an mga pagsugot; alagad herak man sa tawong nagigin dahelan nin pagkakasala!","Sinabi ni Jesus sa kanyang mga alagad, “Hindi maaaring di dumating ang mga kadahilanan ng pagkatisod, subalit kahabag-habag ang sinuman na pinanggagalingan niyon."
"Marahay pang tagulnodan siya sa liog nin gapong gilingan dangan ihulog sa tahaw kan dagat, ki kan magin siyang dahelan nin pagkakasala kan mga saradit na ini.","Mabuti pa sa kanya na bitinan ang kanyang leeg ng isang batong panggiling, at ihagis siya sa dagat, kaysa siya ang maging sanhi ng pagkatisod ng isa sa maliliit na ito."
Kaya mag-ingat kamo!,"Mag-ingat kayo sa inyong sarili. Kung magkasala ang iyong kapatid, sawayin mo siya, at kung siya'y magsisi, patawarin mo siya."
"“Kun an tugang mo magkasala saimo, sagweon mo siya; kun magbakle siya, patawada.","Kung siya'y magkasala laban sa iyo ng pitong ulit sa isang araw at pitong ulit siyang bumalik sa iyo, na nagsasabi, ‘Nagsisisi ako,’ dapat mo siyang patawarin.”"
"Maski pa pitong beses siyang magkasala saimo sa laog nin sarong aldaw asin pitong beses man siyang magsabi, ‘Nagsosolsol na ako,’ dapat mo siyang patawadon.”","Sinabi ng mga apostol sa Panginoon, “Dagdagan mo ang pananampalataya namin.”"
"Nagsabi sa Kagurangnan an mga apostol, “Pakosoga an samong pagtubod!”","Sinabi ng Panginoon, “Kung mayroon kayong pananampalataya na kasinglaki ng isang binhi ng mustasa, masasabi ninyo sa puno ng sikomorong ito, ‘Mabunot ka, at matanim ka sa dagat,’ susundin kayo nito."
"Sinabihan sinda kan Kagurangnan, “Kun igwa kamo nin pagtubod na siring kan pisog nin mustasa, masasabihan nindo ining kahoy na sikomoro, ‘Magabot ka dangan makatanom sa dagat!’ asin makuyog iyan saindo.","“Sino sa inyo, na mayroong aliping nag-aararo o nag-aalaga ng mga tupa ang magsasabi sa kanya pagkagaling sa bukid, ‘Pumarito ka agad at maupo sa hapag ng pagkain.’"
"“Halimbawa igwa kamo nin sorogoon na nag-aarado o nagaataman nin mga karnero. Pag-abot niya hale sa oma, aalokon daw nindo siyang magkakan?","Sa halip, hindi ba niya sasabihin sa kanya, ‘Ipaghanda mo ako ng hapunan, magbigkis ka, paglingkuran mo ako, hanggang sa ako'y makakain at makainom, pagkatapos ay kumain ka at uminom’?"
"Dai nanggad! Kundi, ini an sasabihon nindo saiya, ‘Andama an sakong pamanggihan, dangan magsangle ka asin maglingkod sako mantang nagkakakan ako. Pakatapos ko, pwede ka nang magkakan.’","Pinasasalamatan ba niya ang alipin, sapagkat ginawa niya ang iniutos sa kanya?"
Pinapasalamatan daw an sorogoon huli ta kinuyog niya an ipinagboot saiya? Dai!,"Gayundin naman kayo, kapag nagawa na ninyo ang lahat ng mga bagay na iniutos sa inyo, inyong sabihin, ‘Kami'y mga aliping walang kabuluhan, ginawa lamang namin ang aming katungkulan.’”"
"Arog man kamo kaiyan; kun nagibo na nindo an ipinapagibo saindo magsabi kamo, ‘Mga sorogoon sana kami; ginibo mi sana an samong katongdan!’”","Habang patungo sa Jerusalem, si Jesus ay dumaan sa pagitan ng Samaria at Galilea."
"Kan pasiring si Jesus sa Jerusalem, nag-agi siya sa pagdolonan kan Samaria asin Galilea.","At sa pagpasok niya sa isang nayon, sinalubong siya ng sampung lalaking ketongin, na nakatayo sa malayo."
"Palaog na siya sa sarong baryo kan sabaton siya nin sampolong daoton. Nagtindog sinda sa harayo,","Sila'y nagsisigaw at nagsabi, “Jesus, Panginoon, maawa ka sa amin.”"
"asin kuminurahaw, “Jesus, Kagurangnan! Kaheraki man kami!”","Nang kanyang makita sila ay sinabi niya sa kanila, “Humayo kayo at kayo'y magpakita sa mga pari.” Habang sila'y umaalis, sila ay nagiging malinis."
"Nahiling sinda ni Jesus asin sinabihan, “Lakaw, pumahiling kamo sa mga padi.”","Nang makita ng isa sa kanila na siya'y gumaling na, siya ay bumalik na pinupuri ng malakas na tinig ang Diyos."
"Sa dalan pa sana, nagkarilinigan na sinda.",Siya'y nagpatirapa sa paanan ni Jesus na nagpapasalamat sa kanya. Siya'y isang Samaritano.
"An saro sainda, pakahiling na nalinigan na siya, nagbalik na nag-oomaw sa Dios sa makosog na tingog.","At nagtanong si Jesus, “Hindi ba sampu ang nalinis? Nasaan ang siyam?"
Nagdapa siya sa atubangan ni Jesus saka nagpasalamat. An tawong ini Samaritano.,"Wala bang natagpuang bumalik at nagbigay papuri sa Diyos, maliban sa dayuhang ito?”"
"Naghapot si Jesus, “Bakong sampolo an narahay? Haen an siyam?","At sinabi ni Jesus sa kanya, “Tumindig ka at humayo. Pinagaling ka ng iyong pananampalataya.”"
Tadaw ta an dayuhan sanang ini an nagbalik sa pagpasalamat sa Dios?”,"Palibhasa'y tinanong si Jesus ng mga Fariseo kung kailan darating ang kaharian ng Diyos, kanyang sinagot sila, “Ang kaharian ng Diyos ay hindi darating na may mga palatandaang makikita."
"Dangan sinabihan siya ni Jesus, “Tumindog ka! Puli na; an saimong pagtubod iyo an nagpaomay saimo.”","At di rin nila sasabihin, ‘Tingnan ninyo, naririto o naroroon!’ Sapagkat masdan ninyo, ang kaharian ng Diyos ay nasa inyo.”"
"Sarong aldaw hinapot si Jesus kan mga Fariseo kun nuarin maabot an Kahadean nin Dios. Nagsimbag siya, “An Kahadean nin Dios madatong na mayong tanda na mahihiling.","Sinabi niya sa mga alagad, “Darating ang mga araw na hahangarin ninyong makita ang isa sa mga araw ng Anak ng Tao at hindi ninyo ito makikita."
"Mayong makakapagsabi, ‘Yaon digdi!’ o ‘Yaon duman!’ huli ta an Kahadean nin Dios yaon saindo.”","At sasabihin nila sa inyo, ‘Tingnan ninyo, naroroon’ o ‘Tingnan ninyo, naririto!’ Huwag kayong pumaroon o sumunod sa kanila."
"Dangan nagsabi siya sa mga disipulo, “Maabot an panahon na mamawoton nindong mahiling an saro kan mga aldaw kan Aki nin Tawo, alagad dai nindo iyan mahihiling.","Sapagkat kung paanong ang kidlat ay kumikislap at pinaliliwanag ang langit mula sa isang panig hanggang sa kabila, gayundin naman ang Anak ng Tao sa kanyang araw."
"Igwa nin masabi, ‘Yaon duman!’ o ‘Yaon digdi!’ Alagad dai kamo magtubod, dai kamo magsunod sainda.",Subalit kailangan muna siyang magdusa ng maraming bagay at itakuwil ng lahing ito.
"Siring na an kikilat minasilyab hale sa sarong poro sagkod sa ibong na poro kan kalangitan, arog man kaiyan an pag-abot kan Aki nin Tawo.","At kung paano ang nangyari sa mga araw ni Noe, ay gayundin naman ang mangyayari sa mga araw ng Anak ng Tao."
Alagad kaipuhan ngona siyang magtios nin dakul na kasakitan dangan isikwal kan henerasyon na ini.,"Sila'y kumakain at umiinom, nag-aasawa at sila'y pinag-aasawa, hanggang sa araw na pumasok sa daong si Noe at dumating ang baha, at nilipol silang lahat."
Kun ano an nangyari kan panahon ni Noe iyo man an mangyayari sa mga aldaw kan Aki nin Tawo.,"Gayundin ang nangyari sa mga araw ni Lot. Sila'y kumakain at umiinom, bumibili at nagbibili, nagtatanim at nagtatayo."
"Kan panahon na idto, sige sana an karakanan, irinoman, asin aragoman kan mga tawo sagkod sa aldaw na si Noe naglaog sa arka. Dangan nag-abot an baha asin nalamos sinda gabos.","Subalit nang araw na umalis sa Sodoma si Lot, umulan ng apoy at asupre mula sa langit at pinuksa silang lahat."
"Siring man an nangyari kan panahon ni Lot. Nagkarakan sinda, nag-irinom, nagbakal, nagpabakal, nagtanom asin nagtugdok nin harong.",Gayundin naman ang mangyayari sa araw na ang Anak ng Tao ay mahayag.
"Alagad kan aldaw na maghale si Lot sa Sodoma, nag-uran nin kalayo saka asupre; nagadan sinda gabos.","Sa araw na iyon, ang nasa bubungan na ang pag-aari niya ay nasa bahay, ay huwag nang manaog upang kunin ang mga ito. Gayundin, ang nasa bukid ay huwag nang bumalik."
Arog man kaiyan sa aldaw na magpahiling an Aki nin Tawo.,Alalahanin ninyo ang asawa ni Lot.
"“Sa aldaw na iyan, an tawong nasa atop, dai na dapat maglaog pa sa harong tanganing magkua kan saiyang mga gamit; an tawong nasa oma dai na dapat magpuli sa saiyang harong.","Sinumang nagsisikap ingatan ang kanyang buhay ay mawawalan nito, subalit ang sinumang nawalan ng kanyang buhay ay maiingatan iyon."
Giromdoma nindo an agom ni Lot!,"Sinasabi ko sa inyo, sa gabing iyon ay may dalawa sa isang higaan; ang isa'y kukunin, at ang isa'y iiwan."
"An boot magligtas kan saiyang buhay, mawawaraan kaiyan; an mawaraan kan saiyang buhay, magkakamit kaiyan.","May dalawang magkasamang magtatrabaho sa gilingan, kukunin ang isa, at ang isa'y iiwan.”"
"Sinasabihan ko kamo, sa bangging iyan igwa nin duwang tawo na maturog sa sarong higdaan; an saro kukuahon, an saro iwawalat.",(Pupunta sa bukid ang dalawang lalaki; ang isa'y kukunin at ang isa'y iiwan.)
"Duwang babae an magtatabang sa paggiling; an saro kukuahon, an saro iwawalat. (","At sinabi nila sa kanya, “Saan, Panginoon?” Sinabi niya sa kanila, “Kung saan naroon ang bangkay ay doon magtitipon ang mga buwitre.”"
"Dangan nag-osipon sainda si Jesus nin sarong parabola, tanganing tukdoan sinda na danay na mamibi asin dai mahalean nin paglaom.",At isinalaysay ni Jesus sa kanila ang isang talinghaga kung paanong sila'y dapat laging manalangin at huwag manlupaypay.
"Nagsabi siya, “May sarong hukom sa sarong banwaan na dai natatakot sa Dios saka mayong ginagalangan na siisay man na tawo.","Sinabi niya, “Sa isang lunsod ay may hukom na hindi natatakot sa Diyos at walang taong iginagalang."
Igwa man sa banwaan na idto nin sarong babaeng balo na nagpaparabalik-balik sa hukom na ini huli ta naghahagad nin tabang sa kaso niya tumang sa sarong kaiwal.,"At sa lunsod na iyon ay may isang babaing balo na laging pumupunta sa kanya, na nagsasabi, ‘Bigyan mo ako ng katarungan laban sa aking kaaway.’"
"Haloy nang nagparasayuma an hukom, alagad sa kahuri-hurihi nagsaboot siya, ‘Dawa dai ako natatakot sa Dios, saka mayong ginagalangan na siisay man na tawo,","May ilang panahon na siya'y tumatanggi, subalit pagkatapos ay sinabi sa kanyang sarili, ‘Bagaman ako'y hindi natatakot sa Diyos, at hindi gumagalang sa tao,"
"alagad huli ta dai ako inoontokan kan balong ini, gigibohon ko na sana an hinahagad niya, tanganing dai na niya ako pagpurisawon.’”","subalit dahil ginagambala ako ng balong ito, bibigyan ko siya ng katarungan. Kung hindi ay magsasawa ako sa kanyang patuloy na pagpunta rito.’”"
"Nagsabi pa an Kagurangnan, “Dangoga nindo an sinabi kan hukom na maraot.","At sinabi ng Panginoon, “Pakinggan ninyo ang sinabi ng masamang hukom."
Dai daw itatao nin Dios an katanosan sa saiyang mga pinili na nag-aagrangay saiya aldaw-banggi? Mag-aabala daw siya sa pagtabang sainda?,At hindi ba bibigyan ng Diyos ng katarungan ang kanyang mga pinili na sumisigaw sa kanya araw at gabi. Kanya bang matitiis sila?
"Alagad pagdigdi kan Aki nin Tawo, makakakua daw siya nin pagtubod sa kinaban?”","Sinasabi ko sa inyo, mabilis niyang bibigyan sila ng katarungan. Gayunman, pagparito ng Anak ng Tao, makakatagpo kaya siya ng pananampalataya sa lupa?”"
Inosipon man ni Jesus an parabolang ini sa mga tawong naghohona na sinda marahay asin nagmemenos sa iba:,"Isinalaysay rin niya ang talinghagang ito sa ilan na nagtitiwala sa kanilang sarili, na sila'y matutuwid at hinahamak ang iba."
“May duwang tawong nagduman sa Templo tanganing mamibi; an saro Fariseo asin an saro parasingil nin buhis.,"“Dalawang lalaki ang pumunta sa templo upang manalangin. Ang isa'y Fariseo, at ang isa'y maniningil ng buwis."
"“Nagtindog an Fariseo asin namibi nin siring, ‘O Dios, nagpapasalamat ako saimo, huli ta bako akong arog sa mga parahabon, mga madaya, mga parasambay. Bako man ako arog sa tawong ini na parasingil nin buhis.","Ang Fariseo ay nakatayo at nanalangin sa kanyang sarili ng ganito, ‘Diyos, pinasasalamatan kita na hindi ako gaya ng ibang mga tao, na mga mangingikil, mga di makatarungan, mga mangangalunya, o gaya man ng maniningil ng buwis na ito."
Nag-aayuno ako nin duwang beses sa semana saka nagtatao ako saimo nin himoloan kan gabos kong hinanapan.’,"Dalawang ulit akong nag-aayuno sa isang linggo, nagbibigay ako ng ikapu sa lahat ng aking kinikita!’"
"Alagad an parasingil nin buhis na nakatindog sa harayo, dai nangangahas magtangad sa langit, kundi tinutumbok an saiyang daghan asin nagsasabi, ‘O Dios ko, kaheraki man ako na sarong parakasala!’","Subalit ang maniningil ng buwis, na nakatayo sa malayo ay ayaw itingin man lamang ang kanyang mga mata sa langit, kundi dinadagukan ang kanyang dibdib, na nagsasabi, ‘Diyos, mahabag ka sa akin na isang makasalanan.’"
"Sinasabihan ko kamo na an lalaking idto mapuling matanos ki sa Fariseo. Huli ta an nagpapalangkaw, ibababa; alagad an nagpapakumbaba, ilalangkaw.”","Sinasabi ko sa inyo, nanaog patungo sa kanyang bahay ang taong ito na inaring-ganap sa halip na ang isa. Sapagkat ang bawat nagmamataas sa kanyang sarili ay ibababa, ngunit ang nagpapakababa sa kanyang sarili ay itataas.”"
May nagkapirang tawo na nagdara kan saindang mga aki ki Jesus tanganing saiyang bendisyonan. Nahiling sinda kan mga disipulo kaya inanggotan sinda.,"Noon ay dinadala sa kanya maging ang mga sanggol, upang kanyang hawakan sila. Subalit nang makita ito ng mga alagad, sila'y sinaway nila."
"Alagad inapod ni Jesus an mga aki saka nagsabi, “Pabayae nindong magdolok sako an mga aki! Dai nindo sinda pag-olangon huli ta sa mga arog sainda an Kahadean nin Dios.","Subalit pinalapit sila ni Jesus na sinasabi, “Hayaan ninyong lumapit sa akin ang maliliit na bata, at huwag ninyo silang hadlangan, sapagkat sa mga ganito nauukol ang kaharian ng Diyos."
"Sa katotoohan sinasabihan ko kamo, an siisay man na dai umako kan Kahadean nin Dios siring sa aking sadit, dai nanggad makakalaog diyan.”","Katotohanang sinasabi ko sa inyo, sinumang hindi tumatanggap sa kaharian ng Diyos na gaya ng isang maliit na bata ay hindi makakapasok doon.”"
"Hinapot si Jesus kan sarong lider na Judio, “Marahay na Maestro, ano an dapat kong gibohon tanganing makamtan ko an buhay na daing kataposan?”","Tinanong siya ng isang pinuno, “Mabuting Guro, anong gagawin ko upang magmana ng buhay na walang hanggan?”"
"Sinimbag siya ni Jesus, “Tadaw ta inaapod mo akong marahay? Mayong marahay kundi an Dios sana.","Sinabi sa kanya ni Jesus, “Bakit mo ako tinatawag na mabuti? Walang mabuti kundi ang Diyos lamang."
Aram mo an mga togon: ‘Dai ka magsambay; dai ka maggadan; dai ka maghabon; dai ka magsaksi nin putik; galangan mo an saimong ama asin ina.’”,Nalalaman mo ang mga utos: ‘Huwag kang mangalunya; Huwag kang pumatay; Huwag kang magnakaw; Huwag kang tumayong saksi sa kasinungalingan; Igalang mo ang iyong ama at ina.’”
"Nagsimbag an lalaki, “Kinukuyog ko na iyan gabos poon kan ako aki pa.”","At sinabi niya, “Tinupad ko ang lahat ng mga bagay na ito buhat pa sa aking pagkabata.”"
"Kan madangog ini ni Jesus, sinabihan niya an lalaki, “Saro pang bagay an kaipuhan mong gibohon. Ipabakal mo an gabos mong rogaring saka ipanao mo an kabaklan sa mga dukha, asin magkakaigwa ka nin kayamanan sa langit. Pakatapos, magbalik ka asin sumunod sako.”","Nang marinig ito ni Jesus, sinabi niya sa kanya, “Isang bagay pa ang kulang sa iyo. Anumang mayroon ka ay ipagbili mo, ipamahagi mo sa mga dukha, at magkakaroon ka ng kayamanan sa langit. At pumarito ka, sumunod ka sa akin."
"Alagad kan madangog ini kan lalaki, namondo siya huli ta mayaman siya.","Subalit nang marinig niya ang mga bagay na ito, siya'y nalungkot, sapagkat siya'y napakayaman."
"Nahiling ni Jesus na namondo an tawong idto kaya nagsabi siya, “Masakit na gayo sa mga mayaman na makalaog sa Kahadean nin Dios!","Tumingin sa kanya si Jesus at sinabi, “Napakahirap sa mga may kayamanan ang pumasok sa kaharian ng Diyos!"
Mas pasil pa sa sarong kamelyo na makaagi sa labot nin dagom ki sa sarong mayaman na makalaog sa Kahadean nin Dios.”,"Sapagkat madali pa sa isang kamelyo ang pumasok sa butas ng isang karayom, kaysa sa isang taong mayaman na pumasok sa kaharian ng Diyos.”"
"Naghapot saiya an mga nakadangog, “Kun siring, siisay palan an makakaligtas?”","At sinabi ng mga nakarinig nito, “Sino kaya ang maliligtas?”"
"Sinimbag sinda ni Jesus, “An imposible sa tawo, posible sa Dios.”","Subalit sinabi niya, “Ang mga bagay na hindi magagawa ng mga tao ay magagawa ng Diyos.”"
"Dangan nagsabi si Pedro ki Jesus, “Binayaan mi an samuyang mga harong asin nagsunod saimo.”","Sinabi ni Pedro, “Tingnan mo, iniwan namin ang aming mga tahanan at sumunod sa iyo.”"
"Nagsabi si Jesus, “Sa katotoohan sinasabihan ko kamo, na an siisay man na magbaya nin erokan, o agom, o mga tugang, o mga magurang o mga aki huli sa Kahadean nin Dios,","At sinabi niya sa kanila, “Katotohanang sinasabi ko sa inyo, walang sinuman na nag-iwan ng bahay, o asawang babae, o mga kapatid, o mga magulang o mga anak, dahil sa kaharian ng Diyos,"
"maako nin mas dakul sa panahon na ini, asin nin buhay na daing kataposan sa maabot na panahon.”","na di tatanggap ng lalong higit pa sa panahong ito, at sa panahong darating ng buhay na walang hanggan.”"
"Isiniblag ni Jesus an Dose dangan sinabihan, “Uya, nagtutukad na kita pasiring sa Jerusalem; duman maootob an gabos na isinurat kan mga propeta dapit sa Aki nin Tawo.","Isinama niya ang labindalawa at sinabi sa kanila, “Tingnan ninyo, umaahon tayo tungo sa Jerusalem, at ang lahat ng mga bagay na isinulat ng mga propeta tungkol sa Anak ng Tao ay matutupad."
"Huli ta itatao siya sa mga pagano saka pagtutuya-tuyaon, sosopogon asin lulutaban.","Sapagkat siya'y ibibigay sa mga Hentil at siya'y lilibakin, hahamakin, at luluraan,"
"Hahampakon ninda siya dangan gagadanon, alagad sa ikatolong aldaw mabubuhay siya liwat.”",kanilang hahagupitin siya at papatayin at sa ikatlong araw siya ay muling mabubuhay.”
Mayo sindang nasabotan maski arin man kan mga bagay na ini; dai ninda nasabotan an saiyang itinaram huli ta dai ini naabot kan saindang isip!,"Ngunit wala silang naunawaan sa mga bagay na ito. Ang salitang ito ay naikubli sa kanila, at hindi nila naunawaan ang sinabi."
"Mantang nagdadangadang si Jesus sa Jerico, may sarong lalaking buta duman na nakatukaw sa gilid kan tinampo, nakikilimos.","Nang malapit na siya sa Jerico, isang bulag ang nakaupo sa tabi ng daan na namamalimos."
"Kan madangog kan buta an kadakul na nag-aaragi, naghapot siya kun ano an nangyayari.","At nang marinig niya ang maraming tao na dumaraan, nagtanong siya kung ano ang ibig sabihin nito."
Sinabihan siya na si Jesus na taga Nazaret nag-aagi.,Sinabi nila sa kanya na dumaraan si Jesus na taga-Nazaret.
"Nagkurahaw siya, “Jesus! Aki ni David! Kaheraki man ako!”","At siya'y sumigaw, “Jesus! Anak ni David, maawa ka sa akin.”"
"Inanggotan siya kan mga tawong nasa enotan asin pinaalo. Alagad orog siyang nagkurahaw, “Aki ni David! Kaheraki man ako!”","Siya'y sinaway ng mga nasa unahan at sinabihan siyang tumahimik. Subalit siya'y lalong nagsisigaw, “Anak ni David, maawa ka sa akin.”"
"Nag-ontok si Jesus, dangan nagboot na darahon saiya an buta. Kan harani na saiya an buta, hinapot niya,","At si Jesus ay tumigil at ipinag-utos na dalhin ang tao sa kanya. Nang lumapit ito ay kanyang tinanong,"
“Ano an boot mong gibohon ko para saimo?”,"“Anong ibig mong gawin ko sa iyo?” At sinabi niya, “Panginoon, ako sana'y muling makakita.”"
"“Kagurangnan, boot kong makahiling,” an simbag niya.","Sinabi sa kanya ni Jesus, “Tanggapin mo ang iyong paningin; pinagaling ka ng iyong pananampalataya.”"
"Dangan sinabihan siya ni Jesus, “Makahiling ka! An saimong pagtubod iyo an nagpaomay saimo.”","At kaagad na tinanggap niya ang kanyang paningin at sumunod sa kanya, na niluluwalhati ang Diyos. Nang makita ito ng buong bayan ay nagbigay puri sila sa Diyos."
Naglaog si Jesus sa Jerico dangan naglakaw paluwas.,"Siya'y pumasok at nagdaan sa Jerico,"
Igwa duman sa Jerico nin mayaman na poon kan mga parasingil nin buhis na an ngaran Zakeo.,at doon ay may isang lalaki na ang pangalan ay Zaqueo. Siya'y isang punong maniningil ng buwis at mayaman.
Boot niyang mahiling si Jesus alagad dai niya nahihiling huli ta hababa siya asin huli ta kadakul kan mga tawo.,"Nagsikap siyang makita kung sino si Jesus, subalit hindi magawa dahil sa karamihan ng mga tao, sapagkat siya'y pandak."
Kaya nagdalagan siya sa enotan kan mga tawo dangan nagsakat sa sarong kahoy na sikomoro tanganing mahiling niya si Jesus pag-agi duman.,"Kaya't tumakbo siya sa unahan at umakyat sa isang puno ng sikomoro upang makita siya, sapagkat siya'y daraan sa daang iyon."
"Pagtangod ni Jesus sa kahoy na idto, tinangad niya si Zakeo saka sinabihan, “Zakeo, hilig diyan tolos, huli ta sa harong mo ako madagos ngunyan na aldaw.”","At nang dumating si Jesus sa lugar na iyon, siya'y tumingala, at sinabi sa kanya, “Zaqueo, dali ka at bumaba ka; sapagkat kailangang ako'y tumuloy sa bahay mo ngayon.”"
Hidaling naghilig si Zakeo asin maogma niyang pinadagos si Jesus sa saiyang harong.,"Kaya't siya'y nagmadali, bumaba, at natutuwa siyang tinanggap."
"Kan mahiling ini kan mga tawo, naggurumod-gumod sinda, “An tawong ini nakikidagos sa harong nin sarong parakasala.”","Nang kanilang makita ito ay nagbulungan silang lahat, na nagsasabi, “Siya'y pumasok upang maging panauhin ng isang taong makasalanan.”"
"Nagtindog si Zakeo saka nagsabi ki Jesus, “Kagurangnan, itatao ko sa mga dukha an kabanga kan mga rogaring ko asin kun may nadaya ako, duwang doble an ibabayad ko saiya.”","Si Zaqueo ay tumindig at sinabi sa Panginoon, “Panginoon, ang kalahati ng aking mga pag-aari ay ibinibigay ko sa mga dukha at kung sa pamamagitan ng pandaraya ay may kinuha ako sa kanino mang tao, babayaran ko siya ng apat na ulit.”"
"Nagsabi si Jesus saiya, “Ngunyan na aldaw nag-abot an kaligtasan sa pamilyang ini, huli ta an tawong ini gikan man ki Abraham.","At sinabi sa kanya ni Jesus, “Dumating sa bahay na ito ngayon ang kaligtasan, sapagkat siya man ay anak din ni Abraham."
Dahel ta an Aki nin Tawo nagdigdi sa paghanap asin sa pagligtas kan nawawara.”,Sapagkat ang Anak ng Tao ay dumating upang hanapin at iligtas ang nawala.”
"Mantang nagdadangog ki Jesus an mga tawo, nag-osipon siya nin sarong parabola. Harani na siya sa Jerusalem, kaya naghona an mga tawo na madali nang mahayag an Kahadean nin Dios.","Samantalang pinapakinggan nila ang mga bagay na ito, nagpatuloy siya at nagsalaysay ng isang talinghaga, sapagkat siya'y malapit na sa Jerusalem, at sapagkat kanilang inakala na ang kaharian ng Diyos ay mahahayag na kaagad."
"Kaya sinabihan niya sinda, “May sarong tawong gikan sa ginagalangan na pamilya na naglakaw sa harayong lugar tanganing gibohon na hade, dangan mabalik man sana.","Sinabi nga niya, “Isang maharlikang tao ang pumunta sa isang malayong lupain, upang tumanggap ng isang kaharian at pagkatapos ay bumalik."
"Bago siya naghale, inapod niya an sampolo kan saiyang mga sorogoon, tinawan nin tigsararong bulawan na kwarta saka sinabihan, ‘Kapitalon nindo sa negosyo an kwartang ini mantang mayo ako.’","Tinawag niya ang sampu sa kanyang mga alipin at binigyan sila ng sampung mina, at sinabi sa kanila, ‘Ipangalakal ninyo ito hanggang sa ako'y dumating.’"
"Alagad ikinakaongis siya kan mga kahimanwa niya, kaya nagpadara sinda nin mga sugo tanganing magsabi, ‘Habo ming magin hade an tawong ini.’","Subalit kinapootan siya ng kanyang mga mamamayan at nagsugo sila sa kanya ng kinatawan na nagsasabi, ‘Ayaw namin na ang taong ito'y maghari sa amin.’"
"“Alagad ginibo man giraray na hade an tawong idto dangan nagpuli. Pag-abot niya, ipinaapod niya an mga sorogoon na winalatan niya nin kwarta tanganing aramon kun pira an naganansya ninda.","Nang siya'y bumalik, pagkatapos matanggap ang kaharian, sinabi niyang tawagin ang mga aliping binigyan niya ng salapi, upang malaman niya kung ano ang kanilang tinubo sa pangangalakal."
"Nagdolok an enot na sorogoon asin nagsabi, ‘Kagurangnan, an sarong bulawan na kwarta na itinao mo sako nakaganansya nin sampolo.’","Dumating ang una, na nagsasabi, ‘Panginoon, tumubo ang iyong mina ng sampung mina pa.’"
"Sinabihan niya an sorogoon, ‘Tama an ginibo mo, marahay na sorogoon! Huli ta maimbod ka sa mga sadit na bagay, gigibohon takang kagsakop nin sampolong syudad.’","At sinabi niya sa kanya, ‘Magaling, mabuting alipin. Sapagkat naging tapat ka sa kakaunti, mamahala ka sa sampung lunsod.’"
"Nagdolok an ikaduwang sorogoon asin nagsabi, ‘Kagurangnan, an sarong bulawan na kwarta na itinao mo sako nakaganansya nin lima.’","Dumating ang ikalawa, na nagsasabi, ‘Panginoon, tumubo ang iyong mina ng limang mina.’"
"Sinabihan niya ini, ‘Gigibohon takang kagsakop nin limang syudad.’","Sinabi niya sa kanya, ‘Ikaw ay mamamahala sa limang lunsod.’"
"An saro pang sorogoon nagdolok asin nagsabi, ‘Kagurangnan, uya an saimong bulawan na kwarta; tinungkosan ko ini sa panyo;","Dumating ang isa pa, na nagsasabi, ‘Panginoon, narito ang iyong mina na aking itinago sa isang panyo;"
"huli ta natakot ako saimo dahel ta maisip kang tawo. Kinukua mo an bako mong pinagpagalan, asin nag-aani kan bako mong itinanom.’","ako'y natakot sa iyo, sapagkat ikaw ay taong mahigpit, kinukuha mo ang hindi mo itinabi, at ginagapas mo ang hindi mo inihasik.’"
"Dangan sinabihan kan hade an sorogoon na ini, ‘Maraot kang sorogoon! Papadusahan taka siring sa itinaram mo! Aram mo palan na maisip ako, kinukua ko an bako kong pinagpagalan saka nag-aani kan bako kong itinanom;","Sinabi niya sa kanya, ‘Hinahatulan kita mula sa sarili mong bibig, ikaw na masamang alipin. Alam mo na ako'y taong mahigpit, na kumukuha ng hindi ko itinabi, at gumagapas ng hindi ko inihasik."
"tadaw ta dai mo idineposito sa bangko an kwarta ko? Pagbalik ko, igwa na kuta ini nin tubo pagkua ko.’","Kung gayon, bakit hindi mo inilagay ang aking salapi sa bangko at nang sa aking pagbalik ay makuha ko iyon pati ng tinubo?’"
