source,reference,translation
"When he came, he announced the good news of peace to you who were far away from God and to those who were near.","at kanyang papagkasunduin ang dalawa sa isang katawan sa Diyos sa pamamagitan ng krus, na sa pamamagitan niyon ay pinatay ang alitan.",At siya'y dumating at ipinangaral ng mabuting balita ng kapayapaan sa inyo na malayo at sa mga malapit.
"I will eliminate your shrines, chop down your incense altars, and pile your dead bodies on the dead bodies of your idols. I will despise you.","Gagawin kong ilang ang lupain, at ang inyong mga kaaway na nakatira roon ay magtataka.","Ako'y bababahin ang inyong mga santuario, at bubuksan ko ang inyong mga halaran ng insenso, at aking ilalagay ang inyong mga bangkay sa mga bangkay ng inyong mga dios-dios; at ako'y magsisisi sa inyo."
Earlier generations didn’t know this hidden plan that God has now revealed to his holy apostles and prophets through the Spirit.,"Sa naunang mga salinlahi ay hindi ito ipinaalam sa mga anak ng mga tao, na gaya ngayon na ipinahayag na sa kanyang mga banal na apostol at propeta sa pamamagitan ng Espiritu:","Sapagka't ang lihim na ito ay hindi nalalaman sa mga unang panahon, gaya ng ipinahayag na ngayon sa pamamagitan ng Espiritu sa kaniyang mga banal na apostol at mga propeta."
"Some people from Jerusalem said, “Isn’t he the one they want to kill?","Sinabi ng ilang taga-Jerusalem, “Hindi ba ito ang taong kanilang pinagsisikapang patayin?","Kaya't sinabi ng ilan sa mga taga-Jerusalem, Hindi ba ito ang sinisikap nilang patayin?"
Do your work for six days. But the seventh day is a Sabbath of complete rest that is holy to the LORD . Whoever does any work on the Sabbath day will be put to death.,"Anim na araw na gagawin ang gawain, subalit ang ikapitong araw ay Sabbath ng taimtim na pagpapahinga, banal sa Panginoon ; sinumang gumawa ng anumang gawa sa araw ng Sabbath ay walang pagsalang papatayin.","anim na araw ay gagawin mo ang iyong gawa; ngunit ang ikapitong araw ay isang sabbath ng buong pahinga, isang banal na pahinga sa Panginoon; ang sinumang gumagawa ng anumang gawa sa araw ng sabbath ay papatayin."
Your ancestors ate manna in the wilderness and they died.,"Kumain ng manna sa ilang ang inyong mga ninuno, at sila'y namatay.",Ang inyong mga ninuno ay kumain ng mana sa ilang at sila'y namatay.
"Brothers and sisters, I’ll use an example from human experience. No one ignores or makes additions to a validated will.","Mga kapatid, ako ay nagsasalita ayon sa tao, kapag napagtibay na ang tipan ng isang tao, walang makapagdaragdag o makapagpapawalang-bisa nito.","Mga kapatid, ako'y nagsasalita sa pamamagitan ng pang-aari ng tao. Walang sinuman ang nagtataka ng isang kalooban o nagdaragdag sa kanya."
so that you will fear the LORD your God by keeping all his regulations and his commandments that I am commanding you—both you and your sons and daughters—all the days of your life and so that you will lengthen your life.,"upang ikaw ay matakot sa Panginoon mong Diyos, na iyong ingatan ang lahat niyang mga tuntunin at ang kanyang mga utos na aking iniutos sa iyo, at sa iyong anak, at sa anak ng iyong anak sa lahat ng araw ng iyong buhay; at upang ang iyong mga araw ay humaba.","upang kayo'y matakot sa Panginoon ninyong Diyos, upang inyong sundin ang lahat ng kanyang mga utos at mga utos na aking iniutos sa inyo, kayo, at ang inyong mga anak na lalaki at babae, sa lahat ng mga araw ng inyong buhay, at upang inyong mapalawak ang inyong mga araw."
"“Attack them,” the LORD replied, “because I will definitely hand the Philistines over to you.”","Dumating si David sa Baal-perazim at sila'y ginapi doon ni David. Kanyang sinabi, “Winasak ng Panginoon ang aking mga kaaway sa harap ko, gaya ng umaapaw na baha.” Kaya't ang pangalan ng dakong iyon ay tinawag na Baal-perazim.","Sinalakay ninyo sila, at sinabi ng Panginoon, sapagka't aking ibibigay ang mga Filisteo sa iyo."
"Then Joseph returned to Egypt, he, his brothers, and everyone who left with him to bury his father.","Pagkatapos niyang mailibing ang kanyang ama, bumalik si Jose sa Ehipto, kasama ang kanyang mga kapatid at ang lahat ng umalis na kasama niya sa paglilibing sa kanyang ama.","At si Jose ay bumalik sa Ehipto, siya at ang kanyang mga kapatid, at ang lahat na sumakay sa kanya upang ililibing ang kanyang ama."
"He went in and said to them, “ What’s all this commotion and crying about? The child isn’t dead. She’s only sleeping. ”","Hinawakan niya ang kamay ng bata at sinabi sa kanya, “Talitha cum,” na ang kahulugan ay “Munting batang babae, sinasabi ko sa iyo, bumangon ka!”","At siya'y pumasok at sinabi sa kanila, Bakit kayo'y umiiyak at umiiyak? Ang bata ay hindi patay kundi natutulog lamang."
We eagerly wait for the hope of righteousness through the Spirit by faith.,"Sapagkat sa pamamagitan ng Espiritu, sa pananampalataya ay naghihintay tayo sa pag-asa ng katuwiran.","Sapagka't tayo'y naghihintay sa pag-asa ng katuwiran sa pamamagitan ng Espiritu, sa pamamagitan ng pananampalataya."
This became known to the Jews and Greeks living in Ephesus. Everyone was seized with fear and they held the name of the Lord Jesus in the highest regard.,"Nalaman ito ng lahat ng naninirahan sa Efeso, mga Judio at gayundin ng mga Griyego; at sinidlan silang lahat ng takot, at pinuri ang pangalan ng Panginoong Jesus.","Nang malaman ito ng mga Judio at mga Griego na naninirahan sa Efeso, natatakot silang lahat, at ang pangalan ng Panginoong Jesus ay ipinagmamalaki."
"Tychicus, my loved brother and faithful servant of the Lord, can inform you about my situation and what I’m doing.","At upang malaman din ninyo ang mga bagay tungkol sa akin at ang aking kalagayan, si Tiquico ang siyang magsasalaysay sa inyo ng lahat ng mga bagay. Siya na aking minamahal na kapatid at tapat na lingkod sa Panginoon.","Si Tikiko, ang minamahal na kapatid at tapat na lingkod sa Panginoon, ay magpapakilala sa inyo tungkol sa aking kalagayan at sa aking ginagawa."
"Jesus went out beside the lake again. The whole crowd came to him, and he began to teach them.",At si Jesus ay muling lumabas sa tabi ng lawa. Nagtipon sa paligid niya ang napakaraming tao at sila'y kanyang tinuruan.,"At siya'y lumabas na muli sa tabi ng dagat, at ang buong karamihan ay dumating sa kanya, at siya'y nagsisipag-aral sa kanila."
"He said, “I will give you a kid goat from my flock.”","Sinabi niya, “Anong sangla ang ibibigay ko sa iyo?” Sumagot siya, “Ang iyong singsing, ang iyong pamigkis, at ang tungkod na nasa iyong kamay.” Kaya't ang mga iyon ay ibinigay sa kanya, at siya'y sumiping sa kanya, at siya'y naglihi sa pamamagitan niya.","At sinabi niya, Ibibigay ko sa iyo ang isang kanding kambing mula sa aking kawan."
"and the pig—because it has a divided hoof but doesn’t rechew food, it’s off-limits for you.","“Lahat ng mga ito na nasa tubig ay maaari ninyong kainin: anumang may mga kaliskis at mga palikpik, ay maaari ninyong kainin.","at ang baboy, sapagka't siya'y may magkahiwalay na paa ngunit hindi kumakain, ito'y walang hangganan para sa inyo."
"Work can be done for six days, but the seventh day is a Sabbath of special rest, a holy occasion. You must not do any work on it; wherever you live, it is a Sabbath to the LORD .","Anim na araw na gagawin ang mga gawain, subalit ang ikapitong araw ay Sabbath na ganap na kapahingahan, isang banal na pagpupulong. Huwag kayong gagawa ng anumang gawain; ito ay Sabbath sa Panginoon sa lahat ng inyong mga paninirahan.","Ang anim na araw ay maaaring gawin ang trabaho, ngunit ang ikapitong araw ay isang araw ng pahinga, isang banal na araw; huwag kayong magtrabaho ng anumang gawa; ito'y isang araw ng pahinga sa Panginoon sa lahat ng inyong mga tahanan."
"He had the camels kneel down outside the city at the well in the evening, when women come out to draw water.","Kanyang pinaluhod ang mga kamelyo sa labas ng bayan, sa tabi ng balon ng tubig nang papalubog na ang araw, panahon nang paglabas ng mga babae upang umigib ng tubig.","Ang mga kamelyo'y hinuhulog niya sa labas ng bayan sa hangganan ng bubon, nang ang mga babae ay lumabas upang dalhin ng tubig."
"Eltolad, Bethul, Hormah,","Eltolad, Betul, Horma;","si Eltolad, si Betul, si Horma,"
Nobody should deceive you with stupid ideas. God’s anger comes down on those who are disobedient because of this kind of thing.,"Huwag kayong padaya sa mga salitang walang katuturan, sapagkat dahil sa mga bagay na ito'y dumarating ang galit ng Diyos sa mga anak ng pagsuway.","Huwag kayong maliligawan ng sinuman sa pamamagitan ng mga kamangmangan na pananalita, sapagkat dahil sa mga bagay na ito ay darating ang galit ng Diyos sa mga taong hindi sumasang-ayon."
"Jesus said, “ Remove the stone. ”","Sinabi sa kanya ni Jesus, “Hindi ba sinabi ko sa iyo, na kung ikaw ay sasampalataya, ay makikita mo ang kaluwalhatian ng Diyos?”","Sinabi ni Jesus, Aalisin ninyo ang bato."
"Make two winged heavenly creatures of hammered gold, one for each end of the cover.","At gagawa ka ng dalawang kerubin na ginto; gagawin mo ang mga iyon sa pamamagitan ng pagpitpit, sa dalawang dulo ng luklukan ng awa.","Gumawa ka ng dalawang mga nilalang na may mga pakpak na langit, mula sa ginto na may mga hammer, isa sa bawat dulo ng tapis."
"Those who emerge victorious will wear white clothing like this. I won’t scratch out their names from the scroll of life, but will declare their names in the presence of my Father and his angels.","Ang magtagumpay ay bibihisang gayon ng mapuputing damit; at hindi ko kailanman papawiin ang kanyang pangalan sa aklat ng buhay. At ipahahayag ko ang kanyang pangalan sa harapan ng aking Ama, at sa harapan ng kanyang mga anghel.","Ang mga mananalo ay magsususuot ng mga damit na puti, at ang kanilang mga pangalan ay hindi ko lilipulin mula sa aklat ng buhay, kundi ikikilala ko ang kanilang mga pangalan sa harap ng aking Ama at ng kanyang mga anghel."
"Jacob heard that Laban’s sons were saying, “Jacob took everything our father owned and from it he produced all of this wealth.”","Narinig ni Jacob ang mga salita ng mga anak ni Laban, na nagsasabi, “Kinuha ni Jacob ang lahat ng sa ating ama. Mula sa ating ama ay tinamo niya ang lahat ng kanyang kayamanan.”","Nang malaman ni Jacob ang mga anak ni Laban, sinabi niya, Nakuha ni Jacob ang lahat ng nilagyan ng aming ama, at mula sa kanya ay nakuha niya ang lahat ng kayamanan na ito."
This saying is reliable and deserves complete acceptance.,"Sapagkat dahil dito ay nagpapagal kami at nagsisikap, sapagkat nakalagak ang aming pag-asa sa Diyos na buháy, na siyang Tagapagligtas ng lahat ng tao, lalo na ng mga nananampalataya.",Ang salita na ito ay tapat at karapat-dapat sa buong pagtanggap.
“ Your elders will dream dreams. ”,ang inyong matatandang lalaki ay mananaginip ng mga panaginip., At ang iyong mga matanda ay mangarap ng mga panaginip.
"She called out, “Samson, the Philistines are on you!”","Hinuli siya ng mga Filisteo at dinukit ang kanyang mga mata. Kanilang dinala siya sa Gaza, at ginapos siya ng mga tanikalang tanso, at siya'y pinagtrabaho sa gilingan sa bilangguan.","Sinabi niya sa kanya, Samson, ang mga Filisteo ay sumakay sa iyo."
"Anyone who touches her bed must wash their clothes, bathe in water, and will be unclean until evening.","Sinumang humipo ng kanyang higaan ay maglalaba ng kanyang mga damit, at maliligo sa tubig, at magiging marumi hanggang sa paglubog ng araw.","At ang sinumang makakasama sa kanyang higaan ay maghugas ng kanyang mga damit at maghugas sa tubig, at siya'y magiging hindi malinis hanggang sa gabi."
the one you challenged by Meribah’s waters;,"na siyang nagsabi tungkol sa kanyang ama at ina,",ang iyong sinisisi sa mga tubig ng Meriba;
This is how the lampstand was made: it was hammered gold; from its base to its flower it was hammered. Moses made the lampstand according to the vision that the LORD had shown Moses.,"Ito ang pagkagawa ng ilawan, na yari sa gintong pinitpit; mula sa patungan niyon hanggang sa mga bulaklak niyon ay pinitpit ayon sa anyo na ipinakita ng Panginoon kay Moises ay gayon niya ginawa ang ilawan.","Ito ang ginawa ng lamparahan: ito'y hinukay ng ginto, mula sa ilalim nito hanggang sa bulaklak nito. Ginagawa ni Moises ang lamparahan ayon sa pangitain na ipinakita ng Panginoon kay Moises."
"Reuben responded to them, “Didn’t I tell you, ‘Don’t do anything wrong to the boy’? But you wouldn’t listen. So now this is payback for his death.”","Kaya't siya'y lumayo sa kanila at umiyak; at siya'y bumalik at nakipag-usap sa kanila. Kinuha niya sa kanila si Simeon, at siya'y tinalian sa harapan ng kanilang mga paningin.","At sinabi ni Ruben sa kanila, Hindi ba't sinabi ko sa inyo, Huwag kayong gumawa ng masama sa bata? Ngunit kayo'y hindi nagdinig; kaya't ngayon ay ang kanyang kamatayan'y pinagsisisi."
"Everyone ate until they were full, and they filled twelve baskets with the leftovers.","Kumain silang lahat at nabusog. Kinuha nila ang mga lumabis na pinagputul-putol na tinapay, at napuno ang labindalawang kaing.","Lahat sila'y kumain hanggang sa sila'y nasiyahan, at sila'y nagpuno ng labindalawang basket ng mga natitira."
"On the third day Zebulun’s Chief Eliab, Helon’s son:","Nang ikatlong araw ay si Eliab na anak ni Helon, na pinuno sa mga anak ni Zebulon.","Sa ikatlong araw, si Eliab na anak ni Helon na pangulo ng mga taga-Zebulon."
"Household slaves, submit by accepting the authority of your masters with all respect. Do this not only to good and kind masters but also to those who are harsh.","Noon ay hindi kayo bayan, ngunit ngayo'y bayan kayo ng Diyos; noon ay hindi kayo tumanggap ng habag, ngunit ngayo'y tumanggap kayo ng habag.","Mga alipin, magpasakop kayo sa inyong mga panginoon sa buong paggalang, hindi lamang sa mga mabuti at mabait, kundi sa mga mahihirap din."
The LORD said to Moses and Aaron:,"Ang Panginoon ay nagsalita kina Moises at Aaron, na sinasabi,","Sinabi ng Panginoon kay Moises at kay Aaron,"
"and ministers in the LORD his God’s name, just like his relatives—the other Levites serving there in the LORD ’s presence—","ay maglilingkod nga siya sa pangalan ng Panginoon niyang Diyos, na gaya ng ginagawa ng lahat ng kanyang mga kapatid na mga Levita, na tumatayo upang maglingkod sa harapan ng Panginoon .","At siya'y naglilingkod sa pangalan ng Panginoon niyang Diyos, gaya ng kanyang mga kapatid, ang iba pang mga Levita na nagsisilbing nasa harap ng Panginoon."
"The chief wine steward described his dream to Joseph: “In my dream there was a vine right in front of me,","Sa puno ng ubas ay may tatlong sanga. Sa pagsipot ng dahon nito, ito ay namulaklak at ang mga buwig niyon ay naging mga ubas na hinog.","Sinabi ng pinuno ng mga tagapag-alaga ng alak kay Jose ang kanyang pangarap, Sa aking pangarap, may isang puno ng ubas sa aking harapan."
then you must bring out the man or woman who has done this evil thing to the gates of the city. Stone that person until he or she is dead.,"ay iyo ngang ilalabas sa iyong mga pintuang-bayan ang lalaki o babaing iyon na gumawa ng bagay na masama at iyong babatuhin ng mga bato ang lalaki at babae, hanggang sila'y mamatay.","ang lalaki o babae na gumawa ng kasamaan na ito ay inyong dadalhin sa mga pintuan ng bayan, at siya'y papatayin ng mga bato hanggang sa siya'y mamatay."
The south side ran from the limits of Kiriath-jearim. The border went out westward. It then proceeded to the waters of Nephtoah Spring.,"Ang bahaging timog ay mula sa dakong labas ng Kiryat-jearim at ang hangganan ay palabas sa kanluran, at palabas sa bukal ng tubig ng Neftoa:","Ang bahagi ng timog ay mula sa hangganan ng Kiriat-jearim, at ang hangganan ay lumabas sa kanluran, at hanggang sa tubig ng ilog ng Neftoah."
His interpretations came true exactly: Pharaoh restored me to my position but hanged him.”,"At nangyari nga sa amin ang ayon sa kanyang ipinaliwanag sa amin; ako'y ibinalik sa aking katungkulan, at ang panadero ay ipinabitay.”","Kaya't natupad ang kanyang pananalita, na sinabi niya, Ibalik ako ni Faraon sa aking posisyon, ngunit siya'y pinatay."
"Now, Israel, in light of all that, listen to the regulations and the case laws that I am teaching you to follow, so that you may live, enter, and possess the land that the LORD , your ancestors’ God, is giving to you.","“At ngayon, O Israel, pakinggan mo ang mga tuntunin at ang mga batas, na aking itinuturo at inyong gawin ang mga ito upang kayo'y mabuhay, at pumasok at angkinin ang lupaing ibinibigay sa inyo ng Panginoong Diyos ng inyong mga ninuno.","Ngayon, Israel, pakinggan mo ang mga kautusan at ang mga kautusan na aking ipinapagturo sa iyo upang inyong sundin, upang kayo'y mabuhay at pumasok at kumita sa lupain na ibinibigay sa inyo ng Panginoon, ang Diyos ng inyong mga ninuno."
"David had a craving and said, “If only someone could give me a drink of water from the well by the gate in Bethlehem.”","at kanyang sinabi, “Malayo nawa sa akin, O Panginoon , na aking gawin ito. Iinumin ko ba ang dugo ng mga lalaki na pumaroon at itinaya ang kanilang buhay?” Kaya't ayaw niya itong inumin. Ang mga bagay na ito ay ginawa ng tatlong mandirigma.","Kaya't sinabi ni David, Kung ang isang tao ay magbibigay sa akin ng inumin ng tubig mula sa ilog na nasa tabi ng pintuan ng Betlehem!"
I am the gate. Whoever enters through me will be saved. They will come in and go out and find pasture.,"Ako ang pintuan. Ang sinumang pumasok sa pamamagitan ko ay maliligtas, at papasok at lalabas, at makakatagpo ng pastulan.","Ako ang pintuan; ang pumapasok sa pamamagitan ko ay maliligtas, at sila'y pumasok at lumabas at makakahanap ng pastol."
The LORD spoke to Moses and Aaron:,“Hanggang kailan magrereklamo laban sa akin ang masamang kapulungang ito? Aking narinig ang mga reklamo ng mga anak ni Israel na kanilang sinasabi laban sa akin.,"Sinabi ng Panginoon kay Moises at kay Aaron,"
And in the same way he sprinkled the meeting tent and also all the equipment that would be used in the priests’ service with blood.,"Sa gayunding paraan, ang tabernakulo at ang lahat ng mga kasangkapang ginagamit sa banal na pagsamba ay pinagwiwisikan niya ng dugo.",At ang tabernakulo ng pagtitipon at ang lahat ng mga kagamitan na ginagamit para sa paglilingkod ng mga pari ay kaniyang inibubo ng dugo sa parehong paraan.
"You will eat, you will be satisfied, and you will bless the LORD your God in the wonderful land that he’s given you.","Kakain ka, mabubusog, at iyong pupurihin ang Panginoon mong Diyos dahil sa mabuting lupain na kanyang ibinigay sa iyo.","Kaya't kayo'y makakain at mabuo, at kayo'y magpapasalamat sa Panginoon ninyong Diyos sa magandang lupain na ibinibigay niya sa inyo."
Do not turn to idols or make gods of cast metal for yourselves; I am the LORD your God.,"Huwag kayong babaling sa mga diyus-diyosan, ni huwag kayong gagawa para sa inyong sarili ng mga diyos na inanyuan; ako ang Panginoon ninyong Diyos.","Huwag kayong maglingkod sa mga diyos, at huwag kayong gumawa ng mga diyos sa pamamagitan ng balat; ako ang Panginoon ninyong Diyos."
"Joshua sent them off, and they went to set the ambush. They stayed between Bethel and Ai, to the west of Ai. Joshua spent that night among the people.",Sila'y pinahayo ni Josue at sila'y pumunta sa dakong pagtatambangan at lumagay sa pagitan ng Bethel at ng Ai sa gawing kanluran ng Ai. Samantalang si Josue ay tumigil nang gabing iyon na kasama ng bayan.,"Kaya't iniwan nila sila ni Josue, at sila'y nagpunta upang magpahinga, at sila'y nagpahinga sa pagitan ng Bethel at Ai, sa kanluran ng Ai; at si Josue ay nanatili sa gitna ng bayan sa gabing iyon."
This was so he could redeem those under the Law so that we could be adopted.,"upang tubusin ang mga nasa ilalim ng kautusan, upang matanggap natin ang pagkupkop bilang mga anak.","upang iligtas niya ang mga nasa ilalim ng kautusan, upang tayo'y maging mga anak."
"Sadducees, who deny that there is a resurrection, came to Jesus and asked,","Nagdala nga sila ng isa at sinabi niya sa kanila, “Kaninong larawan at pangalan ang nakaukit?” Sinabi nila sa kanya, “Kay Cesar.”","Nang magkagayo'y dumating sa kanya ang mga Saduseo, na hindi naniniwala na may pagkabuhay-muli, at nagtanong,"
"Simon Peter got up and pulled the net to shore. It was full of large fish, one hundred fifty-three of them. Yet the net hadn’t torn, even with so many fish.","Ito nga ang ikatlong pagpapakita ni Jesus sa mga alagad, pagkatapos na siya'y bumangon mula sa mga patay.","Kaya't tumayo si Simon Pedro, at inilagay sa baybayin ang pukot na puno ng malalaking isda, isang daang limampung tatlo; at ang pukot ay hindi natakas, kahit gaano karaming isda."
"This is why you should try your best to forgive and to comfort this person now instead, so that this person isn’t overwhelmed by too much sorrow.","Bagkus, inyong patawarin siya at aliwin, baka siya ay madaig ng labis na kalungkutan.","Kaya't kayo'y dapat na magpatawad sa kanya ngayon, at mangaliw-aliw, upang siya'y hindi mapuno ng labis na kasiraan."
"He fell to the ground and heard a voice asking him, “Saul, Saul, why are you harassing me?”","Bumagsak siya sa lupa at nakarinig ng isang tinig na sa kanya'y nagsasabi, “Saulo, Saulo, bakit mo ako inuusig?”","At siya'y bumaba sa lupa, at narinig niya ang isang boses na nagsasabi sa kanya, Saulo, Saulo, bakit mo ako pinagpapakurian?"
"The Lord continued, ‘“ Remove the sandals from your feet, for the place where you are standing is holy ground. ”","At sinabi sa kanya ng Panginoon, ‘Alisin mo ang mga sandalyas sa iyong mga paa sapagkat ang dakong kinatatayuan mo ay lupang banal.","Kaya't sinabi ng Panginoon, Iliwas mo ang iyong mga sandalyas sa iyong mga paa, sapagkat ang lugar na tinatayo mo ay banal na lupa."
"not by everyone but by us. We are witnesses whom God chose beforehand, who ate and drank with him after God raised him from the dead.","Siya ang pinatotohanan ng lahat ng mga propeta, na ang bawat sumasampalataya sa kanya ay makakatanggap ng kapatawaran sa mga kasalanan sa pamamagitan ng kanyang pangalan.”","Hindi sa pamamagitan ng lahat ng tao, kundi sa pamamagitan namin, mga saksi na pinili nang una ng Diyos, na kumain at uminom kasama niya pagkatapos niyang muling binuhay mula sa mga patay."
Watch out for people—because they will hand you over to councils and they will beat you in their synagogues.,"Mag-ingat kayo sa mga tao, sapagkat ibibigay nila kayo sa mga hukuman at hahagupitin nila kayo sa kanilang mga sinagoga,","Mag-ingat kayo sa mga tao; sapagka't kanilang ibibigay kayo sa mga hukmanan, at sila'y bibigyan kayo sa kanilang mga sinagoga."
"You must not have sexual contact with your son’s daughter or your daughter’s daughter, because their nakedness is your own nakedness.","Huwag mong ililitaw ang kahubaran ng anak na babae ng iyong anak na lalaki, o ng anak na babae ng iyong anak na babae; sapagkat ang kahubaran nila ay kahubaran mo rin.","Huwag kang makipagtalik sa anak na babae ng iyong anak na lalaki o babae ng iyong anak na babae, sapagkat ang kanilang pagkabuwal ay iyong pagkabuwal."
Favored are those who wash their robes so that they may have the right of access to the tree of life and may enter the city by the gates.,"Mapapalad ang naghuhugas ng kanilang damit, upang sila'y magkaroon ng karapatan sa punungkahoy ng buhay at makapasok sa lunsod sa pamamagitan ng mga pintuan.","Mapalad ang mga naghuhugas ng kanilang mga damit, upang sila'y magkaroon ng karapatan sa punungkahoy ng buhay, at pumasok sa bayan sa pamamagitan ng mga pintuan."
"Abram fell on his face, and God said to him,","At nagpatirapa si Abram, at sinabi ng Diyos sa kanya,","Si Abram ay lumuhod sa kanyang mukha, at sinabi sa kanya ng Diyos,"
From there he went up to Penuel and made the same request. And the people of Penuel responded in the same way the people of Succoth had.,"Mula roon ay umahon siya sa Penuel, at gayundin ang sinabi niya sa kanila, at sinagot siya ng mga lalaki sa Penuel na gaya ng isinagot ng mga lalaki sa Sucot.",Mula roon siya'y umabot sa Penuel at humingi ng gayon ding hangarin. At ang mga tao ng Penuel ay sumagot gaya ng ginawa ng mga tao ng Sucot.
"But the LORD adored your ancestors, loving them and choosing the descendants that followed them—you!—from all other people. That’s how things still stand now.","Tuliin ninyo ang balat ng inyong puso, at huwag ninyong papagmatigasin ang inyong ulo.","Ngunit ang Panginoon ay naglingkod sa inyong mga ninuno, at nagmamahal sa kanila, at pinipili ang mga anak na sumunod sa inyo mula sa lahat ng mga bayan, hanggang sa ngayon."
"So David went up, following Gad’s instructions, just as the LORD had commanded.","Umahon si David ayon sa sinabi ni Gad, tulad ng iniutos ng Panginoon .","Kaya't nagpunta si David ayon sa utos ni Gad, gaya ng iniutos ng Panginoon."
"Abimelech said, “What are you trying to do to us? Before long, one of the people would have slept with your wife; and you would have made us guilty.”","Kaya't iniutos ni Abimelec sa buong bayan, “Ang gumalaw sa lalaking ito o sa kanyang asawa ay mamamatay.”","At sinabi ni Abimelec, Ano ang iyong ginagawa sa amin? Sa lalong madaling panahon ay ang isang tao sa bayan ay nakakasama sa iyong asawa, at ikaw ay gumawa sa amin ng kasalanan."
In this way all the work of the meeting tent dwelling was finished. The Israelites did everything just exactly as the LORD had commanded Moses.,Gayon natapos ang lahat ng paggawa sa tabernakulo ng toldang tipanan; at ginawa ng mga anak ni Israel ang ayon sa lahat ng iniutos ng Panginoon kay Moises; gayon ang ginawa nila.,Kaya't ang lahat ng gawain ng tabernakulo ng kahatulan ay natapos. Ginawa ng mga anak ni Israel ang lahat ng ayon sa utos ng Panginoon kay Moises.
"the meeting tent, the chest containing the covenant, the cover that is on top of it, all the tent’s furnishings,","ang toldang tipanan at ang kaban ng patotoo, at ang luklukan ng awa na nasa ibabaw niyon, at ang lahat ng kasangkapan ng tolda,","ang tabernakulo ng pagpupulong, ang kaban ng tipan, ang lambing nasa ibabaw nito, ang lahat ng mga kagamitan ng tabernakulo,"
"We have been ransomed through his Son’s blood, and we have forgiveness for our failures based on his overflowing grace,","na pinasagana niya sa atin sa lahat ng karunungan at pagkaunawa,","Sa pamamagitan ng dugo ng kanyang Anak, tayo'y pinaubos, at pinatawad ang ating mga kasalanan ayon sa kahanga-hanga ng kanyang biyaya,"
"David had just been saying, “What a waste of time—guarding all this man’s stuff in the wilderness so that nothing of his went missing! He has repaid me evil instead of good!","Sinabi ni David, “Tunay na walang kabuluhan na aking iningatan ang lahat ng pag-aari ng taong ito sa ilang, anupa't walang nawalang anuman sa lahat ng pag-aari niya; at ang mabuti ay ginantihan niya ng masama.","At sinabi ni David, Buti na lang ang pag-aalaga sa lahat ng mga bagay ng taong ito sa ilang, na walang naiiwan sa kaniya; siya'y nagbabayad sa akin ng masama sa halip ng mabuti."
Or haven’t you read in the Law that on the Sabbath the priests in the temple treat the Sabbath as any other day and are still innocent?,"O hindi ba ninyo nabasa sa kautusan, kung paanong sa mga araw ng Sabbath ay winalang-galang ng mga pari sa templo ang Sabbath, at hindi sila nagkasala?","O hindi ninyo nabasa sa Kasugoan na sa araw ng Sabbath, ang mga pari sa Templo ay gumagawa ng ibang araw ng Sabbath, ngunit sila'y walang kasalanan?"
He took six hundred elite chariots and all of Egypt’s other chariots with captains on all of them.,"Siya'y nagdala ng animnaraang piling karwahe, at lahat ng iba pang mga karwahe sa Ehipto, at ng mga mamumuno sa lahat ng mga iyon.","Siya'y kumuha ng anim na daang mga karwahe, at ng lahat ng mga karwahe ng Egipto, na may mga kapitan sa lahat ng mga karwahe."
"So Michal lowered David through a window. He took off and ran, and he got away.","Kaya inihugos ni Mical si David sa isang bintana, at siya'y tumakbong palayo at tumakas.","Kaya't inilabas ni Mikal si David sa isang bintana, at siya'y tumakbo at tumakbo."
"Next Samuel brought the tribe of Benjamin forward by its families, and the family of Matri was selected. Samuel then brought the family of Matri forward, person by person, and Saul, Kish’s son, was selected. But when they looked for him, he wasn’t to be found.","Kaya't muli nilang itinanong sa Panginoon , “May lalaki pa bang pupunta rito?” At ang Panginoon ay sumagot, “Tingnan mo, siya'y nagtago sa mga dala-dalahan.”","Pagkatapos ay ipinadala ni Samuel ang tribo ni Benjamin ayon sa kanilang mga pamilya, at ang sambahayan ni Matri ay pinili, at ang sambahayan ni Matri ay ipinadala ni Samuel ayon sa bawat isa, at si Saul na anak ni Kish ay pinili; ngunit siya'y hinanap nila, ngunit hindi siya natagpuan."
"If an immigrant resides among you and wishes to keep the Passover to the LORD , that one also will keep it according to its regulations and its customary practices. There will be one set of regulations for both of you, for the immigrant and for the native of the land.","Sinumang dayuhan na naninirahang kasama ninyo na nagnanais ipangilin ang paskuwa sa Panginoon , ay gagawin niya iyon ayon sa tuntunin ng paskuwa at ayon sa batas. Kayo'y magkakaroon ng isang tuntunin para sa dayuhan at sa katutubo.”","Kung ang isang dumalo na naninirahan sa gitna ninyo at nais na ipagdiriwang ang paskua sa Panginoon, siya'y ipagdiriwang ang paskua ayon sa kaniyang mga alituntunin at ayon sa kaniyang mga kaugalian . Magkakasama ang mga kautusan para sa inyo, para sa dumalo at para sa binata sa lupain."
"and don’t participate in the unfruitful actions of darkness. Instead, you should reveal the truth about them.","At huwag kayong makibahagi sa mga gawa ng kadiliman na walang ibubunga, kundi inyong ilantad ang mga ito.","at huwag kayong makibahagi sa mga walang bunga na gawa ng kadiliman, kundi ihayag ninyo ang katotohanan."
