ceb	en
kay ako andam na nga ihalad ug ang panahon sa akong pagbiya miabot na.	for i am already being poured out like a drink offering, and the time for my departure is near.
nakigbisog na ako sa maayong pakigbisog, natapos ko na ang lumba, gituman nako ang pagtuo.	i have fought the good fight, i have finished the race, i have kept the faith.
paningkamoti ang pagari dayon kanako.	do your best to come to me quickly,
si tiquico akong gipaadto sa efeso.	i sent tychicus to Ephesus.
kinahanglan usab nga ikaw magbantay kaniya kay dako ang iyang pagsupak sa atong mga pulong.	you too should be on your guard against him, because he strongly opposed our message.
ipangumosta ako kang Priscilla ug kang Aquila, ug sa panimalay ni onesiforo.	greet Priscilla and Aquila and the household of onesiphorus.
si erasto nagpabilin didto sa corinto, apan si trofimo akong gibilin nga masakiton didto sa mileto.	erastus stayed in Corinth, and i left trophimus sick in Miletus.
ang Ginoo maguban sa imong espiritu. ang grasya maguban kaninyo.	the Lord be with your spirit. grace be with you all.
ang pangulo, nganha kang gayo nga hinigugma, nga akong gihigugma diha sa kamatuoran.	the elder, to my dear friend gaius, whom i love in the truth.
wala na akoy kalipay nga molabaw pa niini, nga makadungog ako nga ang akong mga anak nagkinabuhi diha sa kamatuoran.	i have no greater joy than to hear that my children are walking in the truth.
kay kini sila nanglakaw tungod sa iyang ngalan, ug wala silay gipangdawat nga bisan unsa gikan sa mga dili magtutuo.	it was for the sake of the name that they went out, receiving no help from the pagans.
busa kinahanglan gayod nga atong abiabihon ang maong mga tawo aron mahimo kitang kauban nga magbubuhat sa kamatuoran.	we ought therefore to show hospitality to such people so that we may work together for the truth.
daghan ako ug igsusulat, apan dili nako kini isulat pinaagi sa igsusulat ug tinta.	i have much to write you, but i do not want to do so with pen and ink.
naglaom ako sa pagpakigkita kanimo sa dili madugay ug magsultihanay unya kita sa nawong ug nawong.	i hope to see you soon, and we will talk face to face.
kay kadto siya apil man kanamo ug nakadawat sa iyang bahin niining maong buluhaton.	he was one of our number and shared in our ministry.”
unya ilang gipaatubang ang duha ka tawo, si Jose nga ginganlan ug barsabas nga gianggaan ug justo, ug si matias.	so they nominated two men: Joseph called barsabbas (also known as justus) and Matthias.
nga maoy mopuli diha niining buluhaton ug sa pagkaapostol nga gibiyaan ni Judas nga miadto sa iyang kaugalingong dapit.”	to take over this apostolic ministry, which Judas left to go where he belongs.”
unya sila nagripa alang kanila ug si matias mao ang natumngan ug siya giisip nga kauban sa napulo ug usa ka apostoles.	then they cast lots, and the lot fell to Matthias; so he was added to the eleven apostles.
sa pagabot sa adlaw sa pentecostes, silang tanan nagkatigom sa usa ka dapit.	when the day of pentecost came, they were all together in one place.
unya dihay mipakita kanila nga mga dila nga daw kalayo, nga naapodapod ug diha sa ibabaw sa matag usa kanila.	they saw what seemed to be tongues of fire that separated and came to rest on each of them.
niadtong panahona didtoy mga judio nga nagpuyo sa Jerusalem, mga tawong relihiyoso gikan sa tanang nasod ubos sa langit.	now there were staying in Jerusalem godfearing Jews from every nation under heaven.
sila natingala ug nahibulong, nga nagingon, “tanawa, dili ba nga kini silang tanan nga nagsulti mga galileanhon man?	utterly amazed, they asked: “arent all these who are speaking galileans?
ug naunsa ba nga kita nakadungog, ang matag usa kanato sa kaugalingon natong sinultihan nga natawhan?	then how is it that each of us hears them in our native language?
ug ang tanan nahibulong ug nangalibog nga nagingon sa usa ug usa, “unsa man kahay gipasabot niini?”	amazed and perplexed, they asked one another, “what does this mean?”
apan ang uban nga nagbugalbugal miingon, “sila nangahubog sa tamis nga bino.”	some, however, made fun of them and said, “they have had too much wine.”
kay kining mga tawhana dili mga hubog, sumala sa inyong gihunahuna kay ikasiyam pa lamang nga takna sa buntag niining adlawa.	these people are not drunk, as you suppose. its only nine in the morning!
apan mao kini ang gisulti pinaagi sa propeta nga si Joel,	no, this is what was spoken by the prophet Joel:
ug mahitabo nga si bisan kinsa nga magtawag sa ngalan sa Ginoo, maluwas.’	and everyone who calls on the name of the Lord will be saved.’
gipaila nimo kanako ang mga dalan sa kinabuhi, himoon nimo ako nga puno sa kalipay pinaagi sa imong presensya.’	you have made known to me the paths of life; you will fill me with joy in your presence.’
kining maong Jesus gibanhaw sa Dios, ug niini kaming tanan mga saksi.	God has raised this Jesus to life, and we are all witnesses of it.
hangtod nga ang imong mga kaaway himoon nako nga tumbanan alang sa imong mga tiil.’	until i make your enemies a footstool for your feet.” ’’
ug unya gibautismohan kadtong mga midawat sa iyang pulong, ug niadtong adlawa may mga tulo ka libo ka tawo ang nadugang kanila.	those who accepted his message were baptized, and about three thousand were added to their number that day.
unya ang tanang tawo giabot ug kahadlok ug pinaagi sa mga apostoles nahimo ang daghang mga kahibulongan ug mga ilhanan.	everyone was filled with awe at the many wonders and signs performed by the apostles.
unya si Pedro ug si Juan mitungas ngadto sa templo sa panahon sa pagampo, sa ikatulo nga takna sa hapon.	one day Peter and John were going up to the temple at the time of prayerat three in the afternoon.
sa pagkakita niya kang Pedro ug kang Juan nga nagpaingon sa sulod sa templo, nangayo siya ug limos.	when he saw Peter and John about to enter, he asked them for money.
ug si Pedro, uban ni Juan, mitutok kaniya ug miingon, “tanaw kanamo.”	Peter looked straight at him, as did John. then Peter said, “look at us!”
ug siya naminaw kanila, nagpaabot nga adunay madawat gikan kanila.	so the man gave them his attention, expecting to get something from them.
ang tanang tawo nakakita kaniya nga naglakaw ug nagdayeg sa Dios,	when all the people saw him walking and praising God,
apan inyong gilimod ang balaan ug matarong, ug inyong gipangayo nga maoy buhian alang kaninyo ang usa ka mamumuno,	you disowned the holy and righteous one and asked that a murderer be released to you.
ug inyong gipatay ang tigmugna sa kinabuhi, ang gibanhaw sa Dios gikan sa mga patay, ug kami mga saksi niini.	you killed the author of life, but God raised him from the dead. we are witnesses of this.
ug ang tanan nga dili mamati sa maong propeta malaglag gikan sa katawhan.’	anyone who does not listen to him will be completely cut off from their people.’
busa gidakop nila sila ug gibutang sa bilanggoan hangtod sa pagkasunod adlaw, kay gabii na man kadto.	they seized Peter and John and, because it was evening, they put them in jail until the next day.
apan daghan sa mga nakadungog sa pulong ang mituo ug ang gidaghanon sa mga lalaki miabot ug mga lima ka libo.	but many who heard the message believed; so the number of men who believed grew to about five thousand.
sa pagkasunod adlaw, ang ilang mga pangulo ug mga kadagkoan ug mga eskriba natigom didto sa Jerusalem	the next day the rulers, the elders and the teachers of the law met in Jerusalem.
unya si Pedro nga puno sa Espiritu Santo santo miingon kanila, “mga pangulo sa katawhan ug mga kadagkoan sa mga judio,	then Peter, filled with the Holy Spirit, spirit, said to them: “rulers and elders of the people!
apan sa ilang pagkakita sa tawo nga maayo na, nga nagtindog tupad kanila, wala silay gikasulti nga supak niini.	but since they could see the man who had been healed standing there with them, there was nothing they could say.
apan sa dihang gisugo nila ang mga apostoles sa pagbiya una sa sanhedrin, sila naghisgothisgot sa usa ug usa,	so they ordered them to withdraw from the sanhedrin and then conferred together.
kay kami dili makapugong sa pagsulti mahitungod sa among nakita ug nadungog.”	as for us, we cannot help speaking about what we have seen and heard.”
ang tawo nga gihimoan sa maong milagro sa pagayo kapin na man sa 40 ka tuig ang panuigon.	for the man who was miraculously healed was over forty years old.
ang mga hari sa kalibotan nagpahiluna, ug ang mga pangulo nagtigom batok sa Ginoo ug batok sa iyang mesias.’	the kings of the earth rise up and the rulers band together against the Lord and against his anointed one. ’’
aron sa pagbuhat sa bisan unsa nga gitakda nang daan nga mahitabo sumala sa buhat sa imong kamot ug sa imong plano.	they did what your power and will had decided beforehand should happen.
ug gibutang sa tiilan sa mga apostoles. ang pagpangapodapod gihimo ngadto sa matag usa sumala sa panginahanglan ni bisan kinsa.	and put it at the apostles’ feet, and it was distributed to anyone who had need.
ug ang mga batanong lalaki mitindog ug giputos nila siya ug giyayongan paingon sa gawas ug gilubong.	then some young men came forward, wrapped up his body, and carried him out and buried him.
human molabay ang mga tulo ka takna, misulod ang iyang asawa nga wala mahibalo sa nahitabo.	about three hours later his wife came in, not knowing what had happened.
ug giabot ug dakong kahadlok ang tibuok iglesia ug ang tanan nakadungog niining mga butanga.	great fear seized the whole church and all who heard about these events.
ug walay bisan usa sa mga dili nila kauban nga nangahas sa pagtipon kanila bisan tuod gitahod sila pagayo sa mga tawo.	no one else dared join them, even though they were highly regarded by the people.
ug misamot ka daghan ang mga magtutuo nga nadugang ngadto sa Ginoo, mga pundok sa mga lalaki ug sa mga babaye,	nevertheless, more and more men and women believed in the Lord and were added to their number.
ug ilang gidakop ang mga apostoles ug gibutang sa bilanggoan sa lungsod.	they arrested the apostles and put them in the public jail.
“lakaw ug tindog sulod sa templo ug sultihi ang katawhan sa tanang pulong mahitungod niining maong kinabuhi.”	“go, stand in the temple courts,” he said, “and tell the people all about this new life.”
unya sa nadala na nila sila, gipaatubang nila sila sa sanhedrin. ug nangutana kanila ang labawng pangulong pari	the apostles were brought in and made to appear before the sanhedrin to be questioned by the high priest.
apan si Pedro ug ang mga apostoles mitubag nga nagingon, “kinahanglan among tumanon ang Dios kay sa mga tawo.	Peter and the other apostles replied: “we must obey God rather than human beings!
ang Dios sa atong mga katigulangan nagbanhaw kang Jesus nga inyong gipatay pinaagi sa pagbitay kaniya sa kahoy.	the God of our ancestors raised Jesus from the deadwhom you killed by hanging him on a cross.
sa pagkadungog nila niini, sila nangasuko ug buot nga mopatay kanila.	when they heard this, they were furious and wanted to put them to death.
apan kami maggahin sa among kaugalingon sa pagampo ug sa pagalagad mahitungod sa pulong.”	and will give our attention to prayer and the ministry of the word.”
gipaatubang sila sa mga apostoles, ug human makaampo, gipandongan sila nila sa ilang mga kamot.	they presented these men to the apostles, who prayed and laid their hands on them.
apan wala sila makasugakod sa kaalam ug sa espiritu nga pinaagi niini siya misulti.	but they could not stand up against the wisdom the spirit gave him as he spoke.
unya ang labawng pangulong pari nangutana kaniya, “tinuod ba kini?”	then the high priest asked Stephen, “are these charges true?”
ug miingon kaniya, ‘biyai ang imong yuta ug ang imong kadugo ug adto sa yuta nga akong ipakita kanimo.’	‘leave your country and your people,’ God said, ‘and go to the land i will show you.’
ug sa ikaduhang pagadto, si Jose mipaila sa iyang mga igsoon, ug ang banay ni Jose nailhan sa paraon.	on their second visit, Joseph told his brothers who he was, and pharaoh learned about josephs family.
busa si Jacob milugsong ngadto sa Ehipto. ug didto namatay siya ug ang atong mga katigulangan	then Jacob went down to Egypt, where he and our ancestors died.
hangtod nga mitungha ang laing hari sa Ehipto nga wala makaila kang Jose.	then ‘a new king, to whom Joseph meant nothing, came to power in Egypt.’
ug si Moises gitudloan sa tanang kaalam sa mga ehiptohanon ug siya gamhanan sa iyang mga pulong ug mga buhat.	Moses was educated in all the wisdom of the Egyptians and was powerful in speech and action.
“sa nagpanuigon na siya ug 40 ka tuig, misantop sa iyang kasingkasing ang pagduaw sa iyang kaigsoonan nga mga kaliwat ni Israel.	“when Moses was forty years old, he decided to visit his own people, the Israelites.
buot ka bang mopatay kanako sama sa imong pagpatay sa ehiptohanon kagahapon?’	are you thinking of killing me as you killed the egyptian yesterday?’
nga nakakita ug kahimuot sa atubangan sa Dios ug naghangyo nga tugotan siya sa pagpangita ug puluyanan alang sa Dios ni Jacob.	who enjoyed gods favor and asked that he might provide a dwelling place for the God of Jacob.
apan si Solomon mao ang nagtukod ug balay alang kaniya.	but it was Solomon who built a house for him.
apan ang labing halangdon wala magpuyo sa mga balay nga hinimo sa mga kamot; sumala sa giingon sa propeta,	“however, the most high does not live in houses made by human hands. as the prophet says:
dili ba ang akong kamot maoy nagbuhat niining tanang mga butang?’	has not my hand made all these things?’
kamo nga mao ang nakadawat sa balaod nga gihatag kaninyo pinaagi sa mga anghel, apan wala ninyo tumana kini.”	you who have received the law that was given through angels but have not obeyed it.”
ug siya miingon, “tanawa, nakita nako ang mga langit nga naabli ug ang anak sa tawo nga nagtindog sa tuo sa Dios.”	“look,” he said, “i see heaven open and the son of man standing at the right hand of God.”
apan sila naninggit sa kusog nga tingog, sinampongan ang ilang mga dalunggan ug nagdungan sa pagduol kaniya.	at this they covered their ears and, yelling at the top of their voices, they all rushed at him,
ug samtang gibato nila si esteban, siya nagampo nga nagingon, “ginoong Jesus, dawata ang akong espiritu.”	while they were stoning him, Stephen prayed, “Lord Jesus, receive my spirit.”
ug ang mga nagkabulagbulag miadto sa nagkalainlaing dapit nga nagwali sa pulong.	those who had been scattered preached the word wherever they went.
si felipe milugsong ngadto sa usa ka siyudad sa Samaria diin iyang giwali kanila ang Cristo.	Philip went down to a city in Samaria and proclaimed the Messiah there.
busa dihay dakong kalipay niadtong siyudara.	so there was great joy in that city.
ug sila namati kaniya tungod kay sa dugay nga panahon sila gipahibulong man niya pinaagi sa iyang salamangka.	they followed him because he had amazed them for a long time with his sorcery.
nga sa ilang pagabot, nagampo alang kanila nga unta makadawat sila sa Espiritu Santo, santo,	when they arrived, they prayed for the new believers there that they might receive the Holy Spirit, spirit,
kay wala pa man kanilay nakunsaran niini ug sila igo man lamang nabautismohan sa ngalan sa ginoong Jesus.	because the Holy Spirit spirit had not yet come on any of them; they had simply been baptized in the name of the Lord Jesus.
busa gipandong nila ang ilang mga kamot ngadto kanila ug nadawat nila ang Espiritu Santo. Santo.	then Peter and John placed their hands on them, and they received the Holy Spirit. Spirit.
ikaw walay bahin o luna niining butanga kay ang imong kasingkasing dili matarong sa atubangan sa Dios.	you have no part or share in this ministry, because your heart is not right before God.
kay nakita nako nga ikaw anaa sa kapaitan ug naulipon sa sala.”	for i see that you are full of bitterness and captive to sin.”
ug ang espiritu miingon kang felipe, “duol ug kuyog nianang karwahi.”	the spirit told Philip, “go to that chariot and stay near it.”
unya si felipe misulti, ug sugod sa maong bahin sa kasulatan siya misaysay kaniya sa maayong balita mahitungod kang Jesus.	then Philip began with that very passage of scripture and told him the good news about Jesus.
unya sa nagpanaw siya ug nagkaduol na sa damasco, sa kalit usa ka kahayag gikan sa langit midanag libot kaniya.	as he neared Damascus on his journey, suddenly a light from heaven flashed around him.
ug natumba siya sa yuta ug nakadungog ug tingog nga nagingon kaniya, “saulo, saulo, nganong gilutos nimo ako?”	he fell to the ground and heard a voice say to him, “Saul, Saul, why do you persecute me?”
ug siya miingon, “kinsa ka ba, Ginoo?” ug siya mitubag, “ako mao si Jesus nga imong gilutos.	“who are you, Lord?” Saul asked. “i am Jesus, whom you are persecuting,” he replied.
apan bangon ug sulod sa siyudad ug didto sultihan ikaw kon unsay kinahanglan nimong buhaton.”	“now get up and go into the city, and you will be told what you must do.”
ug sulod sa tulo ka adlaw siya dili makakita ug wala mokaon o moinom.	for three days he was blind, and did not eat or drink anything.
kay ipakita nako kaniya kon unsa ka daghan ang kinahanglan niyang antoson tungod sa akong ngalan.”	i will show him how much he must suffer for my name.”
ug didto sa mga sinagoga, nagwali dayon siya mahitungod kang Jesus, nga siya mao ang anak sa Dios.	at once he began to preach in the synagogues that Jesus is the son of God.
human molabay ang daghang mga adlaw, ang mga judio nagsabot sa pagpatay kaniya,	after many days had gone by, there was a conspiracy among the Jews to kill him,
apan nahibaloan ni saulo ang ilang plano. nagatang sila diha sa mga ganghaan adlaw ug gabii aron pagpatay kaniya.	but Saul learned of their plan. day and night they kept close watch on the city gates in order to kill him.
ug sa pagkahibalo niini sa kaigsoonan, ilang gidala siya ngadto sa cesarea ug didto gipagikan nila siya padulong sa Tarsus.	when the believers learned of this, they took him down to Caesarea and sent him off to Tarsus.
ug nakakita kaniya ang tanang nagpuyo sa lida ug sa saron, ug sila nangakabig ngadto sa Ginoo.	all those who lived in lydda and Sharon saw him and turned to the Lord.
ug kini nahibaloan sa tibuok jopa ug daghan ang mituo sa Ginoo.	this became known all over Joppa, and many people believed in the Lord.
ug sulod sa daghang mga adlaw si Pedro nagpabilin sa jopa uban kang Simon nga tigbuhat ug panit.	Peter stayed in Joppa for some time with a tanner named Simon.
didto sa cesarea may usa ka tawo nga ginganlan ug cornelio, usa ka kapitan sa kasundalohan nga gitawag ug panon nga italyano.	at Caesarea there was a man named cornelius, a centurion in what was known as the italian regiment.
ug karon pagsugo ug mga tawo ngadto sa jopa ug paanhia ang usa ka Simon nga ginganlan ug Pedro.	now send men to Joppa to bring back a man named Simon who is called Peter.
siya nagabot sa balay ni Simon nga tigbuhat ug panit, nga ang balay anaa sa daplin sa dagat.”	he is staying with Simon the tanner, whose house is by the sea.”
ug sa iya na silang nasuginlan sa tanan, gipaadto niya sila sa jopa.	he told them everything that had happened and sent them to Joppa.
unya siya gigutom ug nangandoy nga mokaon, apan samtang nagandam pa sila niini, gipanglimotan siya ug nakakita ug pananawon.	he became hungry and wanted something to eat, and while the meal was being prepared, he fell into a trance.
sa sulod niini diha ang tanang matang sa mga mananap nga tagupat ug tiil ug mga nagkamang sa yuta ug mga langgam sa kalangitan.	it contained all kinds of fourfooted animals, as well as reptiles and birds.
ug dihay usa ka tingog nga miingon kaniya, “tindog Pedro, pagihaw ug unya kana.”	then a voice told him, “get up, Peter. kill and eat.”
ug ang tingog nadungog niya sa ikaduhang higayon nga nagingon, “unsay gihinloan na sa Dios, ayaw nganli ug dili putli.”	the voice spoke to him a second time, “do not call anything impure that God has made clean.”
ug kini nahitabo sa tulo ka higayon, ug sa kalit gibira ang sudlanan ngadto sa langit.	this happened three times, and immediately the sheet was taken back to heaven.
ug sila nanawag aron sa pagpangutana kon nagabot ba didto si Simon nga ginganlan ug Pedro.	they called out, asking if Simon who was known as Peter was staying there.
tindog, kanaog ug uban kanila sa walay pagduhaduha, kay ako nagpaanhi kanila.”	so get up and go downstairs. do not hesitate to go with them, for i have sent them.”
ug si Pedro mikanaog ngadto sa mga tawo ug miingon kanila, “ako mao ang inyong gipangita. unsa bay hinungdan sa inyong paganhi?”	Peter went down and said to the men, “im the one youre looking for. why have you come?”
sa pagsulod ni Pedro, si cornelio misugat kaniya ug mihapa sa iyang tiilan ug misimba kaniya.	as Peter entered the house, cornelius met him and fell at his feet in reverence.
apan gipatindog siya ni Pedro nga nagingon, “tindog, tawo usab ako.”	but Peter made him get up. “stand up,” he said, “i am only a man myself.”
ug sa nakigsulti siya kaniya, siya misulod ug nakita ang daghang mga tawo nga nagkatigom.	while talking with him, Peter went inside and found a large gathering of people.
ug miingon, ‘cornelio, ang imong pagampo nadungog ug ang imong mga pagtabang nahinumdoman sa atubangan sa Dios.	and said, ‘cornelius, God has heard your prayer and remembered your gifts to the poor.
unya si Pedro misugod sa pagsulti ug miingon, “sa pagkatinuod akong naila nga ang Dios walay pinalabi.	then Peter began to speak: “i now realize how true it is that God does not show favoritism
apan diha sa matag nasod, si bisan kinsa nga mahadlok kaniya ug magbuhat sa matarong dawaton niya.	but accepts from every nation the one who fears him and does what is right.
apan ang Dios nagbanhaw kaniya sa ikatulo nga adlaw ug gitugot nga siya madayag,	but God raised him from the dead on the third day and caused him to be seen.
samtang si Pedro nagsulti pa niini, ang Espiritu Santo santo mikunsad diha sa tanan nga nakadungog sa pulong.	while Peter was still speaking these words, the Holy Spirit spirit came on all who heard the message.
unya ang mga apostoles ug ang kaigsoonan nga didto sa Judea nakadungog nga ang mga gentil usab midawat sa pulong sa Dios.	the apostles and the believers throughout Judea heard that the Gentiles also had received the word of God.
nga nagingon, “nganong miadto ka man sa mga tawong dili tinuli ug nakigsalo kanila sa pagpangaon?”	and said, “you went into the house of uncircumcised men and ate with them.”
apan si Pedro misugod sa pagpasabot nga hinanay ngadto kanila,	starting from the beginning, Peter told them the whole story:
ug nadungog nako ang tingog nga nagingon kanako, ‘tindog Pedro, pagihaw unya kaona.’	then i heard a voice telling me, ‘get up, Peter. kill and eat.’
apan ang tingog gikan sa langit misulti sa ikaduha nga higayon, ‘unsay gihinloan sa Dios ayaw nganli ug dili putli.’	“the voice spoke from heaven a second time, ‘do not call anything impure that God has made clean.’
kini nahitabo sa tulo ka higayon ug unya ang tanan gibira pagusab ngadto sa langit.	this happened three times, and then it was all pulled up to heaven again.
ug niadtong tungora, nagtindog sa atubangan sa balay diin didto kami, ang tulo ka tawo nga gipaadto kanako gikan sa cesarea.	“right then three men who had been sent to me from Caesarea stopped at the house where i was staying.
siya adunay mga pulong nga isulti kanimo, nga pinaagi niini maluwas ikaw ug ang tibuok nimong panimalay.’	he will bring you a message through which you and all your household will be saved.’
ug ang kamot sa Ginoo uban kanila ug daghan ang mituo ug nakabig ngadto sa Ginoo.	the lords hand was with them, and a great number of people believed and turned to the Lord.
ang balita mahitungod niini miabot sa mga dalunggan sa iglesia sa Jerusalem ug ilang gipaadto si bernabe sa antioquia.	news of this reached the church in Jerusalem, and they sent Barnabas to Antioch.
unya si bernabe miadto sa Tarsus aron sa pagpangita kang saulo.	then Barnabas went to Tarsus to look for Saul,
unya niadtong mga adlawa dihay mga propeta nga milugsong gikan sa Jerusalem ngadto sa antioquia.	during this time some prophets came down from Jerusalem to Antioch.
ug kini gibuhat nila, gipadala kini ngadto sa mga kadagkoan pinaagi sa mga kamot ni bernabe ug ni saulo.	this they did, sending their gift to the elders by Barnabas and Saul.
niadtong panahona gidagmalan ni herodes nga hari ang pipila ka sakop sa iglesia.	it was about this time that king Herod arrested some who belonged to the church, intending to persecute them.
iyang gipatay pinaagi sa espada si Santiago nga igsoon ni Juan.	he had James, the brother of John, put to death with the sword.
apan si Pedro mipadayon sa pagtuktok ug sa pagabli nila, nakita nila siya ug nahibulong sila.	but Peter kept on knocking, and when they opened the door and saw him, they were astonished.
unya sa pagkabuntag na, dili gamay ang kaguliyang sa mga sundalo mahitungod sa nahitabo kang Pedro.	in the morning, there was no small commotion among the soldiers as to what had become of Peter.
ug misinggit ang mga tawo, “tingog kana sa usa ka Dios, dili sa tawo!”	they shouted, “this is the voice of a God, not of a man.”
apan ang pulong sa Dios mitubo ug misanay.	but the word of God continued to spread and flourish.
apan si saulo nga ginganlan usab ug Pablo nga puno sa epiritu santo, mitutok pagayo kaniya	then Saul, who was also called Paul, filled with the Holy Spirit, spirit, looked straight at elymas and said,
ug sulod sa mga 40 ka tuig, giantos niya sila didto sa kamingawan.	for about forty years he endured their conduct in the wilderness;
ug sa iya nang nalaglag ang pito ka nasod sa yuta sa Canaan, iyang gihatag kanila ang ilang yuta ingon nga panulundon	and he overthrew seven nations in Canaan, giving their land to his people as their inheritance.
gikan sa kaliwat niining tawhana, ang Dios nagdala ngadto sa Israel ug manluluwas nga mao si Jesus, sumala sa iyang gisaad.	“from this mans descendants God has brought to Israel the savior Jesus, as he promised.
apan ang Dios mibanhaw kaniya gikan sa mga patay,	but God raised him from the dead,
apan siya nga gibanhaw sa Dios wala makasinati ug pagkadunot.	but the one whom God raised from the dead did not see decay.
busa, pagbantay kamo basin ug modangat ang giingon diha sa basahon sa mga propeta,	take care that what the prophets have said does not happen to you:
sa pagkasunod nga adlawng igpapahulay, hapit ang tibuok siyudad nagkatigom sa pagpamati sa pulong sa Dios.	on the next sabbath almost the whole city gathered to hear the word of the Lord.
ug ang pulong sa Ginoo mikaylap sa tibuok kayutaan.	the word of the Lord spread through the whole region.
apan ilang gitaktak ang mga abog gikan sa ilang mga tiil batok kanila ug miadto sila sa iconio.	so they shook the dust off their feet as a warning to them and went to iconium.
ug ang mga tinunan napuno sa kalipay ug sa Espiritu Santo. Santo.	and the disciples were filled with joy and with the Holy Spirit. Spirit.
apan ang mga judio nga wala motuo misamok ug midaot sa hunahuna sa mga gentil batok sa mga kaigsoonan.	but the Jews who refused to believe stirred up the other Gentiles and poisoned their minds against the brothers.
apan ang mga tawo sa siyudad nabahin, ang uban midapig sa mga judio ug ang uban sa mga apostoles.	the people of the city were divided; some sided with the Jews, others with the apostles.
ug didto ilang giwali ang maayong balita.	where they continued to preach the gospel.
miingon sa kusog nga tingog, “tindog ug tarong.” ug siya milukso ug milakaw.	and called out, “stand up on your feet!” at that, the man jumped up and began to walk.
gitawag nila ug zeus si bernabe, ug si Pablo, hermes tungod kay siya mao man ang pangulong magsusulti.	Barnabas they called zeus, and Paul they called hermes because he was the chief speaker.
sa miaging mga kaliwatan iyang gitugotan ang tanang kanasoran sa paglakaw diha sa ilang kaugalingong mga dalan.	in the past, he let all nations go their own way.
unya miagi sila sa pisidia ug miabot sa pampilia.	after going through pisidia, they came into Pamphylia,
human sila makasulti sa pulong didto sa perga, milugsong sila ngadto sa atalia.	and when they had preached the word in perga, they went down to attalia.
ug sila nagpabilin uban sa mga tinunan sulod sa dugay nga panahon.	and they stayed there a long time with the disciples.
unya nagtigom ang mga apostoles ug mga kadagkoan aron sa pagsusi niining butanga.	the apostles and elders met to consider this question.
ug wala siyay gipalabi tali kanato ug kanila, apan pinaagi sa pagtuo gihinloan ang ilang mga kasingkasing.	he did not discriminate between us and them, for he purified their hearts by faith.
apan kita nagtuo nga kita maluwas pinaagi sa grasya sa ginoong Jesus, ingon nga sila usab.”	no! we believe it is through the grace of our Lord Jesus that we are saved, just as they are.”
sa dihang mihilom na sila, si Santiago mitubag, “mga igsoon, paminawa ako ninyo.	when they finished, James spoke up. “brothers,” he said, “listen to me.
ug pinaagi niini nagkatakdo ang mga pulong sa mga propeta, sumala sa nasulat,	the words of the prophets are in agreement with this, as it is written:
nga nahibaloan sukad pa kaniadto.’	things known from long ago.
busa ang akong hukom mao kini, nga dili nato hasolon silang mga gentil nga nakabig ngadto sa Dios,	“it is my judgment, therefore, that we should not make it difficult for the Gentiles who are turning to God.
mga tawo nga mihatag sa ilang mga kinabuhi tungod sa ngalan sa atong ginoong jesucristo.	men who have risked their lives for the name of our Lord Jesus Christ.
busa gipaanha namo diha si Judas ug si Silas nga maoy magsugilon kaninyo sa mao rang mga butang pinaagi sa pulong.	therefore we are sending Judas and Silas to confirm by word of mouth what we are writing.
ug sa gibasa na nila kini, nalipay sila sa tambag.	the people read it and were glad for its encouraging message.
ug si bernabe buot nga paubanon kanila si Juan nga gitawag ug marcos.	Barnabas wanted to take John, also called Mark, with them,
apan si Pablo nga mipili kang Silas, migikan nga tinugyan sa kaigsoonan ngadto sa grasya sa Ginoo.	but Paul chose Silas and left, commended by the believers to the grace of the Lord.
ug siya miagi sa siria ug sa Cilicia, nagligon sa mga iglesia.	he went through Syria and Cilicia, strengthening the churches.
siya gipamatudan nga maayo sa mga kaigsoonan sa listra ug sa iconio.	the believers at lystra and iconium spoke well of him.
tungod niini ang mga iglesia naligon sa pagtuo, ug sila nagkadaghan matag adlaw.	so the churches were strengthened in the faith and grew daily in numbers.
busa milugsong sila ngadto sa Troas, agi sa misia.	so they passed by mysia and went down to Troas.
busa, sa among paglawig gikan sa Troas, milahos kami sa samotracia ug sa pagkasunod adlaw ngadto sa neapolis,	from Troas we put out to sea and sailed straight for samothrace, and the next day we went on to neapolis.
ug siya nangayo ug suga ug midali pagsulod, ug mihapa nga nagkurog sa atubangan ni Pablo ug ni Silas.	the jailer called for lights, rushed in and fell trembling before Paul and Silas.
ug iyang gidala sila sa gawas ug giingnan, “mga Ginoo, unsa may kinahanglan nakong buhaton aron maluwas ako?”	he then brought them out and asked, “sirs, what must i do to be saved?”
ug sila miingon, “tuo sa ginoong Jesus ug maluwas ka, ikaw ug ang imong panimalay.”	they replied, “believe in the Lord Jesus, and you will be savedyou and your household.”
ug ang pulong sa Ginoo ilang gisulti kaniya ug sa tanang diha sa iyang balay.	then they spoke the word of the Lord to him and to all the others in his house.
apan sa pagkabuntag na, ang mga maghuhukom nagsugo sa mga tinugyanan nga nagingon, “buhii kadtong mga tawhana.”	when it was daylight, the magistrates sent their officers to the jailer with the order: “release those men.”
ug gigubot nila ang pundok sa katawhan ug mga pangulo sa siyudad sa pagkadungog niining mga butanga.	when they heard this, the crowd and the city officials were thrown into turmoil.
ug sa nadawat nila ang piyansa gikan kang jason ug sa uban, ilang gibuhian sila.	then they made jason and the others post bond and let them go.
busa daghan kanila ang mituo, uban sa dili diyotay nga mga dungganang babaye ug mga lalaki nga grego.	as a result, many of them believed, as did also a number of prominent greek women and many greek men.
