war	tl
kundi tunglo, kon pagsupakon niyo ini nga mga sugo ngan bumulag kamo hin pagsingba hin iba nga kadiyosan nga waray pa gud niyo pagsingbaha.	at ang sumpa, kung hindi ninyo diringgin ang mga utos ng Panginoon ninyong Diyos, kundi lilihis sa daan na aking iniuutos sa inyo sa araw na ito, upang sumunod sa ibang mga diyos, na hindi ninyo nakilala.
Kon pagdad-on na kamo han Ginoo ngadto han tuna nga iyo na pagtatag-iyahon, igsasangyaw niyo an bendisyon tikang han Bukid Gerizim ngan an tunglo tikang han Bukid Ebal. (	At kapag ikaw ay ipapasok ng Panginoon mong Diyos sa lupain na iyong paroroonan upang angkinin, iyong ilalagay ang pagpapala sa bundok ng Gerizim, at ang sumpa sa bundok ng Ebal.
Aadto ha katundan han Salog Jordan ini nga duha nga mga bukid, didto han katunaan han mga Canaanhon nga nag-uokoy didto han Kahamub-an han Jordan. Tipakatundan ini ngan diri hirayo tikang han baraan nga kakahoyan han More nga hirani han bungto han Gilgal.)	Hindi ba sila ay nasa kabila ng Jordan, sa dakong nilulubugan ng araw, sa lupain ng mga Cananeo na tumatahan sa Araba, sa tapat ng Gilgal na katabi ng mga ensina sa More?
Matabok na kamo han Salog Jordan ngan magtatag-iya han tuna nga ihahatag ha iyo han Ginoo nga iyo Dyos, Kon makuha na niyo ini nga tuna ngan mag-ukoy na kamo didto,	Sapagkat kayo'y tatawid sa Jordan upang pasukin at angkinin ang lupaing ibinibigay sa inyo ng Panginoon ninyong Diyos. Kapag ito'y inyong naangkin at nanirahan na kayo roon,
talinguhaa gud nga tumanon niyo an ngatanan nga mga balaod nga ihahatag ko ha iyo yana nga adlaw.	maingat ninyong gagawin ang lahat ng mga tuntunin at mga batas na aking itinatakda sa inyo sa araw na ito.
“Amo ini an mga balaod nga iyo pagtutumanon samtang nag-uokoy kamo didto han tuna nga ihahatag ha iyo han Ginoo nga Dyos han iyo kaapoy-apoyan. Pamatii ini!	“Ito ang mga tuntunin at mga batas na inyong tutuparin sa lupain na ibinibigay sa iyo ng Panginoon , ng Diyos ng iyong mga ninuno upang angkinin, sa lahat ng mga araw na inyong ilalagi sa ibabaw ng lupa.
Didto han tuna nga iyo pagtatag-iyahon, bungkaga an ngatanan nga mga dapit nga ginsisingbahan han mga tawo han ira kadiyosan didto hin higtaas nga kabukiran, didto hin kapungtoran ngan didto ha puno hin magrampag nga kakahoyan.	Wasakin ninyo ang lahat ng mga dako kung saan naglilingkod sa kanilang diyos ang mga bansang inyong aagawan, sa ibabaw ng matataas na bundok, at sa ibabaw ng mga burol, at sa lilim ng bawat luntiang punungkahoy.
Rub-a niyo an ira mga altar ngan dugmoka an ira baraan nga mga harigi nga bato. Sunoga niyo an ira mga tigaman han diyosa nga hi Asera, ngan tiaka an ira mga diyosdiyos, basi diri na gud ini pagsingbahon didto hito nga mga dapit.	Wawasakin ninyo ang kanilang mga dambana, at inyong pagpuputul-putulin ang kanilang mga haligi, at susunugin sa apoy ang kanilang mga sagradong poste; at inyong ibubuwal ang mga larawang inanyuan na kanilang mga diyos; at inyong papawiin ang kanilang pangalan sa dakong iyon.
“Ayaw kamo pagsingba han Ginoo nga iyo Dyos ha sugad nga paagi han pagsingba hini nga mga tawo han ira kadiyosan.	Huwag kayong gagawa ng ganito sa Panginoon ninyong Diyos.
Tikang han katunaan han ngatanan niyo nga mga tribo magpipili an Ginoo han usa nga dapit nga kakadtoan han mga tawo ha iya atubangan hin pagsingba ha iya.	Kundi inyong hahanapin ang dakong pipiliin ng Panginoon ninyong Diyos mula sa lahat ng inyong mga lipi na paglalagyan ng kanyang pangalan, samakatuwid, sa kanyang tahanan ay inyong hahanapin, at doon kayo paroroon.
Didto ighahalad niyo an iyo mga halad nga pagtutuboron, an iyo mga ikanapulo nga bahin ngan an iyo iba nga mga halad, an mga regalo nga iyo iginsasaad han Ginoo an maupay nga kaburot-on nga mga halad, ngan an mga suhag han iyo mga baka ngan mga karnero.	At doon ninyo dadalhin ang inyong mga handog na sinusunog, at ang inyong mga alay, at ang inyong mga ikasampung bahagi, at ang handog na iwawagayway ng inyong kamay, at ang inyong mga panata, at ang inyong mga kusang handog, at ang mga panganay sa inyong mga bakahan at sa inyong mga kawan;
Didto ha atubangan han Ginoo nga iyo Dyos nga nagbendisyon ha iyo, makaon kamo ngan an iyo mga panimalay ngan magpapahimulos han mag-upay nga mga butang nga iyo ginkabudlayan.	at doon kayo kakain sa harapan ng Panginoon ninyong Diyos, at kayo'y magagalak sa lahat ng inyong gagawin, kayo at ang inyong mga sambahayan kung saan kayo pinagpala ng Panginoon mong Diyos.
“Kon umabot na ito nga panahon, kinahanglan diri na niyo pagbuhaton an iyo hadto ginbuhat. Ngada yana nagpasagad la kamo hin pagsingba, bisan diin ug bisan ano nga iyo karuyag;	Huwag ninyong gagawin ang gaya ng mga bagay na ating ginagawa dito sa araw na ito, na ginagawa ng bawat isa ang matuwid sa kanyang paningin;
kay aanhi pa man kamo ha gawas han tuna nga ihahatag ha iyo han Ginoo nga iyo Dyos, diin makakag-ukoy kamo dida hin kalinaw.	sapagkat hindi pa kayo nakakarating sa kapahingahan at sa pamana na ibinibigay sa iyo ng Panginoon ninyong Diyos.
Kon tumabok na kamo han Salog Jordan, papatatag-iyahon kamo han Ginoo han tuna ngan pauokyon kamo didto. Tatalwason kamo niya tikang han ngatanan niyo nga mga kaaway, ngan makakag-ukoy kamo dida hin kalinaw.	Ngunit pagtawid ninyo ng Jordan, at pagtira sa lupain na ipinamamana sa inyo ng Panginoon ninyong Diyos, at pagkabigay niya sa inyo ng kapahingahan sa lahat ng inyong mga kaaway sa palibot, upang kayo'y makapanirahan nang tiwasay;
Magpipili an Ginoo han usa nga dapit diin pagsisingbahon hiya, ngan didto kinahanglan pagdad-on niyo ngadto ha iya an ngatanan nga akon iginsugo: an iyo mga halad nga pagtutuboron an iyo mga ikanapulo nga bahin ngan an iyo iba nga mga halad, ngan adton linain nga mga regalo nga iyo iginsasaad han Ginoo .	at pagkatapos ay sa dakong pipiliin ng Panginoon ninyong Diyos na patatahanan sa kanyang pangalan ay doon ninyo dadalhin ang lahat na aking ipinag-uutos sa inyo: ang inyong mga handog na sinusunog, mga alay, mga ikasampung bahagi, ang handog na iwinawagayway ng inyong kamay, at ang lahat ng inyong ipinangakong handog na inyong ipinanata sa Panginoon .
Pagmalipayon kamo didto ha iya atubangan kaupod han iyo mga anak, mga surugoon, ngan han mga Levita nga nag-uokoy didto han iyo mga bungto; hinumdomi niyo nga diri magtatag-iya an mga Levita hin tuna nga ira kalugaringon.	At kayo'y magagalak sa harapan ng Panginoon ninyong Diyos, kayo at ang inyong mga anak na lalaki at babae, at ang inyong mga aliping lalaki at babae, at ang Levita na nasa loob ng inyong mga bayan, sapagkat siya'y walang bahagi ni pamana na kasama ninyo.
Ayaw kamo pagdara han iyo mga halad nga susunogon ngadto hin bisan la diin nga dapit nga iyo karuyag;	Mag-ingat ka na huwag mag-alay ng iyong handog na sinusunog sa alinmang dakong iyong makikita,
kinahanglan ighalad ini niyo didto han usa la nga dapit nga pagpipilion han Ginoo didto han katunaan han usa han iyo mga tribo. Didto la niyo ighalad an iyo mga halad nga susunogon, ngan pagbuhatan an iba pa nga akon iginsugo ha iyo.	kundi sa dakong pipiliin ng Panginoon sa isa sa iyong mga lipi, doon mo ihahandog ang iyong mga handog na sinusunog, at doon mo gagawin ang lahat na aking iniuutos sa iyo.
“Kundi tugot ha iya hin pag-ihaw ngan pagkaon han iyo mga hayop bisan diin kamo pag-ukoy. Makakahimo kamo hin pagkaon sugad han kadamo nga iginhahatag ha iyo han Ginoo . Makakahimo kamo ngatanan hin pagkaon, bisan malinis o mahugaw kamo sumala han seremonyas, sugad han pagkaon niyo han karne hin bugsok o hin oso.	“Gayunma'y maaari kang kumatay at kumain ng karne sa loob ng lahat ng iyong mga bayan, hanggang gusto mo, ayon sa pagpapala ng Panginoon mong Diyos na kanyang ibinigay sa iyo. Maaari itong kainin ng marumi at ng malinis gaya ng maliit na usa, o malaking usa.
Kundi ayaw kamo pagkaon han dugo hini; kinahanglan ighuwad ini niyo ngada ha tuna.	Huwag lamang ninyong kakainin ang dugo; ibubuhos ninyo ito sa lupa na parang tubig.
Kundi hadton iyo ighahalad ngadto han Ginoo nga diri gud kaonon didto han mga dapit nga iyo inuokyan: ayaw bisan an mga ikanapulo nga bahin han iyo binhe, iyo bino, ngan iyo lana hin olibo, bisan an mga suhag han iyo mga baka ug mga karnero, o an mga regalo nga iyo igsasaad han Ginoo , an iyo maupay nga kaburot-on nga mga halad, o iba pa nga mga halad.	Huwag mong kakainin sa loob ng iyong mga bayan ang ikasampung bahagi ng iyong trigo, o ng iyong alak, o ng iyong langis, o ng mga panganay sa iyong bakahan o sa iyong kawan, ni anuman sa iyong mga ipinangakong handog na iyong ipapanata, ni ang iyong mga kusang handog, ni ang handog na iwinawagayway ng iyong kamay.
Kakaonon niyo ngan han iyo mga anak ini nga mga halad, kaupod han iyo mga surugoon ngan han mga Levita nga nag-uokoy didto han iyo mga bungto, didto la ha atubangan han Ginoo nga iyo Dyos, didto han usa nga dapit hin pagsingba nga ginpili han Ginoo nga iyo Dyos. Ngan kinahanglan magmamalipayon kamo didto tungod han ngatanan nga ginbuhat niyo.	Kakainin mo ang mga ito sa harapan ng Panginoon mong Diyos sa dakong pipiliin ng Panginoon mong Diyos, ikaw at ng iyong anak na lalaki at babae, at ng iyong mga aliping lalaki at babae, at ng Levita na nasa loob ng iyong mga bayan; at ikaw ay magagalak sa lahat ng iyong gagawin sa harapan ng Panginoon mong Diyos.
Talinguhaa liwat niyo nga diri niyo pagpasibay-an an mga Levita, samtang nag-uokoy kamo didto han iyo tuna.	Huwag mong pabayaan ang Levita habang nabubuhay ka sa iyong lupain.
“Kon pahiluagon na han Ginoo nga iyo Dyos an iyo katunaan, sumala han iya iginsaad, makakakaon kamo hin karne ha bisan san-o nga karuyag niyo.	“Kapag pinalawak ng Panginoon mong Diyos ang iyong nasasakupan, gaya ng kanyang ipinangako sa iyo, at iyong sasabihin, ‘Ako'y kakain ng karne,’ sapagkat ikaw ay nasasabik sa karne, ay makakakain ka ng karne hangga't nais mo.
Kon hirayo hin duro an usa nga dapit hin pagsingba, niyan, kon karuyag niyo, makakag-ihaw kamo han baka o karnero nga iginhatag ha iyo han Ginoo , ngan makakaon niyo an karne didto han iyo balay sumala han akon iginsiring ha iyo.	Kung ang dakong pipiliin ng Panginoon mong Diyos na paglalagyan ng kanyang pangalan ay napakalayo para sa iyo, magpapatay ka sa iyong bakahan at kawan na ibinigay sa iyo ng Panginoon , gaya ng iniutos ko sa iyo, at makakakain ka sa loob ng iyong mga bayan, hangga't nais mo.
Makakahimo hin pagkaon hito nga karne an bisan hin-o nga malinis o mahugaw sumala han seremonyas sugad han iyo pagkaon han karne hin bugsok o oso.	Kung paano kinakain ang maliit at malaking usa ay gayon mo ito kakainin; ang marumi at ang malinis ay kapwa makakakain niyon.
Ayaw la niyo pagkaona an karne nga may-ada pa dugo, kay aada han dugo an kinabuhi, ngan kinahanglan diri niyo kaonon an kinabuhi upod han karne.	Lamang ay tiyakin mong hindi mo kakainin ang dugo, sapagkat ang dugo ay siyang buhay; at huwag mong kakainin ang buhay na kasama ng laman.
Ayaw niyo gamita an dugo para hin pagkaon; lugod ihuwad ini ngada ha tuna.	Huwag mong kakainin iyon, ibubuhos mo sa lupa na parang tubig.
Kon tumanon niyo ini nga sugo, malilipay an Ginoo , ngan maghihingaupay kamo ngan an iyo mga tulin.	Huwag mong kakainin iyon para sa ikabubuti mo, at ng iyong mga anak pagkamatay mo, kung iyong gagawin ang matuwid sa paningin ng Panginoon .
Dad-a niyo ngadto han usa nga dapit hin pagsingba an iyo mga halad ngan an mga regalo nga iyo iginsaad han Ginoo .	Tanging ang mga banal na bagay na nasa iyo, at ang iyong mga panata ang iyong dadalhin, at hahayo ka sa dakong pipiliin ng Panginoon .
Ighalad niyo didto an mga halad nga susunogon dida han altar han Ginoo . Ighalad liwat niyo adto nga mga hayop nga tutuboron nga kinakaon niyo an karne ngan ihuwad an dugo ngada han altar.	At iaalay mo ang iyong mga handog na sinusunog, ang laman at ang dugo, sa ibabaw ng dambana ng Panginoon mong Diyos, at ang dugo ng iyong mga alay ay ibubuhos sa ibabaw ng dambana ng Panginoon mong Diyos; at iyong kakainin ang karne.
Sugta niyo nga matinumanon an ngatanan nga iginsugo ko ha iyo, ngan maghihingaupay ha kadayonan kamo ngan an iyo mga tulin, kay bubuhaton niyo an matadong ngan an nakakalipay han Ginoo nga iyo Dyos.	Sundin mo at dinggin ang lahat ng mga salitang ito na iniuutos ko sa iyo para sa ikabubuti mo at ng iyong mga anak pagkamatay mo magpakailanman, kapag ginawa mo ang mabuti at matuwid sa paningin ng Panginoon mong Diyos.
“Pagbubungkagon han Ginoo nga iyo Dyos an mga nasod samtang nasulong kamo han ira tuna, ngan pagtatag-iyahon niyo ini ngan mag-uokoy kamo didto.	“Kapag natanggal na ng Panginoon mong Diyos sa harapan mo ang mga bansa na iyong papasukin upang samsaman; at nasamsaman mo na sila at nakapanirahan sa kanilang lupain,
Katapos pagbungkaga han Ginoo hito nga mga nasod, talinguhaa nga diri niyo pagsundon an ira mga ginbubuhat bahin han ira tuloohan, kay makakamatay ito ha iyo. Ayaw kamo pagpakiana kon gin-uunan-o nira hin pagsingba han ira kadiyosan, kay bangin kamo masulay hin pagsingba ha amo ngahaw nga paagi.	mag-ingat ka upang huwag kang mabitag na sumunod sa kanila, pagkatapos na sila'y mapuksa sa harapan mo. Huwag kang mag-usisa ng tungkol sa kanilang mga diyos, na magsabi, ‘Paanong naglingkod ang mga bansang ito sa kanilang mga diyos? Gayundin ang gagawin ko.’
Ayaw niyo pagsingbaha an Ginoo nga iyo Dyos hin sugad nga paagi han ira pagsingba han ira kadiyosan, kay ha pagsingba nira han ira kadiyosan, ginbubuhat nira an ngatanan nga makapupungot nga mga butang nga nangangalsan han Ginoo . Iginhahalad pa ngani nira an ira mga anak dida han kalayo ha ira mga altar.	Huwag mong gagawin ang gayon sa Panginoon mong Diyos, sapagkat bawat karumaldumal sa Panginoon na kanyang kinapopootan ay kanilang ginagawa sa kanilang mga diyos; sapagkat pati na ang kanilang mga anak na lalaki at babae ay kanilang sinusunog sa apoy para sa kanilang mga diyos.
“Pagbuhata niyo an ngatanan nga akon iginsugo ha iyo; ayaw niyo pagdugangi o pag-ibani ini nga mga sugo.	“Anumang bagay na ipinag-uutos ko sa iyo ay siya mong gagawin; huwag mong daragdagan, ni babawasan.
“Bangin magsaad hin pagbuhat hin milagro o hin urosahon in usa nga manaragna o parahubad hin mga inop,	“Kung may lumitaw sa inyo na isang propeta, o isang mapanaginipin ng mga panaginip, at bigyan ka niya ng isang tanda o kababalaghan,
basi mahugay kamo hin pagsingba ngan pag-alagad hin kadiyosan nga waray pa niyo pagsingbaha. Bisan kon matuman an iya iginsasaad,	at ang tanda o ang kababalaghan ay mangyari, na kanyang sabihin sa iyo, ‘Sumunod tayo sa ibang mga diyos,’ na hindi mo kilala, ‘at ating paglingkuran sila,’
ayaw kamo pamati ha iya. Ginagamit hiya han Ginoo nga iyo Dyos hin pagsari ha iyo, kon nahigugma ba kamo han Ginoo ha bug-os niyo nga kasingkasing.	huwag mong papakinggan ang mga salita ng propetang iyon, o ng mapanaginiping iyon sapagkat sinusubok kayo ng Panginoon ninyong Diyos, upang malaman kung iniibig ninyo ang Panginoon ninyong Diyos ng inyong buong puso at kaluluwa.
Sunda niyo an Ginoo ngan tahora hiya; sugta hiya niyo ngan tumana an iya mga sugo; singbaha niyo hiya ngan tumana an iya kaburot-on.	Kayo'y lalakad ayon sa Panginoon ninyong Diyos, at matatakot sa kanya, tutupad ng kanyang mga utos, susunod sa kanyang tinig, maglilingkod sa kanya, at mananatili sa kanya.
Kundi pataya niyo in bisan hin-o nga parahubad hin mga inop o manaragna nga nagsusugo ha iyo hin pagsupil han Ginoo nga nagtalwas ha iyo tikang ha Ehipto diin mga oripon kamo. Maraot in sugad hini nga tawo ngan karuyag niya nga mahigawas kamo han kinabuhi nga iginhatag ha iyo han Ginoo pinaagi han iya mga sugo. Kinahanglan patayon niyo hiya basi diri mahingada ha iyo ini nga karat-an.	At ang propetang iyon o ang mapanaginiping iyon ay papatayin, sapagkat siya'y nagsalita ng paghihimagsik laban sa Panginoon ninyong Diyos na naglabas sa inyo sa lupain ng Ehipto, at tumubos sa iyo sa bahay ng pagkaalipin, upang iligaw ka sa daan na iniutos ng Panginoon mong Diyos upang iyong lakaran. Ganito mo aalisin ang kasamaan sa gitna mo.
“Bangin an iyo bugto nga lalake, o iyo anak nga lalake, o iyo anak nga babaye, o an asawa nga hinihigugma niyo, o an gisusuoki niyo nga sangkay, amo an maghugay ha iyo hin hilom hin pagsingba hin iba nga kadiyosan nga waray pa pagsingbaha niyo ngan han iyo kaapoy-apoyan.	“Kung ang iyong kapatid na lalaki, na anak ng iyong ina, o ang iyong anak na lalaki o babae, o ang asawa ng iyong kaibigan, o ang iyong kaibigan na parang iyong sariling kaluluwa, ay humimok sa iyo nang lihim, na magsabi, ‘Tayo'y humayo at maglingkod sa ibang mga diyos,’ na hindi mo nakilala, ninyo o ng iyong mga ninuno;
Bangin usa ha ira in mag-aghat ha iyo hin pagsingba han kadiyosan han mga tawo nga nag-uokoy hirani ha iyo o han kadiyosan hadton mga nag-uokoy ha hirayo.	sa mga diyos ng mga bayan na nasa palibot ninyo na malapit sa iyo, o malayo sa iyo, mula sa isang dulo ng lupa hanggang sa kabilang dulo ng lupa;
Kundi ayaw gud kamo pagpadara ha iya o bisan pamati ha iya. Ayaw hiya niyo kalooyi o pagpairi ngan ayaw hiya panalipdi.	ay huwag kang padadala sa kanya o papakinggan siya; ni huwag mong titingnan siya ng may awa, ni patatawarin, ni ikukubli siya;
Pataya hiya! Kamo an mauna hin pagbato ha iya ngan sidnga an iba hin pagbato ha iya.	kundi papatayin mo siya. Ikaw ang mangunguna upang patayin siya, at pagkatapos ay ang buong bayan.
Batoa hiya niyo ngada han kamatay! Nagtinguha hiya hin pagpabulag ha iyo han Ginoo nga iyo Dyos nga nagtalwas ha iyo tikang ha Ehipto diin mga oripon kamo.	Iyong babatuhin siya ng mga bato upang siya'y mamatay, sapagkat kanyang pinagsikapang ilayo ka sa Panginoon mong Diyos, na naglabas sa iyo sa lupain ng Ehipto, sa bahay ng pagkaalipin.
Niyan makakabati han nahinabo an ngatanan nga mga tawo han Israel; mahahadlok hira, ngan waray na gud magbubuhat hin sugad nga karat-an.	At maririnig ng buong Israel, at matatakot, at hindi na gagawa ng anumang kasamaang gaya nito sa gitna mo.
“Kon mag-ukoy na kamo didto han mga bungto nga iginhatag ha iyo han Ginoo nga iyo Dyos, bangin makabati kamo	“Kung iyong marinig sa isa sa iyong mga lunsod na ibinibigay sa iyo ng Panginoon mong Diyos upang manirahan ka roon,
nga may-ada waray pulos nga mga tawo han iyo nasod nga naglipat han mga tawo han ira bungto ngadto hin pagsingba hin kadiyosan nga waray pa niyo pagsingbaha.	na ilang masasamang tao mula sa mga kasama mo ang umalis at iniligaw ang mga naninirahan sa lunsod, na sinasabi, ‘Tayo'y humayo at maglingkod sa ibang mga diyos,’ na hindi ninyo nakilala;
Kon makabati kamo hin sugad nga hurobhurob, usisaha niyo ini hin maupay; ngan kon matood man nga nahinabo ini nga maraot nga butang,	ay iyo ngang usisain at siyasatin, at itanong na mabuti; at kung totoo na nagawa sa gitna mo ang gayong karumaldumal na bagay;
pataya niyo an ngatanan nga mga tawo didto hito nga bungto ngan an ngatanan nira nga mga baka. Puohan gud niyo ito nga bungto.	ay iyong lilipulin ang mga naninirahan sa lunsod na iyon sa pamamagitan ng talim ng tabak at iyong lubos na pupuksain ang lahat ng naroon at ang mga hayop doon sa pamamagitan ng talim ng tabak.
Tiroka niyo an ngatanan nga mga hiagi han mga tawo nga nag-uokoy didto, ngan tambaka ini didto ha plasa han bungto. Katapos, sunoga niyo an bungto ngan an ngatanan nga aadto ha sakob hini, sugad nga usa nga halad ngadto han Ginoo nga iyo Dyos. Kinahanglan pabay-an niyo ini nga bungto nga mabungkag ha kadayonan, ngan diri na liwat pagtindogon ini nga bungto.	At iyong titipunin sa liwasan ang lahat ng nasamsam doon, at iyong susunugin sa apoy ang lunsod, at ang lahat ng nasamsam doon, bilang handog na sinusunog para sa Panginoon mong Diyos. Ito ay magiging isang bunton magpakailanman; hindi na muling maitatayo.
Ayaw kamo pagtipig para ha iyo hin bisan ano nga butang nga ginhukman na nga mabungkag, ngan mangangalimot an Ginoo han iya mapintas nga kapungot ngan kalolooyan kamo niya. Malolooy hiya ha iyo ngan padadamoon kamo nga mga tawo sumala han iya iginsaad ha iyo kaapoy-apoyan,	Huwag mong hayaang lumapat sa iyong kamay ang anumang bagay na itinalaga, upang talikuran ng Panginoon ang bagsik ng kanyang galit, pagpakitaan ka niya ng kaawaan, mahabag sa iyo at paramihin ka, gaya ng ipinangako niya sa iyong mga magulang,
kon pagsugton niyo an ngatanan niya nga mga sugo nga akon iginhatag ha iyo yana nga adlaw, ngan pagtumanon niyo an iya ginpapabuhat ha iyo.	kapag pinakinggan mo ang tinig ng Panginoon mong Diyos, at iyong sinunod ang lahat ng kanyang mga utos na aking iniuutos sa iyo sa araw na ito, at iyong ginawa ang matuwid sa paningin ng Panginoon mong Diyos.
“Kamo amo an mga tawo han Ginoo nga iyo Dyos. Sanglit kon magmabidoon kamo tungod hin minatay, ayaw niyo pagsamara an iyo lawas o pagkiskisi an agtang han iyo ulo sugad han ginbubuhat han iba nga mga tawo.	“Kayo'y mga anak ng Panginoon ninyong Diyos; huwag ninyong susugatan ang inyong sarili, ni kakalbuhin ang inyong noo dahil sa patay.
Gintatag-iya na kamo han Ginoo nga iyo Dyos; ginpili kamo niya nga magin iya kalugaringon nga mga tawo tikang han ngatanan nga mga katawhan nga nag-uokoy ha tuna.	Sapagkat ikaw ay isang banal na bayan sa Panginoon mong Diyos, at ikaw ay pinili ng Panginoon upang maging bayan na kanyang sariling pag-aari, mula sa lahat ng mga bayan na nasa balat ng lupa.
“Ayaw kamo pagkaon hin bisan ano nga iginpasabot na han Ginoo nga mahugaw.	“Huwag kang kakain ng anumang bagay na marurumi.
An mga mananap nga makakaon niyo amo ini: an baka, karnero, kanding,	Ito ang mga hayop na maaari ninyong kainin: ang baka, ang tupa, at ang kambing,
bugsok, ihalas nga karnero, ihalas nga kanding, o oso—	ang malaking usa, at ang maliit na usa, at ang lalaking usa, at ang mailap na kambing, at ang kambing sa bundok, at ang kambing sa kapatagan, at ang tupang bundok.
bisan ano nga mga mananap nga may nagkakabahin nga mga kulo ngan nasabsab han banwa.	At bawat hayop na may hati ang paa, biyak at ngumunguya, sa mga hayop, ay maaari ninyong kainin.
Kundi diri makakaon an mga mananap labot kon nagkakabahin an mga kulo hini ngan nasabsab han banwa. Diri kamo makakakaon hin kamelyo, kuneho, o garong ha bato. Kinahanglan pag-isipon niyo nga mahugaw ini; nasabsab ini han banwa, kundi diri nagkakabahin an mga kulo.	Gayunman, ang mga ito ay hindi dapat kakainin sa mga ngumunguya, o sa biyak ang paa: ang kamelyo, ang liebre, at ang kuneho, sapagkat sila'y ngumunguya, ngunit walang hati ang paa; ang mga ito ay marumi sa inyo.
Ayaw kamo pagkaon hin baboy. Kinahanglan pag-isipon niyo nga mahugaw ini; nagkakabahin an mga kulo hini, kundi diri nasabsab hin banwa. Ayaw kamo pagkaon han bisan ano hini nga mga mananap o bisan pagkamkam han patay nga mga lawas hini.	At ang baboy, sapagkat may hati ang paa, ngunit hindi ngumunguya, ito'y marumi sa inyo; ang laman nila'y huwag ninyong kakainin, at ang kanilang bangkay ay huwag hihipuin.
“Makakaon niyo in bisan ano nga isda nga may mga kapay ngan mga hingbis,	“Lahat ng mga ito na nasa tubig ay maaari ninyong kainin: anumang may mga kaliskis at mga palikpik, ay maaari ninyong kainin.
kundi diri kamo makakakaon hin bisan ano nga nag-uokoy ha tubig nga waray mga kapay ngan mga hingbis; kinahanglan pag-isipon niyo nga mahugaw ini.	Anumang walang kaliskis at palikpik ay huwag ninyong kakainin; marumi ito para sa inyo.
“Makakaon niyo in bisan ano nga malinis nga tamsi.	“Maaari ninyong kainin ang lahat ng ibong malilinis.
12-18 Kundi amo ini nga mga tamsi an diri niyo kakaonon: an agila, bukaw, banog, falkon, sikop, manaol, uwak, duong, kanaway, lapay, talabong, pelicano, saribubo, abubilya, ngan kabog.	Ngunit ang mga ito'y hindi ninyo dapat kainin: ang agila, ang buwitre, at ang buwitreng itim,
“Maghugaw an ngatanan nga pakoan nga gudtiay nga mga mananap; ayaw niyo pagkaona ini.	at ang malaking lawin, at ang falkon, ayon sa kanilang uri;
Makakaon niyo in bisan ano nga malinis nga gudtiay nga mananap.	at lahat ng uwak ayon sa kanilang uri;
“Ayaw kamo kaon hin bisan ano nga mananap nga napatay ha iya la kalugaringon. Mahihimo niyo ipakaon ini han mga lumalangyaw nga nag-uokoy tampo ha iyo, o makakagbaligya kamo hini ngadto han iba nga mga lumalangyaw. Kundi gintatag-iya kamo han Ginoo nga iyo Dyos; kamo amo an mga tawo niya. “Ayaw niyo paglutoa in nati nga karnero o kanding dida han gatas han iroy hini.	ang avestruz, panggabing lawin, ang lawing dagat, at ang lawin, ayon sa kanilang uri;
“Igahin an ikanapulo nga bahin—an ikanapulo nga bahin han ngatanan nga abot han iyo kaumhan ha kada tuig.	ang munting kuwago, ang malaking kuwago, ang puting kuwago;
Niyan pakadto kamo han usa nga dapit nga ginpili han Ginoo nga iyo Dyos nga pagsisingbahan ha iya; ngan didto ha iya atubangan, kaona niyo an mga ikanapulo nga bahin han iyo binhe, bino, ug lana hin olibo, ngan an suhag han iyo mga baka ngan mga karnero. Pagbuhata ini niyo basi dayuday mahibaro kamo hin pagtahod han Ginoo nga iyo Dyos.	ang pelikano, ang buwitre, at ang somormuho;
Kon hirayo hin duro an iyo balay tikang han dapit hin pagsingba, ngan makuri para ha iyo an pagdara ngadto han ikanapulo nga bahin han mga abot nga iginpakaupay ha iyo han Ginoo , buhata niyo ini:	ang puting tagak, ang tagak na kulay-ube, ayon sa kanilang uri; ang paniki, at ang kabág.
Igbaligya an iyo ikanapulo nga bahin han mga abot ngan dad-a niyo an kwarta ngadto han usa nga dapit hin pagsingba.	Lahat ng may pakpak na gumagapang ay marumi sa inyo; huwag ninyong kakainin ang mga ito.
Gastoha ini niyo ha bisan ano nga iyo karuyagon—karne hin baka, karne hin nati nga karnero, bino, iba nga irimnon—ngan didto, ha atubangan han Ginoo nga iyo Dyos, kakaonon niyo ngan han iyo mga panimalay ngan magkakalipay kamo.	Maaari ninyong kainin ang lahat ng ibong malilinis.
“Ayaw niyo pagpasibay-i an mga Levita nga nag-uokoy didto han iyo mga bungto; waray hira mga hiagi nga ira kalugaringon.	“Huwag kayong kakain ng anumang bagay na kusang namatay; maaari mong ibigay sa dayuhang nasa loob ng iyong mga bayan, upang kanyang kainin; o maaari mong ipagbili sa dayuhan; sapagkat ikaw ay isang banal na bayan sa Panginoon mong Diyos. “Huwag mong lulutuin ang guyang kambing sa gatas ng kanyang ina.”
Ha katapos han kada ikatulo ka tuig, dad-a niyo an ikanapulo nga bahin han ngatanan nga iyo mga abot ngan tipigi ini didto han iyo mga bungto.	“Kukunan mo ng ikasampung bahagi ang lahat ng bunga ng iyong binhi na nanggagaling sa iyong bukid taun-taon.
