msb	hil
Ini sinda nagin mga anak san Dios dili hali sa pagpakatawo, ni sa lawasnon na kaila, ni sa pagbuot san tawo kundi sa pagbuot san Dios mismo.	Nangin-anak sila sang Dios indi sa tawhanon nga paagi bisan pa nga natawo sila sa tawhanon nga amay, kundi ang Dios mismo ang naghimo sa ila nga iya mangin-anak.
Niyan, idtoʼn ginatawag na Surmaton nagin tawo kag nag-istar kaupod namon. Mabuot gayod siya kag kamatuudan an pirme niya ginasurmaton. Nakita man namon an glorya san iya pagkadios. Amo ini an glorya san bugtong na anak san Ama.	Ang Pulong nangintawo kag nagkabuhi sa tunga namon. Nakita namon ang iya pagkagamhanan nga puno sang paghigugma kag kamatuoran; ini amo ang kagamhanan nga nabaton niya subong bugtong nga Anak sang Amay.
Amo siya an ginpamatuudan ni Juan san magpanawagan, “Amo ini na tawo an ginasabi ko san ginsurmaton ko na siya na maabot kasunod ko mas labaw ki sa akon, tungod na ada na siya sa katuna-tunai pa antes ngani ako gin-anak.”	Nagpanaksi si Juan nahanungod sa iya, kag nagsinggit, “Amo ini sia ang akon ginsiling sa inyo nga magaabot nga ulihi lang sa akon, pero labaw pa sia sa akon, tungod kay sa wala pa ako matawo, yara na sia.”
Niyan, paagi sa dako niya na pagkamuot, nakabaton man kita tanan sin sunod-sunod na mga bendisyon.	Gikan sa kabuganaan sang iya gugma, nanginmaayo sia sa aton tanan kag nabaton naton ang nagadinasundason nga mga kaayuhan.
An Kasuguan san Dios nakaabot sa aton paagi kan Moises pero an grasya kag kamatuudan san Dios paagi kan Jesu-Cristo.	Ang Kasugoan ginhatag sang Dios paagi kay Moises, pero ang gugma kag kamatuoran nag-abot sa aton paagi kay Jesu-Cristo.
Wara pa gayod sin nakakita san Dios kundi an bugtong na anak na Dios man. Siya na palangga san Ama amo man an nagpakilala san Dios mismo.	Wala sing bisan sin-o nga nakakita sa Dios, kundi ang bugtong nga Anak sang Dios, nga yara sa tupad sang Amay. Sia amo ang nagpahayag sa iya.
San nagsugo an mga namumuno san mga Judio sin mga padi kag mga Levita hali sa Jerusalem agod hungaon si Juan kun sin-o siya, amo ini an pagsabat niya.	Ang mga pangulo sang mga Judio sa Jerusalem nagpadala sang pila ka mga pari kag mga Levita sa pagpamangkot kay Juan, “Sin-o bala ikaw?”
“Dili ako an Cristo na gintuga san Dios,” an hayagan niya na pagsumat.	Si Juan nagsabat sa ila kag nagpahayag nga wala sing lipudlipod, “Indi ako amo ang Cristo.”
Tapos naghunga sinda sa iya, “Sin-o ka man gali? Ikaw ba si Elias?”	Ginpamangkot nila sia liwat, “Kon amo, sin-o ka? Ikaw bala si Elias?”
Nagsabat siya, “Dili ako.”	Nagsabat si Juan, “Indi ako si Elias.”
“Nano, ikaw an propeta na gintuga san Dios?” hunga naman ninda.	Liwat nagpamangkot sila, “Ikaw bala ang Propeta?”
“Dili,” an ginsabat niya.	Nagsabat si Juan, “Indi.”
Ginhunga gihapon siya ninda, “Sin-o ka man gayod? Sabata kami agod masabi namon sadtoʼn nagsugo sa amon. Nanoʼn masabi mo manungod sa imo sadiri?”	Dayon nagsiling sila, “Ti, sugiri kami kon sin-o ikaw agod may isabat kami sa mga nagpadala sa amon. Ano ang masiling mo nahanungod sa imo kaugalingon?”
Didi siya nagpahayag paagi sa mga surmaton san propeta na si Isaias, “Ako an nagapanawagan sa disyerto, ‘Tadunga an agihan san Ginoo.’,”	Si Juan nagsabat paagi sa mga pulong ni Isaias nga propeta:
Niyan, ini na mga tawo an sinugo san mga Pariseo	“Ako amo ‘ang nagawali sing mabaskog sa desierto:
kag nagpadayon sinda paghunga sa iya, “Nano kay nagapangbunyag ka kun dili ka man gali an Cristo, ni si Elias, ni an propeta?”	Mag-aman kamo sing tadlong nga dalan nga pagaagyan sang Ginoo!’”
Nagpahayag gihapon si Juan sa inda, “Nagabunyag ako sin tubig pero may usad sa iyo na dili niyo nakikilala.	Ini nga mga mensahero ginpadala sang mga Fariseo.
Nagapakadi siya kasunod ko, kay mas labaw pa siya sa akon, dili ako angay bisan maghubad san sintas san iya sandalyas.”	Ginpamangkot nila si Juan, “Kon indi ikaw ang Cristo, ukon si Elias ukon ang Propeta, ngaa bala nga nagapangbautiso ka?”
Nangyari ini sa Betania sa unhan san suba san Jordan kun diin siya nagapangbunyag.	Nagsabat si Juan, “Ginbautisohan ko kamo sang tubig, pero sa tunga ninyo may isa nga nagatindog nga wala ninyo makilala.
San sunod na adlaw pakakita kan Jesus na nagatulos, nagsabi si Juan, “Kitaa, adi an kordero san Dios na magahali san mga sala san katawuhan sa kinab-an.	Magaabot sia nga ulihi lang sa akon, pero indi ako takos bisan sa paghubad sang higot sang iya sandalyas.”
Amo na ini an tawo na ginaparasabi ko: usad na tawo na maabot kasunod ko na mas labaw sa akon kay ada na siya sa katuna-tunai pa antes ngani ako gin-anak.	Ini tanan nahanabo sa Betania, sa tabok sang Suba sang Jordan sa diin nagapangbautiso si Juan.
Dili ko siya kilala sadto pero siya an dahilan kun nano kay ginpakadi ako sa pagbunyag sin tubig agod ipakilala siya sa aton na mga taga-Israel.”	Sang madason nga adlaw, nakita ni Juan si Jesus nga nagapadulong sa iya kag nagsiling sia, “Yari ang Kordero sang Dios nga nagakuha sang sala sang kalibutan!
Amo ini an ginpahayag pa ni Juan, “Nakita ko na nagalusad an Espirito hali sa langit nagapaitsura bagaʼn salampati kag nagpabilin sa iya.	Sia amo ang akon ginsiling nga magaabot nga ulihi lang sa akon, pero labaw pa sia sang sa akon, tungod kay sa wala pa ako matawo, yara na sia.
Dili ko pa gihapon siya kilala sadto pero ginsabihan ako san nagsugo sa akon na magbunyag na magsabi, ‘An tawo na makita mo na lusadan san Espirito kag pirmehan sani, amo na ina an magapambunyag paagi sa paghatag san Espirito Santo.’,”	Wala ako makahibalo kon sin-o gid sia, pero nag-abot ako nga nagabautiso sang tubig agod nga mapakilala ko sia sa mga katawhan sang Israel.”
Tapos nagpadayon pa si Juan, “Nakita ko man gayod ini kag ginapamatuudan ko sa iyo na siya an Anak san Dios.”	Ini amo ang panaksihon nga ginhatag ni Juan, “Nakita ko ang Espiritu nga nagakunsad subong sang isa ka pating gikan sa langit, kag nagpabilin sa iya.
Pagkasunod na adlaw adto man gihapon si Juan. May kaupod siyaʼn duha na disipulos.	Wala pa ako makakilala sa iya, pero ang Dios nga nagpadala sa akon sa pagbautiso sa mga tawo sang tubig, nagsiling sa akon, ‘Makita mo ang Espiritu nga magakunsad kag magapabilin sa isa ka tawo. Ina sia amo ang magabautiso sa mga tawo sang Espiritu Santo.’”
Nagsabi si Juan san makita niya na nagalabay si Jesus, “Kitaa! Siya an kordero san Dios.”	Kag nagsiling pa gid si Juan, “Nakita ko ini kag nagasiling ako sa inyo, nga sia amo ang Anak sang Dios.”
Pakabati sani sumunod kan Jesus an duha na disipulos.	Sang madason nga adlaw, yadto didto liwat si Juan nagatindog upod ang duha sang iya mga gintuton-an.
Paglingi ni Jesus nakita sinda na nagasunod kag ginhunga, “Nano an gusto niyo?”	Sang nakita niya si Jesus nga nagalabay nagsiling sia, “Yari ang Kordero sang Dios!”
Nagsabat sinda, “Rabi, (na an gusto sabihon, Maestro) diin ka nagaistar?”	Ang duha niya ka mga gintuton-an nakabati sang pagsiling niya sini, kag nagsunod sila kay Jesus.
“Kadi kamo kag kitaa,” an sabat ni Jesus.	Sang nagbalikid si Jesus, nakita niya sila nga nagasunod sa iya, kag nagpamangkot sia sa ila, “Ano bala ang ginapangita ninyo?”
Kaya nag-upod sinda kag nakita kun diin man gayod siya nagaistar. Kay maalas kwatro na an hapon, nagpabilin sinda kaupod niya sadto na adlaw.	Nagsabat sila, “Sa diin bala ikaw nagaestar, Rabbi?” (Ang tinaga nga “Rabbi” sa Hebreo nagakahulogan “Manunodlo.”)
Usad sani na duha na nagsunod kan Jesus pakabati san ginsabi ni Juan amo si Andres na kamanghod ni Simon Pedro.	Nagsabat sia, “Dali kag tan-awa ninyo.” Gani naglakat sila upod sa iya kag nakita nila kon diin sia nagaestar, kag nagpabilin sila upod sa iya sadtong adlaw. (Mga alas kwatro na sadto sang hapon.)
Ginhanap dayon niya an iya kamanghod kag sinabihan, “Naagihan na namon an Mesias (na an gusto sabihon, Cristo).”	Ang isa sini sa ila nga nakabati kay Juan kag nagsunod kay Jesus amo si Andres nga utod ni Simon Pedro.
Pakatapos, gin-upod niya siya kan Jesus.	Sa gilayon ginpangita niya ang iya utod nga si Simon kag ginsugiran niya sia, “Nakita namon ang Mesias.” (Ang tinaga nga “Mesias” sa Hebreo nagakahulogan “Cristo.”)
Tinurok si Pedro ni Jesus kag sinabihan, “Ah, ikaw gali si Simon na anak ni Juan. Pagangaranan ka sin Cefas,” (ini pareho san ngaran na Pedro na an gusto sabihon, “bato”).	Dayon gindala niya si Simon kay Jesus.
Pagkasunod na adlaw nakaisip pagkadto si Jesus sa Galilea. Didto pakahanap kan Felipe sinabihan niya, “Mag-upod ka sa akon.”	Si Jesus nagtulok sa iya kag nagsiling, “Ikaw si Simon nga anak ni Juan. Pagahingalanan ikaw Cefas.” (Ini nga ngalan pareho sang ngalan nga Pedro nga kon sayuron “bato.”)
Ini si Felipe taga-Betsaida kag kahilungsod ninda Andres kag Pedro.	Sang madason nga adlaw, nagpamat-od si Jesus nga magkadto sa Galilea. Nakita niya si Felipe kag ginsingganan, “Upod ka sa akon!” (
Tapos pakahanap naman ni Felipe kan Nataniel sinumatan, “Nataniel, naagihan na namon siya na ginsurat ni Moises sa libro na may Kasuguan kag ginsurat man san mga propeta. Siya si Jesus an anak ni Jose na taga-Nazaret.”	Si Felipe taga-Betsaida, nga amo man ang banwa sa diin si Andres kag si Pedro nagaestar.)
Pag-ikatulo ka adlaw nagkaigwa sin kasalan sa Cana didto sa Galilea. Adto na an iloy ni Jesus,	Sang makaligad ang duha ka adlaw, may ginhiwat nga kasal sa banwa sang Cana, sa probinsya sang Galilea. Ang iloy ni Jesus yadto didto,
kag imbitado man sani na kasalan sinda Jesus kag san iya mga disipulos.	kag si Jesus kag ang iya mga gintuton-an gin-agda man sa kasal.
San maubusan san bino sinabihan si Jesus san iya iloy, “Wara na sindaʼn bino.”	Sang naubos na inom ang bino, ang iloy ni Jesus nagsiling sa iya, “Naubosan sila sing bino.”
Ginsabat naman niya ini, “Ayaw ako pag-idamay kay dili ko pa panahon.”	Si Jesus nagsabat, “Indi na kinahanglan nga singganan mo pa ako, iloy ko, kon ano ang akon himuon. Ang akon tion wala pa mag-abot.”
Pero sinabihan san iya iloy an mga suruguon, “Himua niyo an isugo niya sa iyo.”	Dayon, ang iloy ni Jesus nagsiling sa mga suloguon, “Himua ninyo ang bisan ano nga isiling niya sa inyo.”
Niyan, igwa didtoʼn unom na tapayan san tubig para paghugas susog sa nakaugalian na san mga Judio. An kada usad sani sulod sin 20 pa 30 ka galon.	Ang mga Judio may mga pagsulondan nahanungod sa pagpaninlo, kag sa sini nga tinutuyo may anom didto ka mga tadyaw, ang tagsa ka tadyaw sarang masudlan sang baynte tubtob traynta ka galon nga tubig.
Tapos sinabihan ni Jesus an mga suruguon, “Pun-a niyoʼn tubig ina na mga tapayan.” Kaya pinuno man gayod ninda.	Si Jesus nagsiling sa mga suloguon, “Pun-a ninyo sing tubig ang mga tadyaw.” Ginpuno nila sing tubig ang mga tadyaw tubtob sa bibig,
“O, hala, pagtabo na kamo kag darhi an nagapamahala sani na ponsya,” an sabi niya sa inda. Kaya dinarhan ninda.	kag dayon ginsingganan niya sila, “Karon, sandok kamo sa sinang tubig kag dalha sa manugdumala sang punsyon.” Gindala nila ini sa manugdumala,
Niyan, aram san mga suruguon na hali sa tubig idtoʼn bino pero dili ina aram san nagapamahala. Kaya pakatimtimi niya sana na tubig na nagin bino, tinawag niya an kinasal na lalaki,	kag iya gindimdiman ang tubig nga nahimo nga bino. Wala sia makahibalo kon diin ini nga bino maghalin, (pero, nakahibalo iya ang mga suloguon nga nagsandok sang tubig.) Gani gintawag niya ang nobyo
tapos sinabihan niya, “Kadamuan, an una na ginasirbihan maayo na bino kag ginatago anay an maluya na klaseʼn irimnon hasta na damo naʼn nainom an mga bisita, pero kamo, gintigana an maayo na bino hasta niyan.”	kag ginsingganan, “Ang tagsa ka tawo nagasirbe sang labing maayo nga bino sa pagsugod sang punsyon kag kon tama na ang nainom sang mga dinapit, ginahatag niya ang ordinaryo nga bino. Pero ikaw iya nagasirbe sang labing maayo nga bino tubtob karon!”
Ini na ginhimo ni Jesus sa Cana san Galilea amo an tuna san iya mga milagro. Didto ginpakita niya an iya gloryoso na gahom kaya an mga disipulos nagturuod sa iya.	Ini amo ang nahauna sang gamhanan nga mga buhat nga ginhimo ni Jesus sa Cana sang Galilea. Didto ginpahayag niya ang iya kagamhanan, kag ang iya mga gintuton-an nagtuo sa iya.
Pakatapos sani, naglugsad si Jesus sa Capernaum kaupod an iya iloy, an iya mga kamaranghod kag mga disipulos. Didto nag-istar sinda sin pira lang ka adlaw.	Sa tapos sini si Jesus kag ang iya iloy, ang iya mga utod nga lalaki, kag mga gintuton-an nagdulhog pakadto sa Capernaum, kag nagtener sila didto sing pila ka adlaw.
San mapaskwa na san mga Judio, nagsagka si Jesus sa Jerusalem.	Nagahilapit na ang Piesta sang Pascua sang mga Judio, gani si Jesus nagtaklad pakadto sa Jerusalem.
Didto sa templo nakita niya an mga tawo na nagabaraligyaʼn baka, karnero, mga salampati kag san mga parabalyoʼn kwarta na sibot sa inda negosyo.	May nakita sia nga mga tawo didto sa Templo nga nagabaligya sang mga baka, mga karnero, kag mga pating, kag subong man ang mga manugbaylo sang kwarta nga yara sa ila mga lamisa.
Pakahimo ni Jesus sin latigo na pisi, gin-abog sinda tanan sa templo hasta an mga baka kag mga karnero. An mga sinsilyo san mga parabalyoʼn kwarta binu-bo man niya kag tinumba an inda mga lamesa.	Naghimo si Jesus sang inughanot nga lubid kag iya ginpanabog ang tanan pa gwa sa Templo, dungan sang mga karnero kag mga baka. Ginpangwas-ag niya ang mga sensilyo sang mga manugbaylo sang kwarta, kag ginpamaliskad niya ang ila mga lamisa,
Tapos gin-uritan ni Jesus an mga parabaligyaʼn salampati, “Halia niyo ini didi! Ayaw paghimua na merkado an balay san akon Ama.”	kag ginmanduan niya ang mga manugbaligya sang mga pating, “Kuhaa ninyo ina diri! Indi ninyo paghimua nga tiendahan ang balay sang akon Amay!”
Didi nadumduman san iya mga disipulos an nasurat sa Banal Na Kasuratan: “O, Dios Ama, bagaʼn kalayo na mapatay sa akon an pagmalasakit sa imo balay.”	Nadumdoman sang iya mga gintuton-an nga ang kasulatan nagasiling, “Ang akon kabalaka sa imo balay, O Dios, nagadabdab sa sulod nakon subong sang kalayo.”
Tapos nagpakiaram an mga namumuno san mga Judio kag naghunga, “Nano an ikapakita mo sa amon na tanda na may poder ka na himuon ini?”	Ang mga pangulo sang mga Judio nagpamangkot sa iya, “Ano bala nga milagro ang imo mahimo sa pagpakita sa amon nga may katarungan ka sa paghimo sini?”
Nagsabat si Jesus, “Kun rubaon niyo ini na templo, titindugon ko gihapon sa sulod san tulo ka adlaw.”	Si Jesus nagsabat, “Gub-a ninyo ining Templo kag sa sulod sang tatlo ka adlaw patindugon ko ini liwat.”
Ginsabihan naman siya san mga Judio, “Tulo la ka adlaw! Nano na! 46 anyos gintrabaho ini na templo. Nano, matitindog mo ada ini sa sulod la sin tulo ka adlaw?”	Namangkot sila sa iya, “Ini nga Templo ginpatindog sa sulod sang kwarentay sais ka tuig, kag patindugon mo bala ini liwat sa sulod sang tatlo lamang ka adlaw?”
Pero an ginasurmaton ni Jesus na templo amo an iya lawas.	Pero ang templo nga ginsiling ni Jesus amo ang iya lawas.
Kaya san pagkabuhay gihapon niya, an iya mga disipulos nakadumdom na ginsabi niya ini kaya man ngani nagturuod sinda sa Banal Na Kasuratan kag san mga surmaton na iya ginsabi.	Gani sang nabanhaw sia, nadumdoman sang iya mga gintuton-an nga ginhambal niya ini, kag nagtuo sila sa kasulatan kag sa mga pulong nga ginhambal ni Jesus.
Myintras si Jesus adto sa Jerusalem para sa paskwa damo an nagtuod sa iya pakakita san mga milagro na iya ginhimo.	Sang didto si Jesus sa Jerusalem sa Piesta sang Pascua, madamo ang mga nagtuo sa iya ngalan sang makita nila ang gamhanan nga mga buhat nga ginhimo niya.
Pero wara ginpaniwala ni Jesus an iya sadiri sa inda kay aram gayod niya an tanan manungod san mga tawo.	Pero si Jesus wala magsalig sang iya kaugalingon sa ila, tungod kay nakilala niya sing maayo ang tanan nga mga tawo.
Dili na kinahanglan na tukduan pa siya manungod sa inda kay siya mismo maaram na san tagipusuon san tawo.	Wala na sing kinahanglan nga sugiran sia nahanungod sang mga tawo, tungod kay nahibaluan gid niya kon ano ang yara sa ila mga tagipusoon.
Igwaʼn Pariseo na an ngaran Nicodemo. Usad siya na namumuno san mga Judio.	May isa ka tawo nga ginhingalanan kay Nicodemo, isa ka pangulo sang mga Judio, nga katapo sang partido sang mga Fariseo.
Usad sin gab-i nagkadto siya kan Jesus kag naghunga, “Maestro, aram namon na maestro ka na hali sa Dios dahilan na waraʼn makahimo sani na mga milagro na ginaparahimo mo kun wara dida sa iya an Dios.”	Isa sadto ka gab-i, nagkadto sia kay Jesus kag nagsiling sa iya, “Rabbi, nahibaluan namon nga ikaw isa ka manunodlo nga ginpadala sang Dios. Wala sing makahimo sang gamhanan nga mga buhat nga imo ginahimo kon ang Dios wala nagaupod sa iya.”
Nagsabat si Jesus, “Matuod gayod na kun may tawo na dili ianak otro para sa Dios dili siya magin sakop sani.”	Si Jesus nagsabat, “Nagasiling ako sa imo sang matuod: wala sing isa nga makapasakop sa paghari sang Dios kon indi sia matawo liwat.”
Pero naghunga si Nicodemo, “Pan-o ianak gihapon an gurang na? Nano, makabalik pa siya sa tiyan san iya iloy kag ianak gihapon?”	Si Nicodemo nagpamangkot, “Paano bala ang pagkatawo liwat sang tawo kon hamtong na sia? Makasulod pa bala sia sing makaduha sa tiyan sang iya iloy kag magpakatawo liwat?”
Nagsabat naman si Jesus, “Matuod gayod na an dili ianak gihapon paagi sa tubig kag Espirito dili makasulod sa kahadian san Dios.	Si Jesus nagsabat, “Nagasiling ako sa imo sang matuod: wala sing isa nga makapasakop sa paghari sang Dios, kon indi sia matawo sa tubig kag sa Espiritu.
An gin-anak sa tawo may buhay na pagkatawo kag an gin-anak gihapon sa Espirito san Dios may buhay na pagkadios hali naman sana na Espirito.	Ang gin-anak sang tawo, tawo, kag ang gin-anak sa Espiritu, espiritu.
Ayaw pagngalas na ginsabihan ko ikaw na dapat ianak otro kamo tanan.	Indi ka magkatingala nga ako nagasiling sa imo, ‘Dapat kamo tanan matawo liwat.’
Halimbawa, nagapakadto an hangin kun hain sani gusto kag bisan nababatian an hagunos dili mo aram kun diin hali o kun diin makadto. Bagaʼn sugad man sana an paghimo san Espirito sa gin-anak niya.”	Ang hangin nagahuyop bisan sa diin ang luyag niya. Mabatian mo ang iya huni, pero indi ka makahibalo kon diin ini nagahalin kag kon diin nagapakadto. Subong man sini ang nagakatabo sa tagsatagsa nga natawo sa Espiritu.”
Nalisang si Nicodemo kaya naghunga gihapon, “Pan-o ina mangyari?”	Si Nicodemo nagpamangkot, “Paano bala ang pagkahimo sini?”
Ginsabat siya ni Jesus, “Bantog ka na maestro sa Israel kag dili mo ba ini nasasabutan?	Si Jesus nagsabat, “Bantog ka nga manunodlo sang Israel, kag wala ka makahibalo sini?
Matuod gayod na ginasurmaton lang namon an amon naaaraman kag an amon nakita ginatestigo, pero dili niyo ginatuudan an amon ginasabi.	Nagasiling ako sa imo sang matuod: nagahambal kami sang amon nahibaluan, kag nagasugid sang amon nakit-an, pero wala gid sing isa sa inyo nga nagapati sang amon ginsiling.
Dili ngani niyo ginatuudan an ginasurmaton ko manungod sa mga nangyayari sa kinab-an kaya pan-o kamo magtuod sa akon kun magsurmaton ako sa iyo manungod sa nangyayari sa kalangitan.	Wala kamo nagapati sa akon kon magsugid ako sa inyo nahanungod sang mga butang sa sini nga kalibutan. Gani, paano abi ang pagtuo ninyo sa akon, kon sugiran ko kamo nahanungod sang mga butang nga langitnon?
Wara pa sin nakasaka sa langit kundi ako na Anak San Tawo na naglusad hali sa langit.	Kag wala sing bisan isa nga nakasaka sa langit luas lamang sa Anak sang Tawo nga nagpanaog halin sa langit.”
Dapat pa man ihitaas ako na Anak San Tawo pareho san ginhitaas ni Moises sa disyerto an ginhimo niya na bagaʼn sawa,	Subong nga si Moises nagbayaw sang man-og nga saway sa isa ka tukon didto sa desierto, sa amo man nga bagay dapat pagabayawon ang Anak sang Tawo,
agod an may pagsarig sa akon magkakaigwaʼn buhay na waraʼn katapusan.	agod nga ang tagsatagsa nga magtuo sa iya may kabuhi nga wala sing katapusan.
“Matuod na kay namut-an gayod san Dios an katawuhan san kinab-an, kaya ginsugo ngani niya an iya bugtong na anak agod an buhay sani magigin halad para sa inda kasal-an. Niyan, dili mawawar-an sin buhay an may pagsarig sa iya kundi magkakaigwa lugod sin buhay na waraʼn katapusan.	Kay ginhigugma gid sang Dios ang kalibutan sa bagay nga ginhatag niya ang iya bugtong nga Anak, agod nga ang tagsatagsa nga nagatuo sa iya indi na mapatay, kundi may kabuhi nga wala sing katapusan.
Dili ginsugo san Dios an iya anak pakadi sa kinab-an para maghusgar, kundi paagi sa iya masalbar an katawuhan san kinab-an.	Kay wala ginpadala sang Dios ang iya Anak sa kalibutan sa paghukom sang kalibutan, kundi sa pagluwas sang kalibutan paagi sa iya.
“Waraʼn huhusgaran na nagatuod sa iya anak pero an dili nagatuod sa iya ginhusgaran na tungod na wara siyaʼn pagsarig sani na anak san Dios.	Ang bisan sin-o nga nagatuo sa Anak indi paghukman, pero ang bisan sin-o nga wala nagatuo nahukman na, tungod kay wala sia magtuo sa ngalan sang bugtong nga Anak sang Dios.
An ginbasihan san paghusgar amo ini: nagpakadi sa kinab-an an ilaw pero mas naiilaan san mga tawo an kadulman ki sa kapaw-an kay mga maraot an ginaparahimo ninda.	Amo ini ang kabangdanan sang paghukom: ang kapawa nag-abot sa kalibutan, pero ang mga tawo naghigugma sang kadudulman sa baylo sang kapawa, tungod kay malaut ang ila ginahimo.
Kay an nagaparahimoʼn karautan habo san kapaw-an kag nagalikay sana kay nahadlok na basi maaraman an iya mga ginahimo.	Kag ang bisan sin-o nga nagahimo sing malaut nagadumot sa kapawa kag indi magpalapit sa kapawa, tungod kay indi sia luyag nga mabuyagyag ang iya mga binuhatan.
Pero an nabubuhay sa kamatuudan an nagapahalapit sa kapaw-an agod makita sin maayo na an iya mga ginahimo susog sa kagustuhan san Dios.”	Pero ang bisan sin-o nga nagaginawi suno sa kamatuoran nagapalapit sa kapawa, agod mapahayag sang kapawa ang tanan nga iya ginhimo sa pagtuman sa Dios.
Pakatapos sani nagpakadto sinda Jesus kag san iya mga disipulos sa lugar san Judea. Nag-istar siya didto kaupod ninda kag nagapambunyag.	Sa tapos sini, si Jesus kag ang iya mga gintuton-an nagkadto sa probinsya sang Judea. Nagtener sia didto kaupod nila, kag nagpangbautiso.
Sadto man na panahon nagapambunyag man si Juan sa Enon halapit sa Salim dahilan na damo didtoʼn tubig, kaya damoʼn tawo an nagakaradto agod magpabunyag pa sa iya.	Si Juan nagpangbautiso man sa Enon malapit sa Salim, tungod kay madamo ang tubig didto. Ang mga tawo nagkadto sa iya, kag ginbautisohan niya sila. (
Nangyari ini antes san pakapriso ni Juan.	Kay si Juan wala pa sadto nabilanggo.)
Niyan, an mga disipulos ni Juan kag san usad na Judio nagasuruay manungod sa paghugas na nakaugalian na san mga Judio.	Ang iban sang mga gintuton-an ni Juan nagpakigbais sa isa ka Judio nahanungod sang pagsulondan sa pagpaninlo.
Kaya nagpakaradto sinda kan Juan kag nagsumat, “Rabi, idtoʼn kaupod mo sa unhan san Jordan na gintestigusan mo, adi na naman siya nagapambunyag kag an tanan nagakaradto na sa iya.”	Gani, nagkadto sila kay Juan kag nagsiling sa iya, “Manunodlo, nadumdoman mo bala yadtong tawo nga upod mo anay didto sa tabok sang Jordan nga ginsugid mo sa amon? Abi mo, nagapangbautiso na sia karon, kag halos ang tagsatagsa nagakadto sa iya!”
Nagsabat si Juan, “Waraʼn bantog sugad sana an tawo kun dili ginatugot sa iya san Dios.	Si Juan nagsabat, “Wala sing bisan sin-o nga makaangkon sang bisan ano nga butang kon indi pag-ihatag ini sang Dios sa iya.
Kamo mismo an mga testigo na nagsabi ako na dili ako an Cristo, kundi ako lang an ginsugo na mag-una sa iya.	Kamo mismo amo ang akon mga saksi nga ako nagsiling, ‘Indi ako ang Cristo, kundi ako amo ang ginpadala sa pag-una sa iya.’
Halimbawa, an karaslon na babayi para sa karaslon na lalaki pero an abay san karaslon na lalaki na adto didto kag nakabati san iya boses nalilipay gayod, kaya sugad sani niyan malipay-lipay gayod ako.	Ang nobya amo ang napatungod sa nobyo, ang abyan sang nobyo nga nagatindog kag nagapamati, nagakalipay sa pagpamati sang tingog sang nobyo. Sa amo man nga paagi, nanginbug-os ang akon kalipay.
Sigurado na siya magigin bantog pero ako naman dapat magpahunod,” sabi ni Juan.	Dapat sia magmangindaku, pero ako magmanginkubos.”
“Labaw sa tanan siya na tagalangit. An tagakinab-an naman tagakinab-an lang gayod kag pareho man san mga tagakinab-an an iya panurmaton. Kaya labaw man gayod an tagalangit.	Ang nagaabot halin sa ibabaw labaw sa tanan, ang nagahalin sa kalibutan, iya sang kalibutan kag nagahambal sang mga butang nga kalibutanon. Ang nagaabot halin sa langit labaw sa tanan.
Nagatestigo siya sa iya mga nakita kag nabatian pero mga pira lang an nagatuod sa iya.	Nagasugid sia sang iya nakita kag nabatian, pero wala sing may nagabaton sang iya mensahe.
Pero an tanan na nagaako san iya ginatestigo nagapamatuod na matuod an ginsabi san Dios,	Ang bisan sin-o nga nagapati sang iya mensahe nagapamatuod paagi sini nga ang Dios matuod.
kay siya na ginsugo san Dios amo an nakasurmaton san iya mensahe dahilan na an Espirito Santo na ginhatag sa iya san Dios biyo na sa gahom.	Ang ginpadala sang Dios nagahambal sang mga pulong sang Dios, tungod kay ginahatag sang Dios sa iya ang kabug-osan sang iya Espiritu.
Namumuot an Ama sa Anak kag ginpabuot sa iya an tanan.	Ang Amay nagahigugma sang iya Anak kag nagtugyan sa iya kamot sang tanan nga mga butang.
An nagatuod sa Anak nagakaigwaʼn buhay na waraʼn katapusan, pero an dili nagatuod sa Anak dili magakaigwa sana na buhay kundi ada sa iya an grabe na kaurit san Dios.”	Ang bisan sin-o nga nagatuo sa Anak may kabuhi nga wala sing katapusan, pero ang bisan sin-o nga nagalalis sa Anak indi makaangkon sang kabuhi, kundi ang kaakig sang Dios magapabilin sa iya sa walay katapusan.
Pakaarami ni Jesus na nabaritaan san mga Pariseo na mas damo siyaʼn nadadara kag nabubunyagan ki kan Juan,	Nakabati ang mga Fariseo nga si Jesus may madamo na nga mga sumolunod kag nagpangbautiso sia sing madamo pa nga mga gintuton-an sang sa kay Juan. (
bisan pa ngani dili si Jesus an nagabunyag kundi an iya mga disipulos,	Ang matuod amo nga indi si Jesus ang nagapangbautiso, kundi ang iya lang mga gintuton-an.)
naghali siya sa Judea kag nagbalik sa Galilea.	Sang mahibaluan ini ni Jesus, naghalin sia sa Judea kag nagbalik sa Galilea.
Sa iya pagpakadto pagaagihan niya an Samaria.	Sa iya pagpakadto didto kinahanglan maagi gid sia sa Samaria.
Kaya sa iya paglakaton nakaabot siya sa usad na lungsod san Samaria na gintawag Sicar na halapit sa uma na ginhatag sadto ni Jacob sa iya anak na si Jose.	Nag-abot sia sa isa ka banwa sang Samaria nga ginatawag Sicar, malapit sa isa ka puna nga duta nga ginhatag ni Jacob sa iya anak nga si Jose.
