msb,hil
"Pakatapos pagsurmaton ni Jesus san tanan na gusto niya ipabati sa mga tawo, nagpakadto siya sa Capernaum.","Sa tapos ni Jesus mahambal ini tanan nga mga butang sa mga tawo, nagkadto sia sa Capernaum."
Didto may palangga na suruguon an namumuno san mga suldados. Masakit siya kag tikamatayon.,Ang kapitan nga Romanhon didto may isa ka suloguon nga palangga gid niya. Ini nga suloguon nagamasakit kag tagumatayon.
San pakabarita niya kan Jesus naghangyo siya sin pira na mga namumuno san mga Judio na pakadto sa iya para makimaluoy na mag-upod kag ayuhon an iya suruguon.,"Sang pagkabati sang kapitan nahanungod kay Jesus, ginpadala niya ang pila ka mga katigulangan sang mga Judio sa pagpangabay kay Jesus nga magkari kag ayuhon ang iya suloguon."
"Pag-abot ninda kan Jesus nakimaluoy gayod sinda sin maayo, “Angay gayod na himuon mo ini sa iya,",Nagkadto sila kay Jesus kag nagpakitluoy gid sa iya: “Ini nga kapitan takos gid sang imo bulig.
kay siya mainangay-angayon sa aton na mga tawo. Siya pa ngani an nagpahimo san amon sinagoga.”,Kay nagahigugma sia sang aton mga katawhan kag sia gid ang nagpatindog sang amon sinagoga.”
"Kaya nag-upod si Jesus sa inda kag san halapit na siya sa balay ginpasugat naman siya san namumuno sa iya mga amigo na may ginapasabi, “Ginoo, ayaw na pagpagala pa an imo sadiri kay dili ako angay na magpadayon sa imo sa akon balay.","Gani si Jesus nag-upod sa ila. Sang malapit na si Jesus sa balay, ginpadala sang kapitan ang iya mga abyan nga silingon si Jesus, “Ginoo, indi ka na magpagamo! Indi ako takos nga magkadto ka sa akon balay,"
Sugad man dili ako angay makig-atubang sa imo pero magsurmaton ka lang kay an akon suruguon mabubulong.,"kag indi man ako takos magpalapit sa imo. Pero magsiling ka lang, ‘Magaayo sia!’ kag magaayo ang akon suloguon."
"Nasabi ko ini kay may nagasakop sa akon kag may mga ginasakupan man ako na mga suldados. Kun pagsabi ko sa usad na ‘Lakat,’ malakat siya, kag sa iba naman, ‘Kumadi ka,’ tapos matulos siya. Kun ginasabi ko man sa akon suruguon, ‘Himua ini,’ tutumanon niya.”","Kay ako man tawo nga yara sa idalom sang awtoridad sang mataas nga mga opisyales, kag may mga soldado man ako nga yara sa idalom sang akon awtoridad. Ginasugo ko ining isa, ‘Lakat!’ kag nagalakat sia. Ginasugo ko inang isa, ‘Palapit!’ kag nagapalapit sia. Kag ginasugo ko ang akon suloguon, ‘Himua ini!’ kag ginahimo niya ini.”"
"Pakabati sani ni Jesus nagngalas gayod siya, inatubang an kadamuan na nagasurunod sa iya kag nagsurmaton, “Ginasiguro ko sa iyo na wara pa gayod ako makakita sin may pareho saniʼn pagtuod sa bilog na Israel.”","Natingala si Jesus sang pagkabati niya sini. Nagliso sia kag nagsiling sa mga tawo nga nagasunod sa iya, “Nagasiling ako sa inyo, wala ako makakita sing pagtuo kasubong sini, bisan sa Israel.”"
"Niyan, san magbalik na sa balay an mga ginsugo nakita ninda na nag-ayo na an suruguon.","Sang magbalik sa balay sang kapitan ang mga ginsugo, nakita nila nga maayo na ang suloguon."
Pagkaotro adlaw sadto nagkadto si Jesus sa lungsod na ginatawag na Nain kaurupod an iya mga disipulos kag san damo na katawuhan.,"Sa tapos sini, si Jesus nagkadto sa banwa nga ginatawag Nain. Nag-upod sa iya ang iya mga gintuton-an kag ang madamo nga mga tawo."
San halapit na siya sa may pwertahan san lungsod may nasugat siyaʼn mga tawo na may irulubong na lalaki. Ini sulo lang na anak san iya iloy na biyuda pa. May damo man na kahilungsod na nakigdamay sa iya.,"Sang nagahinampot sia sa pwerta sang banwa, may patay nga ginayayungan pa gwa kag madamo nga mga tawo halin sa banwa ang nagakompanyar. Ang patay nga tawo amo ang bugtong nga anak sang isa ka iloy nga balo."
"Pakakita san Ginoo sa biyuda naluoy gayod kaya nag-apiki siya kag nagsabi, “Ayaw pagtangis.”","Sang pagkakita sang Ginoo sa balo naluoy gid sia kag nagsiling sa iya, “Indi ka maghibi.”"
"Tapos, gindapat niya an kamot sa taol san patay kag nag-urudong an nagabarayaw. May ginsabi siya, “Batan-on, bumangon ka!”","Dayon nagpalapit sia sa lungon kag gintandog niya ini. Ang mga nagayayong nagdulog. Si Jesus nagsiling, “Noy, nagasiling ako sa imo, bangon ka!”"
Kaya nagbangon an dati patay kag nagtuna pagsurmaton. Pakatapos ginkabit siya ni Jesus pakadto sa iya iloy.,"Ang napatay nga tawo nagpungko kag naghambal, kag gintugyan sia ni Jesus sa iya iloy."
"An tanan nagkaharadlok kag nag-umaw sa Dios na nagasarabi, “May nag-abot sa aton na labaw na propeta. An Dios nag-abot para isalbar an iya katawuhan.”","Ang tanan hinadlukan gid kag nagdayaw sila sa Dios nga nagasiling, “Ang isa ka gamhanan nga propeta nagpakita sa tunga naton, kag ang Dios nag-abot sa pagluwas sang iya mga tawo.”"
Ini naman na barita manungod sa iya nakalukop sa bilog na Judea kag sa patalibod na mga lugar.,Ining balita nahanungod kay Jesus naglapnag sa bug-os nga Judea kag sa palibot nga kadutaan.
Ini tanan na mga pangyari ginbarita kan Juan san iya mga disipulos.,Ginsugiran si Juan sang iya mga gintuton-an nahanungod sini tanan nga mga butang. Gintawag niya ang duha sang iya mga gintuton-an
"Kaya gintawag niya an duha san iya mga disipulos kag pinakadto sa Ginoo agod maghunga, “Sir, nano, ikaw na po an ginasabi sa Banal Na Kasuratan na maabot o mapaabot pa kamiʼn iba?”","kag ginpakadto sa Ginoo sa pagpamangkot sa iya, “Ikaw bala ang ginsiling ni Juan nga magaabot ukon magapaabot pa kami sing isa?”"
"Pag-abot didto kan Jesus san duha na sinugo nagsabi sinda, “Sir, ginpakadi na po kami sa imo ni Juan na Parabunyag para maghunga, ‘Ikaw na po ba an ginasabi sa Banal Na Kasuratan na maabot o mapaabot pa kamiʼn iba?’,”","Sang pagkadto nila kay Jesus nagsiling sila, “Ginpadala kami ni Juan nga manugbautiso sa pagpamangkot sa imo, ‘Ikaw bala ang ginsiling niya nga magaabot, ukon magapaabot pa kami sing isa?’”"
"Sadtoʼn kaurason damo naʼn ginapangbulong si Jesus na mga may sakit, may mga ginabatyag, nagkasurudlan sin mga maraot na espirito kag may mga buta na ginpakita gihapon niya.","Sa sadto gid nga tion ginpang-ayo ni Jesus ang madamo nga mga tawo nga may mga masakit, mga balatian kag may malaut nga mga espiritu, kag gin-ayo man niya ang madamo nga mga bulag."
"Kaya ginsabat niya an mga ginsugo, “Kadto kag sumati niyo si Juan kun nano an iyo nakita kag nabatian didi na amo ini: nakakita gihapon an mga buta, nakalakat na an mga pilay, naayo naman an mga leprosohon kag an mga bungol nakabati. Nabuhay gihapon an mga patay kag an mga pobre nakabati san Maayo Na Barita na ginapahayag sa inda.","Nagsabat sia sa mga ginpadala ni Juan, “Balik kamo kag sugiri si Juan sang inyo nakita kag nabatian: ang mga bulag makakita na, ang mga piang makalakat na, ang mga aruon nag-alayo na, ang mga bungol makabati na, ang mga patay ginbanhaw, kag ang Maayong Balita ginawali sa mga imol."
"Sugad man, malipay idtoʼn dili nawawar-an sin pagtuod sa akon.”",Daw ano ka malipayon ang wala nagapangduhaduha sa akon!”
"Pagharali san mga ginsugo ni Juan nagtuna naman si Jesus pag-istorya sa mga katawuhan manungod kan Juan, “San pagkadto niyo sa disyerto nano an ginalaom niyo na makita didto? Usad na tawo na pareho sa uhot na ginapalid-palid san hangin?","Sang makahalin na ang mga ginsugo ni Juan, naghambal si Jesus sa mga tawo nahanungod kay Juan: “Ano ang ginpaabot ninyo nga makita sang pagkadto ninyo kay Juan didto sa desierto? Tigbaw bala nga ginahapayhapay sang hangin?"
"Nano man gali an ginahuna niyo na makita? Tawo na nakabado sin matahom? Syimpre dili, kay idtoʼn nagabarado sin mga matahom kag nabubuhay sa kabuganaan adto nagaistar sa mga palasyo san mga hadi!",Ano bala ang ginkadto ninyo nga tan-awon? Isa bala ka tawo nga nagabayo sing malahalon? Ang mga tawo nga nagabayo sang malahalon kag ang nagaginawi sing minanggaranon makita sa mga palasyo.
"Kun kaya ngani nano man gayod an ginkadtuan niyo na makita? Propeta? Oo, kag tandai ini, mas labaw pa gayod sa propeta an nakita niyo,","Sugiri ninyo ako, ano gid bala ang inyo ginkadto nga tan-awon? Isa bala ka propeta? Huo, nagasiling ako sa inyo, kag labaw pa sa isa ka propeta ang inyo nakita."
"kay siya an katumanan san nasurat sa Banal Na Kasuratan,","Kay si Juan amo ang ginatumod sang kasulatan: ‘Ang Dios nagsiling, ipadala ko ang akon manugbalita nga magauna sa imo kag magaaman sang imo alagyan.’"
"‘Kitaa, may suruguon ako na mapauna sa imo.","Nagasiling ako sa inyo, sa mga nagkalatawo wala sing may maglabaw pa kay Juan. Pero ang labing kubos nga nagapasakop sa paghari sang Dios mas daku pa sang sa iya.”"
"Siya an magapreparar san imo aagihan.’ ,”",Ang tanan nga mga tawo kag ang mga manugsukot sang buhis nakabati sa iya. Sila amo ang nagtuman sang pagkamatarong nga ginapangayo sang Dios kag ginbautisohan sila ni Juan.
"Nagpadayon si Jesus, “Tandai ini na ginasabi ko sa iyo, sa tanan na kabataan na gin-anak san mga babayi wara na gayod sin nakalabaw kan Juan. Ugaling mas labaw ki sa iya an pinakamenos sa kahadian san Dios.”",Pero ang mga Fariseo kag ang mga manunodlo sang Kasugoan nagsikway sang tinutuyo sang Dios para sa ila kag wala sila magpabautiso kay Juan.
"(An tanan na mga tawo na nagpamati sa iya kag amo man an mga parasukot san buwis, nag-ako na tama an katuyuan san Dios kay nagpabunyag sinda kan Juan,","“Si Jesus nagpadayon sa pagsiling, ‘Sa ano ko bala ipaanggid ang mga tawo sini nga mga inadlaw? Kaangay bala sila sang ano?"
pero an mga Pariseo kag mga Paratukdo san Kasuguan nagsikway san katuyuan san Dios para sa inda sadiri kag wara nagpabunyag kan Juan.),"Kaangay sila sang mga kabataan nga nagpungko sa tiendahan kag nagasinggitanay, ‘Nagtukar kami sa inyo sing plawta, pero wala kamo magsaot. Naghaya kami, pero wala kamo maghibi.’"
"Didi naman nagpadayon si Jesus, “Niyan, sa nano ko maikukumparar an mga tawo na nabubuhay yana? Kay nano an napaparehuan ninda?","Nag-abot si Juan nga manugbautiso kag nagpuasa kag wala mag-inom sing bino, kag kamo nagsiling, ‘Ginagamhan sia sang demonyo.’"
"Pareho sinda sa mga kabataan na nagairingkod sa merkado kag nagapasiriyak-siyak sa inda mga kakanam sugad sani,","Ang Anak sang Tawo nag-abot, kag nagkaon kag nag-inom, kag kamo nagsiling, ‘Tan-awa ninyo ini nga tawo! Palakaon sia kag palahubog, abyan sang mga manugsukot sang buhis kag sang iban nga mga makasasala!’"
‘Gintugtugan kamo namon sin plawta pero dili man kamo nagsarayaw!,Pero ang kaalam sang Dios ginapamatud-an nga matuod sang tanan nga nagabaton sini.”
"Tapos, nagkanta naman kamiʼn mamunduon pero wara kamo nagtarangis!’",Si Jesus gin-agda sang isa ka Fariseo nga magkaon upod sa iya. Nagkadto si Jesus sa balay sining Fariseo kag nagpungko sia sa pagkaon didto.
"Bagaʼn amo man kamo ini. Nagkadi si Juan na Parabunyag na nagaayuno kag dili nagainom sin bino pero nagsarabi kamo, ‘Nasudlan siya sin demonyo!’","May isa ka makasasala nga babayi nga nagaestar sa amo nga banwa. Sang pagkahibalo niya nga si Jesus nagakaon sa balay sang Fariseo, nagdala sia sang tibodtibod nga puno sang agwa."
"Nagkadi naman ako na Anak San Tawo na nagakaon kag nagainom tapos nagsarabi naman kamo, ‘Kitaa niyo siya. An makagod kag parahubog. Amigo man siya san mga parasukot san buwis kag san mga makasasala!’","Nagtindog sia sa likod nayon ni Jesus malapit sa iya tiil nga nagahibi, kag ginbasa niya ang mga tiil ni Jesus sang iya mga luha. Dayon ginpahiran niya ang mga tiil ni Jesus sang iya buhok, iya ginhalukan, kag ginbuboan ini sang agwa."
Ugaling an kadunungan san Dios ginpamatuudan na matanos san tanan na nagaako sani.”,"Sang pagkakita sini sang Fariseo nga nag-agda kay Jesus nagsiling sia sa iya kaugalingon, “Kon matuod nga ining tawo propeta, kuntani nahibal-an niya kon sin-o kag ano ka makasasala sang kabuhi sini nga babayi nga nagatandog sa iya.”"
Pagkatapos gin-imbitaran pagkaon si Jesus san usad san mga Pariseo. Pag-abot niya sa balay sani nagtulos siya sa lamesa para magkaon.,"Si Jesus naghambal kag nagsiling sa iya, “Simon, may isugid ako sa imo.”"
Taud-taod may nag-abot naman gali na tagalungsod na babayi na nagapabayad. Pakabarita niya na makikaon si Jesus sadtoʼn Pariseo nagdara siya sin pahumot na nasa surudlan na himo sa alabastro na bato.,"Si Simon nagsabat, “Huo, Manunodlo, sugiri ako.”"
Nagtindog siya sa may likudan ni Jesus kag sa may tiilan sani nagaparatangis na ginapaturuan san iya luha an tiil ni Jesus. Tapos ginpahidan niya idto san iya buhok pero pakatapos iya ginparaharukan kag ginpahumutan an tiil sani.,"Si Jesus nagsiling, “May isa ka manugpautang nga may duha ka tawo nga ginpautang. Ang isa nakautang sa iya sing 5,000 kag ang isa 500."
"San makita ini san Pariseo na nag-imbitar kan Jesus nakasabi sa iya sadiri, “Kun matuod man gayod na propeta ini na tawo aram na niya kun sin-o kag nanoʼn klase na babayi an nagdutdot sa iya kay ini nagapabayad na babayi.”","Sila nga duha indi gid makabayad, gani, wala na lang sila ginpabayad sang nagpautang sa ila. Diin sa ila nga duha ang magahigugma sing labi sa nagpautang sa ila?”"
"Ginpahalapit siya ni Jesus kag sinabihan, “Simon, may isasabi ako sa imo.”","Si Simon nagsabat, “Sa banta ko ang nakautang sing daku kag wala na pagpabayara.”"
"“Nano ina, Maestro?” an hunga niya.","Si Jesus nagsiling, “Husto ang sabat mo.”"
“May duha na tawo na nangutang sa parapautang. An usad nakautang sin 500 pisos kag an usad 50.,"Dayon nagliso sia sa babayi samtang nagapadayon sa pagsiling kay Simon, “Nakita mo ining babayi? Nagsulod ako sa imo balay kag wala ka maghatag sa akon sing tubig para sa akon mga tiil, pero sia nagbasa sang akon mga tiil sang iya mga luha kag ginpahiran niya ini sang iya buhok."
"Wara sinda nakabayad kaya ginpasensya na lang niya sinda na duha. Niyan, sin-o sa duha an mamumuot gayod sa iya?”","Wala ka maghalok sa pag-abiabi sa akon, pero sia halin sang akon pag-abot, wala mag-untat sa paghalok sang akon mga tiil."
"“Siguro an usad na mas dako sin utang,” an sabat ni Simon.","Wala mo paghaplasi sing lana nga olivo ang akon ulo, pero sia naghaplas sang akon mga tiil sang agwa."
"“Tama ka,” an sabat man ni Jesus.","Gani nagasiling ako sa imo, ang iya daku nga gugma nagapamatuod nga ang iya madamo nga mga sala napatawad na. Ang bisan sin-o nga ginpatawad sing diutay nagahigugma sing diutay.”"
"Pakatapos ginlingi niya an babayi kag naghunga naman, “Simon, nakikita mo ini na babayi? Nagkadi ako sa imo balay kag wara mo paghatagi sin tubig para ihugas san akon tiil pero siya ginpaturuan san iya luha an akon tiil kag gintrapuhan pa san iya buhok.","Dayon si Jesus nagsiling sa babayi, “Ang imo mga sala ginpatawad.”"
Wara mo ako pagharuki pero siya ginparaharukan an akon tiil tuna san pag-abot ko lang.,"Ang iban nga upod niya sa kalan-an nagsiling sa ila kaugalingon, “Sin-o bala ini nga tawo nga nagapatawad bisan pa sang mga sala?”"
Wara mo paglahidi bisan lana an akon ulo pero siya ginpahumutan an akon mga tiil.,"Pero si Jesus nagsiling sa babayi, “Ang imo pagtuo nagluwas sa imo. Maglakat ka sa paghidait.”"
"Pakatapos sadto nagpanglurulungsod kag nagpangburubaryo si Jesus sa pagtukdo kag pagpahayag san Maayo Na Barita manungod sa kahadian san Dios. Nag-upod sa iya an dose,",Sa tapos sadto si Jesus nagkadto sa mga banwa kag mga barangay agod magwali sang Maayong Balita nahanungod sang paghari sang Dios. Nag-upod sa iya ang dose ka mga gintuton-an
hasta an iba pa na mga babayi na nagkaarayo san inda mga sakit kag ginluwasan san mga maraot na espirito. Amo man ini si Maria na ginatawag Magdalena na hali sa iya pito na demonyo an napaluwas.,"kag subong man ang pila ka mga babayi nga gin-ayo niya sa mga balatian kag malaut nga mga espiritu. Ang mga babayi amo sanday Maria nga ginatawag Magdalena nga gikan sa iya gintabog ni Jesus ang pito ka mga demonyo,"
"Kaupod pa sinda Juana na asawa ni Chuza na katiwala ni Herodes, Susana kag san iba pa na may mga kaya amo an nagaburulig sa panginahanglan ninda Jesus.","si Juana nga asawa ni Chuza nga isa ka opisyal sa korte ni Herodes; si Susana, kag madamo pa nga iban. Gingamit nila ang ila mga pagkabutang sa pagbulig kay Jesus kag sa iya mga gintuton-an."
"Pagtiripon san kadamuan na tawo na tagamanlain-lain pa na mga lungsod para makita siya, ginsurmaton niya ini na istorya:","Ang mga tawo nga naghalalin sa mga kabanwahanan padayon nga nagpalapit kay Jesus. Sang madamo na gid ang mga tawo nga nagtipon, nagsugid si Jesus sini nga palaanggiran:"
“May parauma na nagpauma para magsabwag sin mga binhi. Sa iya pagsabwag may mga binhi na nakatupa sa may dalan. Nagkataramak-tamakan idto kag tinuruka san mga sapat.,"“May isa ka tawo nga nagkadto sa iya uma agod sa pagsab-og sang binhi. Sang pagsab-og niya, ang iban nga binhi nagtupa sa dalan. Gintapakan ini sang mga tawo kag gintuka sang mga pispis."
May nakatupa man sa kabatuhan pero pagragit san adlaw nag-uruga tungod na wara sin tubig.,"Ang iban nagtupa sa batuhon nga duta, kag sang magtubo ini, nalaya ang tanom tungod kay mamala ang duta."
"May nakatupa naman sa katunukan pero nagdaragko an katunukan kaupod san mga tanom, kaya nasiutan ini kag namatay.",Ang iban nga binhi nagtupa sa duta nga may mga talungon kag ang mga talungon nagtubo upod sa tanom kag naglumos sang tanom.
"Niyan, may iba pa man na mga binhi na nakatupa gayod sa mataba na duta, nagturubo kag nagburunga sin mananggatos kada binhi.”",Ang iban nga binhi nagtupa sa maayo nga duta kag nagtubo ini kag nagpatubas sing 100 ka pilo.”
"Pakaistorya sani ni Jesus nagsiyak siya, “Kamo na makabati, magpamati sin maayo!”","Si Jesus nagsiling pa gid, “Gani, magpamati kamo, kon may mga dulonggan kamo!”"
"Pakatapos, ginhunga siya san iya mga disipulos kun nano an gusto sabihon sani na istorya,","Ang mga gintuton-an ni Jesus nagpamangkot sa iya, “Ano bala ang kahulogan sining palaanggiran?”"
"Nagsabat naman siya, “Kamo an gintugutan na maaraman an mga misteryo san kahadian san Dios, pero sa iba an tanan sani ginatukdo paagi sa istorya agod","Si Jesus nagsabat, “Ang paghibalo sang mga tinago nahanungod sang paghari sang Dios ginhatag sa inyo. Pero sa iban ginahatag ini paagi sa mga palaanggiran, agod nga kon magtan-aw sila, indi sila makakita kag kon makabati sila, indi sila makahangop."
"‘bisan sing-ano ninda sin kasud-ong dili gihapon ninda nakakita,",“Amo ini ang kahulogan sang palaanggiran: ang binhi amo ang pulong sang Dios.
bisan sing-ano ninda sin kapamati dili gihapon sinda nakasabot.’,"Ang mga binhi nga nagtupa sa dalan amo ang nakabati, ugaling nagaabot ang Yawa kag nagaagaw sang pulong sa ila mga tagipusoon, agod nga indi sila magtuo kag maluwas."
"“Niyan, an gusto sabihon san istorya amo ini: an binhi amo an surmaton san Dios.","Ang mga binhi nga nagtupa sa batuhon nga duta amo ang nakabati sang pulong kag nagabaton sini sing malipayon. Pero ang pulong wala gid makapanggamot sa ila. Wala magdugay ang ila pagtuo kay kon mag-abot ang pagsulay, nagabiya sila sang ila pagtuo."
"Idto na nakatupa sa dalan na mga binhi amo idtoʼn nakabati san surmaton, tapos nagaabot dayon an demonyo kag nagahali sadtoʼn surmaton agod dili sinda magtuod kag masalbar.","Ang mga binhi nga nagtupa sa duta nga may mga talungon amo ang nakabati, pero ang mga palaligban, ang mga manggad kag ang mga kalipayan sining kabuhi nagaginutok kag nagalumos sa ila, kag ang ila bunga wala nagagulang."
"Idto naman na nakatupa sa kabatuhan pareho san mga nakabati san surmaton, tapos nagatuod kag nagakarilipay. Pero wara ninda ini ipasabuot, kaya nagatuod sinda sin kadali pero pakatintari ginapabayaan dayon an inda pagtuod.",Ang mga binhi nga nagtupa sa maayo nga duta amo ang nagapamati sang pulong kag nagapabilin ini sa maayo kag matinumanon nga tagipusoon kag nagapadayon tubtob nga magpamunga sila.
"Sadto naman na katunukan kun diin nakatupa an mga binhi amo sinda an mga tawo na nakabati, pero sa inda pagpadayon nadaog sinda san kahandalan, mga kayamanan kag mga kinab-anon na kalipay sa buhay kaya an inda pagtuod wara magbaskog.","“Wala sing may nagasindi sing suga kag tabunan niya ini sang sulodlan, ukon ibutang niya ini sa idalom sang higdaan, kundi ginabutang niya ini sa tulongtungan, agod nga ang mga tawo nga nagasulod makakita sang kapawa."
"Idto ugaling na mga nakasabwag man na binhi sa mataba na duta amo an mga tawo na pakabati san surmaton, nagatuod na may hugot sa buot kag sa maayo na tagipusuon, nagpadayon hasta magbunga an inda pagtuod.”","“Kay wala sing natago nga indi mapahayag, ukon tinago nga indi mahibaluan kag mabuyagyag."
Nagpadayon si Jesus sin iba na istorya. “Waraʼn nagasindi sin ilawan pakatapos ginatahuban agod dili makapawa o ginabutang sa sirong san katri kundi ginatungtong ina agod makita an kapawa sana san mga tawo na nagasurulod.,"“Gani maghalong kamo kon paano ang inyo pagpamati, tungod kay ang bisan sin-o nga may iya na hatagan pa, pero ang wala iya, bisan pa ang diutay nga ginahunahuna niya nga iya pagakuhaon pa.”"
"Sugad sani, wara sin natago na dili mahahayag kag wara sin ginsikreto na dili maaaraman kag mahahayag man.","Ang iloy kag mga utod nga lalaki ni Jesus nagkadto sa iya, pero indi sila makapalapit sa iya tungod sang madamo nga mga tawo."
"Kaya pamati gayod sin maayo kay siya na igwa pagahatagan pa, pero an wara bisan sing-ano ka dyutay an ginahuna-huna niya na ada sa iya pagakuhaon pa.”","May nagsiling sa iya, “Ang imo iloy kag mga utod yara sa gwa nagatindog kag luyag magpakigkita sa imo.”"
"Niyan, nagpakadto kan Jesus an iya iloy kag san mga kamaranghod na lalaki pero dili sinda nakaapiki tungod san kadamuan san tawo.","Pero si Jesus nagsiling sa ila tanan, “Ang akon iloy kag mga utod amo sila ang nagapamati sang pulong sang Dios kag nagatuman sini.”"
"Kaya may nagsabi kan Jesus, “Ada sa luwas an imo iloy kag mga kamaranghod na lalaki kay gusto makigkita sa imo.”","Sang isa ka adlaw si Jesus nagsakay sa isa ka sakayan upod sa iya mga gintuton-an kag nagsiling sia sa ila, “Dali, matabok kita sa pihak sang linaw.” Gani nagtulak sila."
"Pero ginsabat niya sinda, “An akon iloy kag mga kamaranghod na lalaki amo idtoʼn mga nagapamarati san surmaton san Dios kag nagatuman sani.”","Sang nagapanakayon sila natulogan si Jesus. Sa hinali nagmadlos ang hangin sa linaw, sa bagay nga ang sakayan ginsudlan sang tubig kag yara sila sa daku nga katalagman."
"Usad sin adlaw sinabihan ni Jesus an iya mga disipulos, “Hamos kita patabok san danaw.” Kaya nagsakay siya sa dako na baruto kaurupod sinda kag nagpalawod.","Ginpalapitan sang mga gintuton-an si Jesus kag ginpukaw sia nga nagasiling, “Manunodlo, Manunodlo! Daw malunod kita!”"
Taud-taod nakakaturog si Jesus. Sa katung-anan san danaw inabot sinda sin subasko kag may tubig na nakasulod na sa inda sarakyan. Nasa peligro gayod sinda.,Nagbangon si Jesus kag iya ginmanduan ang hangin kag ang nagadaguhob nga mga balod. Nag-untat ang bagyo kag naglinaw.
"Kaya gintulos ninda siya kag ginpukaw na nagasabi, “Sir, Sir, malulunod na kita.”","Dayon nagsiling sia sa iya mga gintuton-an, “Diin na bala ang inyo pagtuo?”"
Nagbangon siya kag ginsugo an hangin kag an grabe na mga balod tapos nag-udong ini. Tapos malinaw na.,"Hinadlukan kag natingala gid sila kag nagsinilingay, “Sin-o bala ini nga tawo, nga bisan ang hangin kag balod nagapati sang iya sugo?”"
"Sinabihan niya sinda, “Nano kay wara kamoʼn pagsarig sa akon?”",Dayon nagdungka si Jesus kag ang iya mga gintuton-an sa kadutaan sang Gerasa nga nagaatubang sa Galilea.
"Nagkaharadlok sinda kag nagngalas, tapos nagapahurunga-hunga, “Sin-o daw ini kay an hangin kag mga balod ngani nagasunod sa iya kun suguon niya?”","Sang pagtakas ni Jesus, ginsugata sia sang isa ka tawo halin sa banwa. Ginagamhan sia sang mga demonyo kag madugay na nga wala nagabayo kag wala man nagaestar sa balay, kundi sa mga lungib nga lulobngan."
Nagdungka sinda Jesus sa lugar san Geraseno na katabok san Galilea.,"Sang pagkakita niya kay Jesus nagsinggit sia kag naghapa sa atubang ni Jesus kag nagsiling sa mabaskog nga tingog, “Jesus, Anak sang Dios nga Labing Mataas! Ano ang labot mo sa akon? Maluoy ka sa akon, indi ako pagsiluti!”"
"Paghaw-as pa lang ni Jesus, may nagsugat sa iya na tagalungsod na lalaki na nasudlan sin mga demonyo. Dugay na, wara ini siya nagabado o nagaistar sin balay kundi sa mga rulubngan na mga kweba.","Nagsiling sia sini tungod kay ginsugo ni Jesus ang malaut nga espiritu sa paggwa sa iya. Kay sa madamo na nga beses ginagamhan sia sang demonyo, kag bisan pa nga ginapriso nila sia kag ginagapos sang mga kadena ang iya mga tiil kag ang iya mga kamot, ginapamugto niya ang mga gapos kag ginatabog sia sang demonyo sa desierto."
"Pakakita lang niya kan Jesus sumiyak kag natumba sa atubangan niya. Pakatapos nagsurmaton sin makusog, “Jesus, anak san Pinakalabaw na Dios, nano an pakilabot mo sa akon? Nakimaluoy ako sa imo, ayaw man ako pagpasakiti.”","Si Jesus namangkot sa iya, “Ano ang imo ngalan?”"
"Nakasabi sani an tawo kay ginmandahan na ni Jesus an malaw-ay na espirito na lumuwas sa lawas san tawo. Ini na espirito damo naʼn beses ginapakisay-kisay an tawo. Kaya, ginapabantayan, ginakadenahan kag ginapusasan sa tiil agod mapaukoy siya, pero iya ini ginapangbugto kag ginatabog siya san demonyo sa kabukidan.","Nagsabat sia, “Ang akon ngalan si ‘Madamo.’” Ginsiling niya ini kay madamo nga mga demonyo ang nagsulod sa iya."
"Kaya ginhunga siya ni Jesus, “Nano an ngaran mo?”",Ang mga demonyo nagpakitluoy kay Jesus nga indi sila pagsugoon nga magkadto sa kadadalman.
"Nagsabat ini, “Damo,” kay damu-damo na mga demonyo an nagsulod sa iya.","Malapit sa sadto nga lugar may daku nga panong sang mga baboy nga nagapang-ungad sa banglid. Gani ang mga demonyo nagpakitluoy kay Jesus nga tugotan sila sa pagsulod sa mga baboy, kag gintugotan niya sila."
Nakimaluoy sinda kan Jesus na dili sinda pagpalayason pakadto sa kahidaluman na waraʼn sukol.,Dayon ang mga demonyo naggwa sa tawo kag nagsulod sa mga baboy. Ang bug-os nga panong nagdinaguso padulhog sa kilid sang pil-as pakadto sa linaw kag nagkalalumos.
"Niyan, didto sa higad san bukid may damu-damo na mga baboy na nanginginaon. Pakakita sani nakimaluoy sa iya an mga demonyo na pasudlon na lang sinda sa mga baboy. Kaya tinugutan niya sinda.","Ang mga nagabantay sang mga baboy nakakita sang nahanabo. Gani, nagpalagyo sila kag nagpalapnag sang balita sa banwa kag sa mga kaumhan."
"Pakatapos, an mga demonyo nagruluwas sa lawas san tawo kag nagsulod sa mga baboy. Nagharabas ini pagdaralagan palusad sa pangpang, nagkahurulog sa danaw kag nagkarulumos.","Dayon ang mga tawo nagkadto didto sa pagtan-aw sang nahanabo. Nagpalapit sila kay Jesus kag nakita nila ang tawo nga halin sa iya nagwa ang mga demonyo. Nagapungko sia sa tiilan ni Jesus, nga may bayu na kag yara sa iya husto nga paminsaron, kag hinadlukan gid sila."
